Total Number of Aligned Reads:	227270	Total Number of Mapped Genomes:	15068
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|198094|org|Bacillus_anthracis_str._Ames	0.9878192998641381	0.8951731420777049	203446.0	0.8951731420777049	0.0	0.8981294754174757	0.7901394490214702	179574.99257910953	0.7506138073656884	0.1339992079904959
ti|260799|org|Bacillus_anthracis_str._Sterne	0.006992786451566601	0.0063272759273111275	1438.0	0.0063272759273111275	0.0	0.032857896394723654	0.03389802750140923	7704.004710245275	0.007779293351520218	0.10038280459365512
ti|261594|org|Bacillus_anthracis_str._Ames_Ancestor	0.0017788661756790902	0.0012936155233862806	294.0	0.0012936155233862806	0.0	0.023072530337636257	0.02492531407164148	5664.776129061959	0.006877282527390329	0.08122937475249703
ti|572264|org|Bacillus_cereus_03BB102	0.0010853255959328142	0.008038896466757602	1827.0	0.008034496413956968	4.400052800633607e-06	0.008872162632902057	0.009525478086456993	2164.8554047090806	0.007691292295507546	0.013129757557090685
ti|32630|org|synthetic_construct	0.0005413713239505169	0.0012496149953799445	284.0	0.001223214678576143	2.6400316803801645e-05	0.014686297901449147	0.014507289844726438	3297.0717630109775	0.0017556210674528094	0.03887446649359792
ti|405532|org|Bacillus_cereus_B4264	0.0005318489629483549	0.024688696264355173	5611.0	0.024191490297883575	0.0004972059664715977	0.002306947174872504	0.019134702936535013	4348.743936386312	0.018471421657059884	0.006155673868086417
ti|405531|org|Bacillus_cereus_G9842	0.0003812827878059272	0.015224182690192283	3460.0	0.014880978571742861	0.0003432041184494214	0.0014054358217491807	0.01872965885039287	4256.689566928788	0.018313019756237076	0.004545254543054517
ti|568206|org|Bacillus_anthracis_str._CDC_684	0.0003085135196141065	0.0002288027456329476	52.0	0.0002288027456329476	0.0	0.010923467634778354	0.01317110844992774	2993.3978174150775	0.0014212170546046552	0.05716548598583183
ti|1217984|org|Bacillus_cereus_FRI-35	0.00025549034161885217	0.04514454173450081	10260.0	0.04479253751045013	0.0003520042240506886	0.0022835894838119644	0.04912581570101616	11164.824134369943	0.04839178070136842	0.006102873234478814
ti|347495|org|Bacillus_cereus_F837/76	0.00012664767330075878	0.0004620055440665288	105.0	0.0004620055440665288	0.0	0.0013208149944580804	0.0015906373850724138	361.5041585054075	0.0005544066528798345	0.010494125929511154
ti|1392|org|Bacillus_anthracis	8.370595362330624e-05	0.00018480221762661153	42.0	0.00018480221762661153	0.0	0.00035166695256656777	0.0008694908901453735	197.60919460333903	0.00024200290403484842	0.00679368152417829
ti|288681|org|Bacillus_cereus_E33L	4.753580153999719e-05	0.0010032120385444626	228.0	0.0010032120385444626	0.0	0.0008107624810428543	0.0017472567520239654	397.09904203248664	0.0010648127777533331	0.007972895674748097
ti|281309|org|Bacillus_thuringiensis_serovar_konkukian_str._97-27	3.060574227090252e-05	0.0001672020064240771	38.0	0.0001672020064240771	0.0	0.002239358313918758	0.0020729267915490725	471.1140719153577	0.0004136049632595591	0.013472961675540107
ti|714359|org|Bacillus_thuringiensis_BMB171	9.706157531369891e-06	0.0002332027984335812	53.0	0.0002332027984335812	0.0	0.00015617971138589957	0.000818002606691051	185.90745242267516	0.0004048048576582919	0.004620055440665288
ti|180873|org|Bacillus_thuringiensis_serovar_brasilensis	3.7801110115679973e-06	8.800105601267214e-06	2.0	8.800105601267214e-06	0.0	4.47433328625385e-05	5.1953834679227396e-05	11.80754800754801	1.3200158401900823e-05	0.00021560258723104676
ti|930170|org|Bacillus_thuringiensis_serovar_finitimus_YBT-020	3.097919117064154e-06	0.00012760153121837463	29.0	0.00012760153121837463	0.0	2.5433485426394314e-05	0.0005526909766249233	125.6100782575463	0.00018040216482597792	0.006133673604083249
ti|1428|org|Bacillus_thuringiensis	4.068469728645212e-08	2.2000264003168037e-05	5.0	2.2000264003168037e-05	0.0	1.441702607195629e-07	0.00021116728681439505	47.991989274307564	1.3200158401900823e-05	0.003665243982927795
ti|359962|org|Bacillus_phage_Gamma_isolate_dHerelle	2.9208852755742164e-08	0.00010120121441457298	23.0	9.680116161393936e-05	4.400052800633607e-06	3.1370416350461004e-05	0.0001554475796566702	35.328571428571436	0.00010560126721520658	0.0001760021120253443
ti|86662|org|Bacillus_weihenstephanensis	2.377802027130455e-08	0.00010120121441457298	23.0	0.00010120121441457298	0.0	2.387884341304538e-08	0.00012654675178872806	28.760280279024226	0.00011880142561710741	3.9600475205702466e-05
ti|347966|org|Bacillus_phage_Cherry	1.947985878226277e-08	1.760021120253443e-05	4.0	1.760021120253443e-05	0.0	2.733534044360309e-06	5.908642332279415e-05	13.428571428571427	5.280063360760329e-05	2.6400316803801645e-05
ti|1396|org|Bacillus_cereus	1.2568656575040897e-08	8.800105601267214e-06	2.0	8.800105601267214e-06	0.0	9.005262680568052e-05	0.00029161334488993944	66.27496489313654	4.4000528006336074e-05	0.004166850002200026
ti|334406|org|Bacillus_cereus_NC7401	9.898510809254898e-09	0.00019360232322787873	44.0	0.00019360232322787873	0.0	0.0001678959836608964	0.0008011847993132161	182.08526933991462	0.0004532054384652616	0.005825669908038896
