Total Number of Aligned Reads:	229920	Total Number of Mapped Genomes:	15598
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|198094|org|Bacillus_anthracis_str._Ames	0.6037831015157192	0.7145746346555324	164295.0	0.7125304453723034	0.002044189283228949	0.5301536407772307	0.5897400402900862	135593.0300634966	0.5770659359777314	0.039309324982602645
ti|347495|org|Bacillus_cereus_F837/76	0.23047170842755632	0.11279140570633264	25933.0	0.11006437021572721	0.002727035490605428	0.19520185279401034	0.09537117335010524	21927.740176656196	0.06919798190675018	0.07296450939457202
ti|572264|org|Bacillus_cereus_03BB102	0.15066801540668942	0.05747651356993737	13215.0	0.05746346555323591	1.3048016701461379e-05	0.17661309956532148	0.09069107797522236	20851.692648063123	0.07455201809324982	0.05494519832985386
ti|412694|org|Bacillus_thuringiensis_str._Al_Hakam	0.00983671411861968	0.004018789144050104	924.0	0.004014439805149617	4.349338900487126e-06	0.05231165398431093	0.029102726298359156	6691.298830518737	0.015492345163535143	0.05386221294363257
ti|405532|org|Bacillus_cereus_B4264	0.0013132413982469523	0.02572633959638135	5915.0	0.025239213639526793	0.0004871259568545581	0.005085096437914606	0.02952923321823709	6789.361301537072	0.027313848295059152	0.009190153096729298
ti|405531|org|Bacillus_cereus_G9842	0.0012047841775983702	0.02197286012526096	5052.0	0.021537926235212248	0.0004349338900487126	0.004142443749960201	0.028425532310888697	6535.5983889195295	0.026691892832289493	0.006358733472512178
ti|1217984|org|Bacillus_cereus_FRI-35	0.000731554913777742	0.056937195546276964	13091.0	0.056345685455810715	0.0005915100904662491	0.005897364511821599	0.09120882585526696	20970.73324064298	0.08837421711899791	0.010277487821851079
ti|405535|org|Bacillus_cereus_AH820	0.000538176605187737	0.00072633959638135	167.0	0.00072633959638135	0.0	0.0006606377456972702	0.0022860879571501933	525.6173431079725	0.0005436673625608908	0.013495998608211553
ti|260799|org|Bacillus_anthracis_str._Sterne	0.0004530049053733432	0.0010264439805149617	236.0	0.0010264439805149617	0.0	0.0074569775900220105	0.0054095278145355205	1243.7586351180069	0.001900661099512874	0.020024356297842726
ti|32630|org|synthetic_construct	0.0002045445937370839	0.0007002435629784272	161.0	0.0006958942240779402	4.349338900487126e-06	0.007995282768812057	0.008133408905727287	1870.0333756048178	0.0012004175365344467	0.01744954766875435
ti|1392|org|Bacillus_anthracis	0.00016535330853517113	0.0002174669450243563	50.0	0.0002174669450243563	0.0	0.0003563229094322411	0.000671552220551407	154.40328654917948	0.0002653096729297147	0.00599338900487126
ti|637380|org|Bacillus_cereus_biovar_anthracis_str._CI	0.00015392114187349522	0.00048277661795407097	111.0	0.00047842727905358386	4.349338900487126e-06	0.0029571505136145324	0.0026833665208008694	616.9596304625359	0.0009959986082115518	0.012708768267223383
ti|405534|org|Bacillus_cereus_AH187	0.00014342477695406254	0.0004175365344467641	96.0	0.0004175365344467641	0.0	0.0003065795341820236	0.0010637465314787939	244.5766025176043	0.0004523312456506611	0.007894050104384133
ti|281309|org|Bacillus_thuringiensis_serovar_konkukian_str._97-27	8.78138893571304e-05	0.00029140570633263746	67.0	0.00029140570633263746	0.0	0.005057957076107585	0.004811861316077403	1106.3431537925164	0.0017701809324982604	0.014674669450243562
ti|361100|org|Bacillus_cereus_Q1	7.769623717001385e-05	0.0007002435629784272	161.0	0.0007002435629784272	0.0	0.000244680874967662	0.0014756474086235192	339.28085219071954	0.0009090118302018094	0.0070198329853862216
ti|1428|org|Bacillus_thuringiensis	5.5089299924583406e-05	6.958942240779402e-05	16.0	6.958942240779402e-05	0.0	6.0367296155317765e-05	0.00028466623118335446	65.45045987367686	6.958942240779402e-05	0.004558107167710508
