Total Number of Aligned Reads:	3498	Total Number of Mapped Genomes:	16222
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|500845|org|Planococcus_sp._Ka-3	0.9929678278638908	0.0002858776443682104	1.0	0.0002858776443682104	0.0	0.9929678278638908	0.0002858776443682104	1.0	0.0002858776443682104	0.0
ti|429425|org|Bacillus_sp._A9.13	0.005277129998144869	0.0005717552887364208	2.0	0.0005717552887364208	0.0	0.005277129998144858	0.0002858776443682104	1.0	0.0002858776443682104	0.0
ti|211041|org|Bacillus_sp._CPB_12	0.0008720182352880137	0.0002858776443682104	1.0	0.0002858776443682104	0.0	0.0008720182352880005	0.0002858776443682104	1.0	0.0002858776443682104	0.0
ti|527021|org|Bacillus_thuringiensis_Bt407	0.0006582279252475407	0.4145225843339051	1450.0	0.4145225843339051	0.0	0.0006562059930701904	0.007214946607296511	25.237883232323195	0.003430531732418525	0.017152658662092625
ti|666686|org|Bacillus_sp._1NLA3E	0.00020093945002700058	0.4305317324185249	1506.0	0.4305317324185249	0.0	0.00020093100203164198	0.24153493662406542	844.8892083109808	0.14379645511720984	0.11778158947970269
ti|7038|org|Bemisia_tabaci	1.862782609807164e-05	0.0002858776443682104	1.0	0.0002858776443682104	0.0	1.8627826098054583e-05	0.0002858776443682104	1.0	0.0002858776443682104	0.0
ti|997761|org|Paenibacillus_mucilaginosus_K02	2.6856791420403254e-06	0.010291595197255575	36.0	0.010291595197255575	0.0	2.6856791420403343e-06	0.009529254812273681	33.333333333333336	0.009433962264150943	0.0002858776443682104
ti|936156|org|Bacillus_subtilis_BSn5	1.315867610298252e-06	0.026586620926243566	93.0	0.026586620926243566	0.0	1.3158676102789006e-06	0.0030885053582230208	10.803591743064127	0.0017152658662092624	0.023441966838193252
ti|1006007|org|Bacillus_megaterium_WSH-002	4.2676019343031524e-07	0.02058319039451115	72.0	0.02029731275014294	0.0002858776443682104	4.07116027293634e-07	0.028725082047638476	100.48033700263939	0.002572898799313894	0.0711835334476844
ti|1225788|org|Bacillus_amyloliquefaciens_subsp._plantarum_AS43.3	2.416711549564661e-07	0.011435105774728416	40.0	0.011435105774728416	0.0	2.212257303281226e-07	0.0033643907713297064	11.768638918111312	0.0002858776443682104	0.033733562035448826
ti|1052588|org|Bacillus_subtilis_subsp._subtilis_str._RO-NN-1	2.177354794154289e-07	0.006289308176100629	22.0	0.006289308176100629	0.0	8.317084600762553e-08	0.004748545971951459	16.610413809886204	0.0008576329331046312	0.029159519725557463
ti|1177648|org|Bacillus_sp._FJAT-14202	1.2582666952006144e-07	0.008004574042309892	28.0	0.008004574042309892	0.0	1.258266695201923e-07	0.009433962264150943	33.0	0.009433962264150943	0.0
ti|541229|org|Bacillus_thuringiensis_serovar_chinensis_CT-43	6.790278414650204e-08	0.002572898799313894	9.0	0.002572898799313894	0.0	9.924213510601146e-07	0.005300587381616533	18.541454660894633	0.0002858776443682104	0.019153802172670098
ti|405532|org|Bacillus_cereus_B4264	5.996573044533362e-08	0.002001143510577473	7.0	0.002001143510577473	0.0	2.0069165477465146e-08	0.001435407154944025	5.021054227994199	0.0005717552887364208	0.00686106346483705
ti|345219|org|Bacillus_coagulans_36D1	3.095741553536036e-08	0.001429388221841052	5.0	0.001429388221841052	0.0	3.095741757762257e-08	0.009672193634457782	33.83333333333332	0.0011435105774728416	0.014865637507146942
ti|279010|org|Bacillus_licheniformis_DSM_13_=_ATCC_14580	1.2794649671545793e-08	0.00714694110920526	25.0	0.00714694110920526	0.0	7.745325999104439e-09	0.011424944571930449	39.96445611261271	0.005717552887364208	0.033733562035448826
ti|272917|org|Planomicrobium_chinense	1.0197259650468936e-08	0.0005717552887364208	2.0	0.0005717552887364208	0.0	1.0197259650481639e-08	0.0022941779121983617	8.025034336869869	0.0005717552887364208	0.0017152658662092624
ti|1034836|org|Bacillus_amyloliquefaciens_XH7	8.33880163771743e-09	0.003430531732418525	12.0	0.003430531732418525	0.0	4.612618078640862e-09	0.005439613436513551	19.0277678009244	0.0005717552887364208	0.038593481989708404
ti|720555|org|Bacillus_atrophaeus_1942	5.059551725357703e-09	0.005717552887364208	20.0	0.005717552887364208	0.0	7.234186842095691e-08	0.020404935098765477	71.37646297548164	0.0031446540880503146	0.038593481989708404
