Total Number of Aligned Reads:	183280	Total Number of Mapped Genomes:	15741
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1204343|org|Bacillus_subtilis_BEST7613	0.8537205441983149	0.8419631165429943	154315.0	0.8419467481449149	1.636839807944129e-05	0.48061952987625006	0.4526067376241913	82953.76287176178	0.16903644696639022	0.6555707114797031
ti|1204342|org|Bacillus_subtilis_BEST7003	0.09464856657602669	0.08322784810126582	15254.0	0.08322784810126582	0.0	0.40819175023283	0.38717125096361643	70960.74687661162	0.10869707551287647	0.6484286337843737
ti|1147161|org|Bacillus_subtilis_subsp._subtilis_6051-HGW	0.037706418235550515	0.03640877346137058	6673.0	0.03640877346137058	0.0	0.026454518353352434	0.02973813929700384	5450.406170354863	0.015571802706241816	0.08515386294194675
ti|1423|org|Bacillus_subtilis	0.006167893789574006	0.009619161938018332	1763.0	0.009619161938018332	0.0	0.034664826847130646	0.03594271853009996	6587.581452196721	0.011119598428633784	0.07872108249672632
ti|66797|org|Bacillus_phage_SPbeta	0.0056658733917831165	0.0047741161065037105	875.0	0.0047741161065037105	0.0	0.01088253788473275	0.010006547359231606	1833.9999999999686	0.0036283282409428196	0.025371017023134004
ti|1220533|org|Bacillus_subtilis_QB928	0.0010046078719528693	0.0008838934962898297	162.0	0.0008838934962898297	0.0	0.017855140216434754	0.020772570828455936	3807.1967814394043	0.0026025752946311656	0.07934853775643824
ti|535026|org|Bacillus_subtilis_subsp._subtilis_str._NCIB_3610	0.00041795084188916927	0.0006929288520296814	127.0	0.0006929288520296814	0.0	0.0005115845132710641	0.0008165288998932031	149.65341677242625	0.000611086861632475	0.0009220864251418595
ti|224308|org|Bacillus_subtilis_subsp._subtilis_str._168	0.00041694146674308514	0.00032191182889567874	59.0	0.00032191182889567874	0.0	0.015964455105307803	0.01938956159433965	3553.718849010571	0.0031536446966390222	0.07424159755565256
ti|881626|org|Cloning_vector_pYFPamy	8.001427213596431e-05	0.00031099956350938456	57.0	0.00031099956350938456	0.0	4.917612131794908e-05	0.00018495046593327595	33.897721396250816	0.00017459624618070712	0.0002728066346573549
ti|1227747|org|Bacillus_subtilis_Miyagi-4	7.288571674306901e-05	0.00014731558271497162	27.0	0.00014731558271497162	0.0	7.414569309979513e-05	0.00018111132526235106	33.1940836940837	0.00014731558271497162	0.0001964207769532955
ti|1127744|org|Bacillus_sp._JS	5.5034917384156456e-05	0.011725229157573113	2149.0	0.011725229157573113	0.0	0.0016058560614653178	0.01515070827058676	2776.8218118331415	0.014360541248363161	0.006023570493234396
ti|936156|org|Bacillus_subtilis_BSn5	1.5492031682122715e-05	0.00011457878655608905	21.0	0.00011457878655608905	0.0	1.682633572932376e-05	0.001552087795412978	284.4666511432906	0.00011457878655608905	0.011365124399825404
ti|7038|org|Bemisia_tabaci	1.0790819028887796e-05	0.00014185945002182453	26.0	0.00014185945002182453	0.0	1.0790792225291922e-05	0.00014750179722509998	27.034129395416326	0.00014185945002182453	0.0
ti|1052585|org|Bacillus_subtilis_subsp._spizizenii_TU-B-10	7.663086468506793e-06	0.004850501964207769	889.0	0.004850501964207769	0.0	0.00014879129158342503	0.005282828941056549	968.2368883168443	0.004785028371890004	0.004332169358358795
ti|1192196|org|Bacillus_subtilis_subsp._subtilis_str._BSP1	6.045869657481105e-06	3.8192928852029684e-05	7.0	3.8192928852029684e-05	0.0	0.0012028539411636893	0.002467632556964981	452.26769504054175	8.729812309035356e-05	0.01601920558707988
ti|1225788|org|Bacillus_amyloliquefaciens_subsp._plantarum_AS43.3	2.3620910169471084e-06	0.0038956787429070276	714.0	0.0038956787429070276	0.0	2.2564113585856977e-05	0.0037097800207898	679.9284822103546	0.0033446093408991706	0.003208206023570493
ti|227866|org|Bacillus_tequilensis	6.995455282720334e-07	3.273679615888258e-05	6.0	3.273679615888258e-05	0.0	7.252343820535544e-06	4.743832921783489e-05	8.694496979044779	3.273679615888258e-05	0.00016368398079441291
ti|655816|org|Bacillus_subtilis_subsp._spizizenii_str._W23	2.0341860627853292e-07	0.0008129637712789175	149.0	0.0007965953731994762	1.636839807944129e-05	7.000847510859045e-05	0.0023874621462031866	437.5740621561201	0.002002400698384985	0.0038738542121344393
ti|1404|org|Bacillus_megaterium	1.1860915178952537e-08	3.8192928852029684e-05	7.0	3.8192928852029684e-05	0.0	1.1947782495145395e-08	3.8628515806793054e-05	7.079834377069031	3.8192928852029684e-05	0.0
