Total Number of Aligned Reads:	176479	Total Number of Mapped Genomes:	6311
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|748727|org|Clostridium_ljungdahlii_DSM_13528	0.9975916187291239	0.9959315272638671	175761.0	0.9959315272638671	0.0	0.9891484622177023	0.9841565213433895	173682.95873016003	0.9811592314099694	0.005915718017441169
ti|1341692|org|Clostridium_autoethanogenum_DSM_10061	0.00239779792167488	0.0017452501430765134	308.0	0.0017452501430765134	0.0	0.010457087920066072	0.00877226995037046	1548.1214285714286	0.006850673451232158	0.004833436272870993
ti|217158|org|Clostridium_ragsdalei	8.237986942383038e-06	3.399837941058143e-05	6.0	3.399837941058143e-05	0.0	0.00039189405099479974	0.0005766772736213859	101.77142857142857	7.932955195802334e-05	0.001569591849455176
ti|991791|org|Clostridium_acetobutylicum_DSM_1731	2.3453622590075716e-06	0.001337269590149536	236.0	0.001337269590149536	0.0	1.1880948011553638e-06	0.0007961287178644483	140.49999999999997	0.0007309651573275007	0.0006856339847800588
ti|86416|org|Clostridium_pasteurianum_BC1	2.8573728958791393e-18	0.00014165991421075596	25.0	0.00014165991421075596	0.0	1.1432391961981437e-13	0.00018132469018976763	32.0	0.00018132469018976763	0.0
ti|515621|org|Clostridium_botulinum_Ba4_str._657	1.6600817493731183e-28	0.0003116518112636631	55.0	0.0003116518112636631	0.0	5.281636874075986e-13	0.00025206020735233845	44.483333333333334	0.00025498784557936074	3.399837941058143e-05
ti|1094508|org|Thermoanaerobacterium_saccharolyticum_JW/SL-YS485	1.9042427042828032e-29	0.00017565829362133737	31.0	0.00017565829362133737	0.0	2.504095117385905e-28	0.00017565829362133737	31.0	0.00017565829362133737	0.0
ti|394503|org|Clostridium_cellulolyticum_H10	1.3026115745407453e-30	0.00015299270734761642	27.0	0.00015299270734761642	0.0	1.2683890113099941e-29	0.00015299270734761642	27.0	0.00015299270734761642	0.0
ti|290402|org|Clostridium_beijerinckii_NCIMB_8052	8.685981639815921e-32	3.399837941058143e-05	6.0	3.399837941058143e-05	0.0	2.9636696582738346e-15	6.075636320594643e-05	10.72222222222222	3.966477597901167e-05	7.932955195802334e-05
ti|583346|org|Clostridium_kluyveri_NBRC_12016	7.022099640895838e-32	9.632874166331405e-05	17.0	9.632874166331405e-05	0.0	1.1265218339163872e-10	0.0019860719972347985	350.5	0.0019549068161084323	0.00015865910391604668
ti|931276|org|Clostridium_saccharoperbutylacetonicum_N1-4(HMT)	1.0379153448735694e-32	2.2665586273720954e-05	4.0	2.2665586273720954e-05	0.0	1.085581122128391e-11	4.205725453012665e-05	7.422222222222222	2.2665586273720954e-05	7.932955195802334e-05
ti|573061|org|Clostridium_cellulovorans_743B	6.29712136640984e-33	1.1332793136860477e-05	2.0	1.1332793136860477e-05	0.0	2.3335870532874775e-14	3.683157769479655e-05	6.5	3.399837941058143e-05	5.6663965684302384e-06
ti|941968|org|Clostridium_botulinum_H04402_065	1.3482722490415045e-33	5.6663965684302384e-06	1.0	5.6663965684302384e-06	0.0	6.309957924982795e-18	0.00021302503099204125	37.59444444444445	0.00021532306960034904	3.966477597901167e-05
