Total Number of Aligned Reads:	181730	Total Number of Mapped Genomes:	7144
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|699033|org|Clostridium_difficile_2007855	0.9859185421517294	0.9737357618444946	176957.0	0.973697243162934	3.851868156055687e-05	0.2669980097328566	0.30826266072873976	56020.57333423388	0.008512628624883068	0.9597424751004237
ti|699034|org|Clostridium_difficile_BI1	0.0061647152416910034	0.0066032025532383205	1200.0	0.0066032025532383205	0.0	0.2580110531964384	0.29184138428047296	53036.33476529035	0.002349639575193969	0.94269520717548
ti|699032|org|Clostridium_difficile_BI9	0.0032021938020202513	0.01071919881142354	1948.0	0.010625653441919332	9.354536950420954e-05	0.08204520122753503	0.03559382159972392	6468.465199317829	0.00834754856105211	0.12586804600231113
ti|699037|org|Clostridium_difficile_M68	0.0030804996739116834	0.005293567380179387	962.0	0.005282562042590657	1.1005337588730534e-05	0.03181467632288456	0.01054669298152752	1916.6505155329962	0.004622241787266825	0.028558851042755736
ti|645463|org|Clostridium_difficile_R20291	0.0011991256691087431	0.0009629670390139218	175.0	0.0009574643702195565	5.502668794365267e-06	0.2607156946785734	0.2938778675423956	53406.424868479546	0.0036812854234303635	0.9462004071974908
ti|645462|org|Clostridium_difficile_CD196	0.00018406269967657146	0.0001980960765971496	36.0	0.0001980960765971496	0.0	0.011709637063740508	0.019797218410426778	3597.748501726858	0.0002696307709238981	0.08015187365872448
ti|226185|org|Enterococcus_faecalis_V583	0.00013348577286089505	0.00017058273262532327	31.0	0.00017058273262532327	0.0	0.0001566492764480874	0.0002707015462346982	49.194591997231704	0.00024211742695207176	9.90480382985748e-05
ti|272563|org|Clostridium_difficile_630	5.961576342350423e-05	0.00024762009574643703	45.0	0.0002366147581577065	1.1005337588730534e-05	0.08247800093176517	0.031137016325277243	5658.5299767926335	0.0016618059758983107	0.13502998954492929
ti|699035|org|Clostridium_difficile_M120	3.652400983900618e-05	0.0015517526000110053	282.0	0.0015407472624222747	1.1005337588730534e-05	0.0048471205057543576	0.003092898684910553	562.0724780087947	0.0017883673581687118	0.0077917790128212185
ti|1496|org|[Clostridium]_difficile	2.119588878723556e-05	0.00017058273262532327	31.0	0.00017058273262532327	0.0	0.0003707068875944116	0.0014996333526868181	272.52836918377545	0.0002916414461013592	0.006135475705717273
ti|657315|org|Roseburia_intestinalis_M50/1	3.932779959400209e-08	0.0003466681340450118	63.0	0.0003466681340450118	0.0	3.923025815028382e-07	0.00077312496560832	140.5	0.0007703736312111374	5.502668794365267e-06
