Total Number of Aligned Reads:	38963	Total Number of Mapped Genomes:	7407
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|169679|org|Clostridium_saccharobutylicum	0.9708069865796295	0.06552370197366733	2553.0	0.06552370197366733	0.0	0.9708068999938848	0.04468394580114247	1741.020580249914	0.042347868490619306	0.014295613787439366
ti|1488|org|Clostridium_acetobutylicum	0.028595873770709854	0.009419192567307446	367.0	0.009419192567307446	0.0	0.02859587377070984	0.008700267385176855	338.9885181286458	0.008443908323281062	0.0019762338628955675
ti|290402|org|Clostridium_beijerinckii_NCIMB_8052	0.0005163885482891004	0.5913045710032595	23039.0	0.5912789056284167	2.566537484279958e-05	0.0005139757972517394	0.42440706373759496	16536.172424407912	0.4099530323640377	0.027179631958524755
ti|748727|org|Clostridium_ljungdahlii_DSM_13528	4.2556309522079825e-05	0.02735928958242435	1066.0	0.027333624207581553	2.566537484279958e-05	4.2380066864079666e-05	0.02335031729328884	909.798412698413	0.022200549239021636	0.0018992377383671689
ti|508767|org|Clostridium_botulinum_E3_str._Alaska_E43	2.314166619168328e-05	0.08117958062777507	3163.0	0.08112824987808948	5.133074968559916e-05	2.335647970718024e-05	0.07230808919654753	2817.3400793650817	0.06331647973718656	0.01645150527423453
ti|931276|org|Clostridium_saccharoperbutylacetonicum_N1-4(HMT)	1.4970875153300066e-05	0.17224033057002797	6711.0	0.17224033057002797	0.0	1.7401622356085102e-05	0.29523691338231933	11503.315856115309	0.2808561969047558	0.02853989682519313
ti|195103|org|Clostridium_perfringens_ATCC_13124	6.204366997238474e-08	0.0024638759849087595	96.0	0.0024638759849087595	0.0	6.203923021864193e-08	0.002096005612161966	81.66666666666667	0.001283268742139979	0.0014372609911967764
ti|573061|org|Clostridium_cellulovorans_743B	9.4891097456871e-09	0.004850755845289121	189.0	0.004850755845289121	0.0	9.658286708153026e-09	0.005967199650950902	232.5	0.005800374714472705	0.00017965762389959706
ti|1520|org|Clostridium_beijerinckii	6.474423109538043e-09	0.00015399224905679747	6.0	0.00015399224905679747	0.0	6.474284893629872e-09	0.001388902399948865	54.11580420920763	0.0008726227446551857	0.0029771834817647514
ti|1559|org|Clostridium_tertium	2.463740086333835e-09	0.0014372609911967764	56.0	0.0014372609911967764	0.0	2.464174998411765e-09	0.0014372609911967764	56.0	0.0014372609911967764	0.0
ti|1492|org|Clostridium_butyricum	6.892587330647219e-10	0.0013345994918255782	52.0	0.0013345994918255782	0.0	6.88589630826738e-10	0.0022540852474196697	87.82592349521259	0.0018735723635243692	0.002566537484279958
ti|86416|org|Clostridium_pasteurianum_BC1	6.277062905093595e-10	0.004029463850319534	157.0	0.004029463850319534	0.0	6.558464758852327e-10	0.006018530400636502	234.5	0.005338397967302313	0.0007186304955983882
ti|272562|org|Clostridium_acetobutylicum_ATCC_824	1.316560379281633e-10	0.0050304134691887175	196.0	0.004850755845289121	0.00017965762389959706	1.089483770019856e-10	0.002056081695739832	80.11111111111107	7.699612452839873e-05	0.005903036213843903
ti|991791|org|Clostridium_acetobutylicum_DSM_1731	1.0582946566386066e-10	5.133074968559916e-05	2.0	5.133074968559916e-05	0.0	1.0722323178619044e-10	0.0020817470705826314	81.11111111111107	0.0001283268742139979	0.005877370839001104
ti|293826|org|Alkaliphilus_metalliredigens_QYMF	8.330245519096849e-11	0.00010266149937119832	4.0	0.00010266149937119832	0.0	6.629357863415898e-09	0.0009239534943407848	36.0	0.0008982881194979853	2.566537484279958e-05
ti|508765|org|Clostridium_botulinum_B_str._Eklund_17B	5.5814076089619604e-11	0.019300361881785282	752.0	0.019274696506942485	2.566537484279958e-05	2.2834686981843096e-08	0.05739971458473634	2236.465079365082	0.049534173446603186	0.017555116392474913
ti|515621|org|Clostridium_botulinum_Ba4_str._657	4.4504233390512654e-11	0.0030028488566075508	117.0	0.0029515181069219515	5.133074968559916e-05	4.77312987850026e-11	0.0023114521754256886	90.0611111111111	0.001462926366039576	0.0014115956163539768
ti|536232|org|Clostridium_botulinum_A2_str._Kyoto	2.998111992769012e-11	0.002078895362266766	81.0	0.0020532299874239665	2.566537484279958e-05	5.2912764528366005e-11	0.00163901935454434	63.86111111111112	0.0012576033672971794	0.0009239534943407848
ti|498214|org|Clostridium_botulinum_A3_str._Loch_Maree	4.914152398788373e-12	0.0014372609911967764	56.0	0.0013602648666683776	7.699612452839873e-05	1.7353274821803693e-11	0.0017880211140483705	69.66666666666666	0.0008982881194979853	0.0011806072427687807
ti|498213|org|Clostridium_botulinum_B1_str._Okra	2.7144806217564446e-12	0.0013089341169827786	51.0	0.0013089341169827786	0.0	1.0958673235470626e-11	0.002525717316672838	98.40952380952379	0.0008726227446551857	0.0029771834817647514
ti|646529|org|Desulfosporosinus_acidiphilus_SJ4	2.7122231955734574e-12	0.0007186304955983882	28.0	0.0007186304955983882	0.0	2.7584644325028134e-12	0.0011164438056617816	43.5	0.0010009496188691837	0.0001283268742139979
ti|758678|org|Clostridium_botulinum_F_str._230613	5.86052305784475e-13	0.00010266149937119832	4.0	0.00010266149937119832	0.0	1.3656119042465359e-11	0.0009135040202976446	35.59285714285713	0.00010266149937119832	0.0023355491106947616
ti|768704|org|Desulfosporosinus_meridiei_DSM_13257	2.930274288278631e-13	2.566537484279958e-05	1.0	2.566537484279958e-05	0.0	2.881709371061046e-12	0.0001283268742139979	5.0	0.00010266149937119832	2.566537484279958e-05
ti|441771|org|Clostridium_botulinum_A_str._Hall	1.0054711753819338e-13	0.00010266149937119832	4.0	0.00010266149937119832	0.0	2.9299843032432876e-12	0.0008154052542318324	31.770634920634883	7.699612452839873e-05	0.0024125452352231603
ti|212717|org|Clostridium_tetani_E88	9.930961074723128e-14	0.0009239534943407848	36.0	0.0009239534943407848	0.0	6.800877956160018e-12	0.001270436054718579	49.5	0.0010522803685547827	0.0002309883735851962
ti|1262449|org|Clostridium_pasteurianum_DSM_525	5.161067994352742e-14	0.00010266149937119832	4.0	0.00010266149937119832	0.0	3.3205946376152555e-12	0.00044914405974899265	17.5	0.0004106459974847933	5.133074968559916e-05
ti|863638|org|Clostridium_acetobutylicum_EA_2018	2.268354915350688e-14	0.00010266149937119832	4.0	0.00010266149937119832	0.0	3.3041801035620645e-12	0.0020304163208970326	79.11111111111109	7.699612452839873e-05	0.005826040089315505
ti|289380|org|Clostridium_perfringens_SM101	3.116615235029421e-15	0.0005389728716987911	21.0	0.0005389728716987911	0.0	1.6284583034663585e-12	0.0018714335822874694	72.91666666666667	0.0013089341169827786	0.0008726227446551857
ti|441772|org|Clostridium_botulinum_F_str._Langeland	2.9802250798945782e-15	2.566537484279958e-05	1.0	2.566537484279958e-05	0.0	3.6456156602537106e-12	0.0010033328322474433	39.092857142857135	0.00017965762389959706	0.002386879860380361
ti|195102|org|Clostridium_perfringens_str._13	7.219399926562902e-16	0.00033364987295639455	13.0	0.00033364987295639455	0.0	4.242679325394203e-11	0.001663971802308173	64.83333333333334	0.0006929651207555886	0.0020275646125811667
ti|431943|org|Clostridium_kluyveri_DSM_555	5.727438551129293e-16	0.0014372609911967764	56.0	0.0014372609911967764	0.0	7.789890866833551e-14	0.0012576033672971794	49.0	0.0014885917408823757	0.000975284244026384
