Total Number of Aligned Reads:	220400	Total Number of Mapped Genomes:	14052
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	0.5133423635760604	0.515467332123412	113609.0	0.515467332123412	0.0	0.42778772660288555	0.3827952306118077	84368.06882684241	0.1030989110707804	0.5137749546279492
ti|655817|org|Escherichia_coli_ABU_83972	0.45389180365012805	0.4393738656987296	96838.0	0.43936479128856626	9.074410163339384e-06	0.4193416672825937	0.28163714424499287	62072.82659159643	0.2668103448275862	0.15259981851179674
ti|562|org|Escherichia_coli	0.006322774053326365	0.0031715063520871144	699.0	0.0031533575317604355	1.8148820326678767e-05	0.022789833928451707	0.00725245469399419	1598.4410145563195	0.00588929219600726	0.02323049001814882
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	0.0035294855558737678	0.0032441016333938292	715.0	0.0031669691470054447	7.713248638838476e-05	0.0037908403727380823	0.003628353291742494	799.6890655000457	0.0020462794918330307	0.029623411978221416
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	0.0034173119995593985	0.0012386569872958257	273.0	0.0012023593466424683	3.6297640653357535e-05	0.0033282246080874353	0.0031876090344434647	702.5490311913396	0.0013067150635208712	0.03234573502722323
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.003372349633031155	0.005798548094373866	1278.0	0.005798548094373866	0.0	0.0036231493741044735	0.006313660485189374	1391.530770935738	0.004310344827586207	0.032985480943738654
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.002373177668475784	0.0011932849364791288	263.0	0.0011615245009074411	3.176043557168784e-05	0.005238609732344746	0.0031742513558870793	699.6049988375123	0.0014382940108892922	0.03254083484573503
ti|591946|org|Escherichia_coli_LF82	0.002372596265630146	0.0015517241379310344	342.0	0.0015471869328493647	4.537205081669692e-06	0.01755466936299696	0.017737210428951603	3909.281178540933	0.0016787658802177858	0.14349818511796733
ti|409438|org|Escherichia_coli_SE11	0.001736738305002098	0.0033484573502722322	738.0	0.0033484573502722322	0.0	0.0015178536685914914	0.00452510775894583	997.3337500716609	0.003352994555353902	0.03013611615245009
ti|439855|org|Escherichia_coli_SMS-3-5	0.0012981391378305632	0.0007486388384754991	165.0	0.000721415607985481	2.7223230490018148e-05	0.0020887806380051398	0.00703206052860582	1549.8661405047228	0.0006125226860254084	0.05263157894736842
ti|585035|org|Escherichia_coli_S88	0.0011931001512393022	0.0014473684210526317	319.0	0.0014156079854809437	3.176043557168784e-05	0.0012378363729813047	0.0131339056334978	2894.7128016229153	0.0012885662431941923	0.12661070780399275
ti|869729|org|Escherichia_coli_UM146	0.0011842222587270786	0.0005762250453720508	127.0	0.0005762250453720508	0.0	0.01570882277764551	0.014924063904058342	3289.2636844544586	0.0012023593466424683	0.13832577132486387
ti|573235|org|Escherichia_coli_O26:H11_str._11368	0.001119060545079512	0.000721415607985481	159.0	0.0006941923774954628	2.7223230490018148e-05	0.0028311339061097385	0.0030319417429516106	668.2399601465349	0.000911978221415608	0.03367967332123412
ti|701177|org|Escherichia_coli_O55:H7_str._CB9615	0.0006430274239360741	0.000544464609800363	120.0	0.000544464609800363	0.0	0.0032567945673371954	0.002379047974316564	524.3421735393707	0.0004809437386569873	0.03179219600725953
ti|414970|org|Enterobacteria_phage_cdtI	0.0005411759120391091	0.00012250453720508167	27.0	0.00012250453720508167	0.0	0.0031996066738207668	0.0008391830870279147	184.9559523809524	0.0009029038112522686	0.0007849364791288567
ti|431946|org|Escherichia_coli_SE15	0.00042065201739288985	0.002540834845735027	560.0	0.002540834845735027	0.0	0.0015115591888204538	0.0159962532821311	3525.5742233816945	0.002454627949183303	0.10867513611615245
ti|1134782|org|Escherichia_coli_O104:H4_str._2009EL-2050	0.0003917770129958977	0.000911978221415608	201.0	0.000911978221415608	0.0	0.0004975462737043918	0.0017840947043225154	393.2144728326824	0.0007713248638838476	0.030490018148820328
ti|696406|org|Escherichia_coli_UMNK88	0.0003054828019521192	0.0003765880217785844	83.0	0.0003720508166969147	4.537205081669692e-06	0.0009087753562850111	0.001556230812373475	342.99327104711386	0.0003176043557168784	0.030417422867513613
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.00029307679079494333	0.0006760435571687841	149.0	0.0006760435571687841	0.0	0.015288639947929398	0.015179808785447377	3345.629856312602	0.0013475499092558984	0.14245462794918332
ti|591020|org|Shigella_flexneri_2002017	0.00025916223572445483	0.0015970961887477313	352.0	0.0015925589836660618	4.537205081669692e-06	0.0006694248103111055	0.0022175735623822866	488.75321314905597	0.001088929219600726	0.022976406533575317
ti|585054|org|Escherichia_fergusonii_ATCC_35469	0.0002087252688176701	0.00045825771324863886	101.0	0.00045825771324863886	0.0	0.00014690077982526444	0.0009317229778373092	205.35174431534296	0.0003720508166969147	0.00897912885662432
ti|741093|org|Escherichia_coli_Xuzhou21	0.0001920757507088274	0.0003130671506352087	69.0	0.0003130671506352087	0.0	0.0027558882216748896	0.0026492505554768456	583.8948224270968	0.0009528130671506353	0.032604355716878405
ti|585397|org|Escherichia_coli_ED1a	0.00019190967129038738	0.00017241379310344826	38.0	0.00017241379310344826	0.0	0.0001853420187877734	0.016378158094676406	3609.7460440666796	0.00013611615245009076	0.12572595281306714
ti|405955|org|Escherichia_coli_APEC_O1	0.00018347085037603405	0.00044464609800362977	98.0	0.00044464609800362977	0.0	0.0029676973432249776	0.013158813354727758	2900.202463381998	0.0003720508166969147	0.132486388384755
ti|566546|org|Escherichia_coli_W	0.00018022052573950887	0.00017695099818511797	39.0	0.00017695099818511797	0.0	0.00015526760843190493	0.001178650163666372	259.77449607206836	0.00010889292196007259	0.029469147005444646
ti|585395|org|Escherichia_coli_O103:H2_str._12009	0.0001766009192799376	0.00294010889292196	648.0	0.00294010889292196	0.0	0.002096811420375626	0.004990585161921203	1099.924969687433	0.003207803992740472	0.03147005444646098
ti|573|org|Klebsiella_pneumoniae	0.00010676254648684672	0.0005716878402903811	126.0	0.0005716878402903811	0.0	0.00010609216949295746	0.0006206624844384362	136.79401157023133	0.0005535390199637024	0.0007803992740471869
ti|376725|org|Escherichia_coli_O103:H2	0.0001021188001252749	6.352087114337569e-05	14.0	6.352087114337569e-05	0.0	0.00011620250107631583	0.0001114315962319592	24.559523809523807	9.981851179673321e-05	5.898366606170599e-05
ti|168927|org|Escherichia_coli_O111:H-	7.979183900517497e-05	0.0006578947368421052	145.0	0.0006578947368421052	0.0	0.0012685931233388775	0.0012367664570337585	272.5833271302404	0.0009482758620689655	0.003280399274047187
ti|216592|org|Escherichia_coli_042	7.295350986582105e-05	0.00011796733212341197	26.0	0.00011796733212341197	0.0	0.00035430289828233786	0.00328283990548871	723.5379151697117	8.166969147005445e-05	0.03430127041742287
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	5.5655411170399054e-05	0.0003584392014519056	79.0	0.0003584392014519056	0.0	0.0001537988811016468	0.0022082346273386913	486.6949118654476	0.0011705989110707804	0.030290381125226862
ti|198215|org|Shigella_flexneri_2a_str._2457T	4.972000763324755e-05	0.0003039927404718693	67.0	0.0003039927404718693	0.0	0.0005050773001429108	0.0015235576143111328	335.79209819417366	0.0005127041742286751	0.024033575317604354
