Total Number of Aligned Reads:	198210	Total Number of Mapped Genomes:	14287
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|469008|org|Escherichia_coli_BL21(DE3)	0.5312120231251002	0.6929721002976641	137354.0	0.6919630694717723	0.001009030825891731	0.3170903669354017	0.0930008858242801	18433.70557923056	0.015246455779224056	0.5260229049997477
ti|655817|org|Escherichia_coli_ABU_83972	0.20356362670632866	0.2763987689823924	54785.0	0.276020382422683	0.00037838655970939914	0.19514160834128846	0.2714741036945145	53808.88209328972	0.2701528681701226	0.03588618132283941
ti|413997|org|Escherichia_coli_B_str._REL606	0.06458650852691894	0.004833257656021391	958.0	0.0046415417991019624	0.00019171585691942888	0.13156580646850582	0.08226289092708562	16305.327610657641	0.004369103476111195	0.5169466727208516
ti|866768|org|Escherichia_coli_BL21-Gold(DE3)pLysS_AG	0.04547295508754393	0.0024468997527874476	485.0	0.0024166288280106957	3.027092477675193e-05	0.11909507328213058	0.07844838498793733	15549.254388459058	0.005423540689168054	0.4936784218757883
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.031020722905856692	0.004712173956914384	934.0	0.004691993340396549	2.018061651783462e-05	0.03105405646332482	0.012482722117541553	2474.2003509179112	0.004404419555017406	0.1509459663992735
ti|1147148|org|Enterobacteria_phage_HK629	0.03040446356391327	0.0017859845618283638	354.0	0.0017859845618283638	0.0	0.02715103992207428	0.0018422501174508118	365.1523957799254	0.001609404167297311	0.0035316078906210586
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.02906260520787995	0.0018061651783461985	358.0	0.0017809394076989053	2.5225770647293274e-05	0.018434934625733534	0.008996828237594578	1783.2613249736214	0.001271378840623581	0.15607184299480348
ti|910348|org|Escherichia_coli_P12b	0.022591736104810158	0.0019272488774532061	382.0	0.0019070682609353717	2.018061651783462e-05	0.028306108735163812	0.020212154207693386	4006.251085506906	0.0018414812572524091	0.24929115584481107
ti|562|org|Escherichia_coli	0.014433313429443305	0.004495232329347661	891.0	0.004495232329347661	0.0	0.022151162631469743	0.010062130453647986	1994.4148772175672	0.004631451490843045	0.08455678320972705
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.009622368975563001	0.0009232632056909338	183.0	0.0009232632056909338	0.0	0.01633717554590096	0.018244091934216344	3616.161462281021	0.0013420109984360023	0.26577871953988197
ti|566546|org|Escherichia_coli_W	0.002892031937689165	0.0003682962514504818	73.0	0.0003682962514504818	0.0	0.003371140866920882	0.008627240306123206	1710.0053010766808	0.00020685131930780486	0.15551687604056305
ti|42897|org|Shigella_flexneri_2a	0.002627877828453463	0.00021694162756672218	43.0	0.00021694162756672218	0.0	0.0011891461810298195	0.00016963059225279706	33.62247969042691	5.5496695424045205e-05	0.0011149790626103627
ti|481805|org|Escherichia_coli_ATCC_8739	0.0020010646112289185	0.00018667070278997024	37.0	0.0001664900862721356	2.018061651783462e-05	0.002799054428518196	0.023498303708264667	4657.59877801514	0.00014126431562484234	0.2757075828666566
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.0017488298555261889	0.0012360627617173704	245.0	0.0012360627617173704	0.0	0.0028884021442547258	0.0024991462277636216	495.35577380502747	0.001271378840623581	0.0327884566873518
ti|1267599|org|Bacillus_sp._SXB	0.0014850016000945195	0.00011603854497754907	23.0	0.00011603854497754907	0.0	0.0014850016000945198	0.00012053435469047952	23.891114443199946	0.00011603854497754907	0.00010594823671863175
ti|373384|org|Shigella_flexneri_5_str._8401	0.0011580468458464704	0.0007719085818071742	153.0	0.0007719085818071742	0.0	0.00121980163360662	0.004923425718776619	975.8722117187137	0.00037838655970939914	0.09037384592099289
ti|585056|org|Escherichia_coli_UMN026	0.0008751725952824112	0.00011603854497754907	23.0	0.00011603854497754907	0.0	0.005073525625711144	0.0037648598051456153	746.2328619779124	0.0002724383229907674	0.056717622723374196
ti|439855|org|Escherichia_coli_SMS-3-5	0.0008536775264029048	0.000993895363503355	197.0	0.0009787599011149791	1.5135462388375965e-05	0.0008160057080229661	0.0033646489186856593	666.9070621726845	0.0008829019726552647	0.04635487614146612
ti|595496|org|Escherichia_coli_BW2952	0.0008506402451883744	3.5316078906210584e-05	7.0	3.5316078906210584e-05	0.0	0.013379245992246089	0.01907129180494734	3780.120748658612	0.0008576762020079714	0.26766056203017
ti|43842|org|Cloning_vector_TLF97-3	0.0008072476699899426	4.54063871651279e-05	9.0	4.54063871651279e-05	0.0	0.001221050692397552	0.0003743029617568286	74.190590049821	4.54063871651279e-05	0.004515412945865496
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.0006321135327396482	5.045154129458655e-05	10.0	5.045154129458655e-05	0.0	0.0023890659477491267	0.0011970646199403019	237.27017831836724	0.00011603854497754907	0.032874224307552595
ti|409438|org|Escherichia_coli_SE11	0.00048667153372290966	5.5496695424045205e-05	11.0	5.5496695424045205e-05	0.0	0.0040451773611694915	0.008879655980871608	1760.0366119685616	0.00038343171383885776	0.15778215024468997
ti|316401|org|Escherichia_coli_ETEC_H10407	0.0004565233054027469	0.00014126431562484234	28.0	0.00014126431562484234	0.0	0.0007906404667245944	0.019918769224140837	3948.0992479169554	0.00016144493214267696	0.26683820190706825
ti|431946|org|Escherichia_coli_SE15	0.000195807697842255	6.054184955350386e-05	12.0	6.054184955350386e-05	0.0	0.0002161284100817158	0.001405377887260615	278.5599510339265	3.5316078906210584e-05	0.034604712173956914
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.00016565652564422758	0.00017153524040159428	34.0	0.00017153524040159428	0.0	0.000554389769169143	0.0046938812903888965	930.3742105679831	0.00011603854497754907	0.08986428535391756
ti|1134782|org|Escherichia_coli_O104:H4_str._2009EL-2050	0.0001429527982774648	2.5225770647293274e-05	5.0	2.5225770647293274e-05	0.0	0.004081909879821067	0.008240911697314345	1633.4311075246765	6.054184955350386e-05	0.15711618989960144
ti|696406|org|Escherichia_coli_UMNK88	0.0001343503286900145	5.045154129458655e-05	10.0	5.045154129458655e-05	0.0	0.0026802969627662504	0.02180722237259853	4322.409546472754	8.576762020079714e-05	0.26530447505171284
ti|1274814|org|Escherichia_coli_APEC_O78	0.00010742881690955368	0.0001362191614953837	27.0	0.0001362191614953837	0.0	0.008815305264839065	0.00991254446595093	1964.765438596134	0.00025225770647293276	0.1597699409716967
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	9.944176049346785e-05	0.0008425407396195954	167.0	0.0008324504313606781	1.009030825891731e-05	0.0024596625796917426	0.004808718329866454	953.1360601628297	0.0007769537359366329	0.08450633166843247
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	8.188341326323434e-05	6.558700368296251e-05	13.0	6.558700368296251e-05	0.0	0.0018619936864388952	0.00428808819350208	849.9419608340472	0.00032288986428535393	0.08412289995459361
ti|701177|org|Escherichia_coli_O55:H7_str._CB9615	6.837415722646098e-05	2.5225770647293274e-05	5.0	2.5225770647293274e-05	0.0	0.0010727204116776155	0.004154486091786028	823.4606882529087	2.018061651783462e-05	0.08622168407244842
ti|741093|org|Escherichia_coli_Xuzhou21	5.041827612447465e-05	8.576762020079714e-05	17.0	8.576762020079714e-05	0.0	0.00019743267098220718	0.004093055931287033	811.2846161404028	9.585792845971444e-05	0.08689268957166642
ti|300269|org|Shigella_sonnei_Ss046	4.383755503892354e-05	0.0002825286312496847	56.0	0.0002825286312496847	0.0	4.5259369682880365e-05	0.0069735675104461515	1382.2308162455317	0.00015135462388375965	0.12822763735432116
ti|591946|org|Escherichia_coli_LF82	2.763731677032699e-05	0.00028757378537914334	57.0	0.00028757378537914334	0.0	0.008596296380634522	0.0027469252719365873	544.468058150551	0.0008425407396195954	0.03570960092830836
ti|344609|org|Shigella_boydii_CDC_3083-94	1.2191777977039695e-05	0.00012108369910700772	24.0	0.00012108369910700772	0.0	0.00010250640469383695	0.006320903420415334	1252.8662669605233	0.00016144493214267696	0.11309217496594522
ti|10705|org|Enterobacteria_phage_82	5.441685779296231e-06	0.00016144493214267696	32.0	0.00016144493214267696	0.0	5.443326622045466e-06	0.00022703193582563946	45.0	0.00016144493214267696	0.00013117400736592502
ti|623|org|Shigella_flexneri	4.9875198497179295e-06	8.072246607133848e-05	16.0	8.072246607133848e-05	0.0	0.00010779401620653463	0.0003667410327375455	72.6917400989089	8.072246607133848e-05	0.0049644316633873165
ti|797074|org|Reporter_vector_pGlowRed	3.896129066558377e-06	9.585792845971444e-05	19.0	9.585792845971444e-05	0.0	3.89612907850562e-06	9.60445234736853e-05	19.036984997719163	9.585792845971444e-05	0.0
ti|362663|org|Escherichia_coli_536	3.5657730886652423e-06	6.054184955350386e-05	12.0	6.054184955350386e-05	0.0	4.9529923776492444e-06	0.001215149937460383	240.8548691040225	6.054184955350386e-05	0.03252106351849049
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	2.5724258127627627e-06	0.00011099339084809041	22.0	0.00011099339084809041	0.0	3.084331226598517e-05	0.00014038784883788674	27.82627551815753	0.00011099339084809041	0.0002825286312496847
ti|300267|org|Shigella_dysenteriae_Sd197	1.1489467639574706e-06	0.00016144493214267696	32.0	0.00016144493214267696	0.0	1.0067695677198435e-05	0.0032750416002925034	649.1459955939771	0.0002018061651783462	0.053312143685989605
ti|585035|org|Escherichia_coli_S88	1.0653073712301742e-06	0.00013117400736592502	26.0	0.00013117400736592502	0.0	7.989473327836644e-05	0.00200708363591141	397.82404747400057	0.00015135462388375965	0.038650925785782754
ti|6999|org|Gryllus_bimaculatus	6.071511548700887e-07	4.54063871651279e-05	9.0	4.54063871651279e-05	0.0	6.07151542557917e-07	8.687484583920512e-05	17.219463193788847	4.54063871651279e-05	0.0006609151909590838
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	4.968619896252253e-07	5.5496695424045205e-05	11.0	5.5496695424045205e-05	0.0	1.6323572029396772e-06	0.0013027409965005194	258.21629291636793	7.567731194187983e-05	0.033181978709449576
ti|585395|org|Escherichia_coli_O103:H2_str._12009	4.013760201614146e-07	3.5316078906210584e-05	7.0	3.5316078906210584e-05	0.0	1.2305472957879251e-05	0.008199386673328323	1625.2004325204068	7.063215781242117e-05	0.158145401342011
ti|573235|org|Escherichia_coli_O26:H11_str._11368	3.5442343426717164e-07	8.576762020079714e-05	17.0	8.576762020079714e-05	0.0	3.4735370274210604e-05	0.008472996997757472	1679.4327349255086	7.063215781242117e-05	0.15887190353665304
ti|300268|org|Shigella_boydii_Sb227	2.348276927874825e-07	7.567731194187983e-05	15.0	7.567731194187983e-05	0.0	8.559314352623509e-05	0.006129255988896437	1214.8798295591628	0.00017153524040159428	0.11227990515110237
ti|1033813|org|Escherichia_coli_NA114	1.647110707863696e-08	7.063215781242117e-05	14.0	7.063215781242117e-05	0.0	0.0007256121319255253	0.0016282822218901159	322.74181920083987	0.00019676101104888755	0.03650169012663337
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	7.955739012398231e-09	3.027092477675193e-05	6.0	3.027092477675193e-05	0.0	2.6734674939351007e-06	0.0031447338024878408	623.3176869911149	5.045154129458655e-05	0.05299934412996317
ti|77133|org|uncultured_bacterium	9.309484120893736e-16	5.045154129458655e-06	1.0	5.045154129458655e-06	0.0	6.65344442907295e-16	0.0004739320216962901	93.93806602042166	1.009030825891731e-05	0.005539579234145603
ti|536056|org|Escherichia_coli_DH1	5.507770816100552e-26	5.045154129458655e-06	1.0	5.045154129458655e-06	0.0	5.621218860442319e-05	0.01790164968519827	3548.2859841031486	2.018061651783462e-05	0.2709247767519298
