Total Number of Aligned Reads:	199050	Total Number of Mapped Genomes:	13465
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|595496|org|Escherichia_coli_BW2952	0.320469590052252	0.6794122079879428	135237.0	0.6529615674453655	0.02645064054257724	0.1599200718763972	0.06107463238827316	12156.905576885772	0.0063250439588043205	0.5242652599849285
ti|655817|org|Escherichia_coli_ABU_83972	0.19178741948824304	0.2730268776689274	54346.0	0.26793268023109773	0.005094197437829691	0.1887451092855394	0.2658236629653903	52912.20011326094	0.26506405425772417	0.03526752072343632
ti|316385|org|Escherichia_coli_str._K-12_substr._DH10B	0.12718122762081205	0.008163777945239889	1625.0	0.005727204220045215	0.0024365737251946747	0.13858922752102218	0.05374849869046175	10698.638664336411	0.0048882190404421	0.4904647073599598
ti|469008|org|Escherichia_coli_BL21(DE3)	0.10724235072675083	0.007882441597588545	1569.0	0.0076764632002009545	0.00020597839738759107	0.08614099789711754	0.02390551888042969	4758.39353314953	0.00461693041949259	0.27008791760864104
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.07314728102682573	0.003647324792765637	726.0	0.0036222054760110525	2.5119316754584274e-05	0.10617371680270685	0.050992086198154415	10149.974757742637	0.0048882190404421	0.4875006279829189
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.041363160917741455	0.008158754081888972	1624.0	0.008148706355187139	1.004772670183371e-05	0.030145461776183997	0.012575709496242692	2503.194975227108	0.0048480281336347655	0.14755086661642802
ti|562|org|Escherichia_coli	0.0306792782661643	0.004737503139914594	943.0	0.004737503139914594	0.0	0.0444938434267411	0.015060841536660105	2997.860507872194	0.005491082642552122	0.12442602361215775
ti|910348|org|Escherichia_coli_P12b	0.022005351698131947	0.0016829942225571465	335.0	0.0016729464958553128	1.004772670183371e-05	0.036864842303890574	0.02918641135890823	5809.555180990683	0.001632755589047978	0.34276312484300425
ti|1147148|org|Enterobacteria_phage_HK629	0.021424149180178105	0.0012760612911328812	254.0	0.0012760612911328812	0.0	0.021471624883012647	0.0014513373821073091	288.8887059084599	0.0012961567445365486	0.002421502135141924
ti|413997|org|Escherichia_coli_B_str._REL606	0.01360583728170603	0.0008088419994976136	161.0	0.0008088419994976136	0.0	0.036333130197035206	0.020633183188539857	4107.035113678859	0.0009143431298668677	0.27026375282592313
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.011264921272200402	0.0022255714644561666	443.0	0.002215523737754333	1.004772670183371e-05	0.016066867871887158	0.010175692310411634	2025.4715543874356	0.0022406430545089174	0.15450389349409696
ti|566546|org|Escherichia_coli_W	0.007776375110455521	0.0006531022356191912	130.0	0.0006531022356191912	0.0	0.00723006728827902	0.008050201306106848	1602.392569980568	0.00048731474503893493	0.15163526752072343
ti|595495|org|Escherichia_coli_KO11FL	0.007086349463453247	0.00043205224817884953	86.0	0.00043205224817884953	0.0	0.00939663108689823	0.009060377614323769	1803.4681641311463	0.00045717156493343383	0.16845516201959307
ti|1274814|org|Escherichia_coli_APEC_O78	0.006743652682321962	0.0007586033659884451	151.0	0.0007586033659884451	0.0	0.014268863792063454	0.009464919073314117	1883.9921415431752	0.0009796533534287867	0.15867872393870885
ti|10090|org|Mus_musculus	0.005515185857992445	0.00027631248430042704	55.0	0.00027631248430042704	0.0	0.0058932849795541396	0.001054997356190604	209.9972237497397	0.00029640793770409444	0.011268525496106506
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.0026046389897993634	0.0012760612911328812	254.0	0.0012760612911328812	0.0	0.005397504688704337	0.005028079039938338	1000.8391328997261	0.0010449635769907057	0.08683747802059784
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.0024836667285136308	0.00021602612408942477	43.0	0.00021602612408942477	0.0	0.0030238600809069775	0.007739335767015813	1540.5147844244975	0.0005928158754081889	0.15324290379301683
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.0020216815710911345	0.001175584024114544	234.0	0.001175584024114544	0.0	0.003294764254657739	0.0025874012887772023	515.0222265311021	0.0015172067319768902	0.03298668676212007
ti|10710|org|Enterobacteria_phage_lambda	0.0011030408367418147	7.535795026375282e-05	15.0	7.535795026375282e-05	0.0	0.001805646823662567	0.0005680264345759466	113.06566180234218	2.5119316754584274e-05	0.006068826927907561
ti|1267599|org|Bacillus_sp._SXB	0.0009372383109351218	9.04295403165034e-05	18.0	9.04295403165034e-05	0.0	0.0009372383109351218	9.528477082954417e-05	18.966433633620767	9.04295403165034e-05	8.540567696558653e-05
ti|316407|org|Escherichia_coli_str._K-12_substr._W3110	0.0008452531970051926	4.019090680733484e-05	8.0	4.019090680733484e-05	0.0	0.05076878339386241	0.04929227751327447	9811.627839017283	0.0008440090429540317	0.5028284350665662
ti|198214|org|Shigella_flexneri_2a_str._301	0.0007976987754986132	0.00042200452147701583	84.0	0.00042200452147701583	0.0	0.0007618265883708919	0.004454464257904507	886.661110535892	0.0003014318010550113	0.0915046470735996
ti|439855|org|Escherichia_coli_SMS-3-5	0.0007740507791187357	0.0011906556141672946	237.0	0.0011906556141672946	0.0	0.0008276536590682889	0.0030508139485463477	607.2645164581505	0.0011554885707108766	0.04537553378548104
ti|686265|org|Helper_vector_pRH210	0.0002166882000470789	3.5167043456417986e-05	7.0	3.5167043456417986e-05	0.0	0.0003083302239065799	6.949677635434984e-05	13.833333333333336	8.038181361466968e-05	4.52147701582517e-05
ti|866768|org|Escherichia_coli_BL21-Gold(DE3)pLysS_AG	0.00019260211110028316	2.5119316754584274e-05	5.0	2.5119316754584274e-05	0.0	0.00040759769682131635	0.01997216138858877	3975.4587243985948	5.023863350916855e-05	0.28349660889223816
ti|300269|org|Shigella_sonnei_Ss046	0.000151709867185985	0.00032152725445867874	64.0	0.00032152725445867874	0.0	0.00011110866788382478	0.0060595976397898885	1206.1629102001773	0.0001356443104747551	0.12437076111529767
ti|10705|org|Enterobacteria_phage_82	0.00014868880835969877	0.00011052499372017081	22.0	0.00011052499372017081	0.0	0.00014868977879441185	0.00016076362722933937	32.0	0.00011554885707108767	9.545340366742025e-05
ti|216592|org|Escherichia_coli_042	0.00013274900269974	2.009545340366742e-05	4.0	2.009545340366742e-05	0.0	0.0006493767876087351	0.0027902369609087312	555.396667068883	1.004772670183371e-05	0.05660386837478021
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	9.299764740226441e-05	8.540567696558653e-05	17.0	8.540567696558653e-05	0.0	0.000489337837752305	0.002155829525688844	429.1178670883644	5.5262496860085404e-05	0.0484350665661894
ti|176969|org|Expression_vector_410-FOR	7.991993862326687e-05	2.009545340366742e-05	4.0	2.009545340366742e-05	0.0	7.991981267667944e-05	1.707759173218168e-05	3.3992946342907633	5.023863350916855e-06	0.00014066817382567194
ti|344609|org|Shigella_boydii_CDC_3083-94	4.161595850588425e-05	6.028636021100226e-05	12.0	6.028636021100226e-05	0.0	0.00021448450819075917	0.005638480320779191	1122.339507851098	9.545340366742025e-05	0.11010801306204471
ti|591946|org|Escherichia_coli_LF82	3.2287617105939785e-05	0.0002009545340366742	40.0	0.0002009545340366742	0.0	0.00023277681679290336	0.0015504417992460307	308.61544013992244	0.0006480783722682743	0.032961567445365485
ti|686266|org|Helper_vector_pRH220	2.340379262152145e-05	2.5119316754584274e-05	5.0	2.5119316754584274e-05	0.0	0.00022205265048451595	4.186552792430712e-05	8.333333333333332	3.014318010550113e-05	4.52147701582517e-05
ti|300267|org|Shigella_dysenteriae_Sd197	6.849251379475355e-06	0.0003717658879678473	74.0	0.00036674202461693044	5.023863350916855e-06	0.0003546432319286868	0.0031916692018933643	635.3017546368742	0.0003717658879678473	0.05439336850037679
ti|364106|org|Escherichia_coli_UTI89	5.9449475531728596e-06	8.540567696558653e-05	17.0	8.540567696558653e-05	0.0	8.22161191546516e-06	0.0010354220358604776	206.10075623802808	7.535795026375282e-05	0.03137402662647576
ti|316401|org|Escherichia_coli_ETEC_H10407	5.3216113072545805e-06	0.00010550113036925396	21.0	0.00010550113036925396	0.0	0.00023381695439876263	0.027332442822653426	5440.522743849165	0.00013062044712383822	0.34725445867872395
ti|936054|org|Enterobacteria_phage_VT2phi_272	3.7490476448838743e-06	0.0001909068073348405	38.0	0.0001909068073348405	0.0	3.723331147129474e-06	0.00016578749058025622	33.0	0.00015071590052750564	3.014318010550113e-05
ti|591020|org|Shigella_flexneri_2002017	2.260582595164286e-06	0.00012559658377292137	25.0	0.00012559658377292137	0.0	4.913727477856153e-05	0.004267336680147995	849.4133661834585	8.540567696558653e-05	0.09297663903541824
ti|198215|org|Shigella_flexneri_2a_str._2457T	1.420198429764186e-06	4.019090680733484e-05	8.0	4.019090680733484e-05	0.0	5.5723419315957446e-05	0.0044943876534721955	894.6078624236405	7.535795026375282e-05	0.09145943230344135
ti|585395|org|Escherichia_coli_O103:H2_str._12009	7.38867206817285e-07	7.535795026375282e-05	15.0	7.535795026375282e-05	0.0	8.224985609073887e-05	0.007323079033309691	1457.6588815802938	0.00016578749058025622	0.15276563677467972
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	5.119226299133725e-07	6.028636021100226e-05	12.0	6.028636021100226e-05	0.0	5.807282021566553e-06	0.003791991600412439	754.795928062096	2.009545340366742e-05	0.08768148706355187
ti|741093|org|Escherichia_coli_Xuzhou21	3.593731239337251e-07	3.5167043456417986e-05	7.0	3.5167043456417986e-05	0.0	0.00028743626788339355	0.004007401506104925	797.6732697901854	6.028636021100226e-05	0.08697814619442351
ti|216599|org|Shigella_sonnei_53G	2.4992702993785837e-07	3.014318010550113e-05	6.0	2.5119316754584274e-05	5.023863350916855e-06	9.716165744821672e-05	0.00627557233420511	1249.1526731235272	0.00012057272042200452	0.12853554383320773
ti|1033813|org|Escherichia_coli_NA114	2.1795768530583434e-07	0.00015071590052750564	30.0	0.00015071590052750564	0.0	1.4649098953183344e-05	0.0013303277680673225	264.80174223380055	0.00019593067068575734	0.03453906053755338
ti|300268|org|Shigella_boydii_Sb227	1.935421449078351e-07	8.540567696558653e-05	17.0	8.540567696558653e-05	0.0	0.00016813067909612797	0.0054927071736870685	1093.323362922411	0.00011052499372017081	0.11298668676212006
ti|7213|org|Ceratitis_capitata	8.371511510852112e-08	1.004772670183371e-05	2.0	1.004772670183371e-05	0.0	4.2319562411992826e-08	1.004772670183371e-05	2.0	1.004772670183371e-05	1.004772670183371e-05
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	1.5597585600134875e-08	4.52147701582517e-05	9.0	4.52147701582517e-05	0.0	1.6974977748346246e-07	0.00021033117097100777	41.8664195817791	0.00017081135393117307	0.0002813363476513439
ti|573235|org|Escherichia_coli_O26:H11_str._11368	1.5170023867067335e-08	5.023863350916855e-05	10.0	5.023863350916855e-05	0.0	5.663115824009833e-05	0.007459682921996352	1484.849885623374	5.5262496860085404e-05	0.15566440592815875
ti|956149|org|Cronobacter_sakazakii_SP291	5.511003245162938e-09	5.023863350916855e-06	1.0	5.023863350916855e-06	0.0	6.799208331515897e-09	5.509383541552011e-05	10.966427939459278	5.023863350916855e-05	0.0001004772670183371
