Total Number of Aligned Reads:	201290	Total Number of Mapped Genomes:	14082
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|469008|org|Escherichia_coli_BL21(DE3)	0.46182882382194457	0.6735804063788564	135585.0	0.6695414575984897	0.0040389487803666356	0.2817545697383142	0.08983094314121708	18082.070544895585	0.014471657807143922	0.5100501763624621
ti|655817|org|Escherichia_coli_ABU_83972	0.19186186733767935	0.27465845297829	55286.0	0.2738635799095832	0.0007948730687068409	0.18520769803314807	0.26966794203424044	54281.46005207226	0.2685677380893239	0.03517313329027771
ti|413997|org|Escherichia_coli_B_str._REL606	0.17770428509151745	0.02454667395300313	4941.0	0.02286750459535993	0.0016791693576432014	0.2122425078055824	0.09662706250009655	19450.061410644434	0.010551939987083312	0.5282279298524517
ti|866768|org|Escherichia_coli_BL21-Gold(DE3)pLysS_AG	0.04000160531455531	0.002210740722340901	445.0	0.002210740722340901	0.0	0.10429886694273807	0.07586924525186234	15271.720376747371	0.005027572159570768	0.47901038302946
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.03645952113911414	0.004898405285905907	986.0	0.004883501415867654	1.4903870038253266e-05	0.03240182698215855	0.012311855268823854	2478.2533470615535	0.00447116101147598	0.14703164588404788
ti|910348|org|Escherichia_coli_P12b	0.02243229853046329	0.0019822147150876843	399.0	0.0019822147150876843	0.0	0.029286503558138183	0.02008492612424864	4042.8947795500085	0.0019027274082170002	0.24651001043270904
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.02093427992039766	0.0018828555814993293	379.0	0.0018778876248199115	4.967956679417756e-06	0.015200351129379506	0.00875276704817092	1761.8444791263246	0.001078046599433653	0.15175617268617417
ti|562|org|Escherichia_coli	0.016476634365191263	0.004446321228078891	895.0	0.004446321228078891	0.0	0.02332584114318918	0.009868483896117204	1986.427123449432	0.004520840578270157	0.0845794624670873
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.011257693598219367	0.0009737195091658801	196.0	0.0009737195091658801	0.0	0.018420146519193718	0.01851148516099096	3726.1768480558703	0.001485419047145909	0.26400218590093893
ti|331112|org|Escherichia_coli_HS	0.0026151019153183097	0.000447116101147598	90.0	0.000447116101147598	0.0	0.0028398397656272415	0.020127365190522772	4051.437339200329	0.000447116101147598	0.2514183516319738
ti|566546|org|Escherichia_coli_W	0.0021428876406100247	0.00033285309752098964	67.0	0.00033285309752098964	0.0	0.0023636787374792948	0.008276292862646568	1665.9349903221275	0.0001540066570619504	0.1505588951264345
ti|481805|org|Escherichia_coli_ATCC_8739	0.0020070854508325462	0.0001440707437031149	29.0	0.0001341348303442794	9.935913358835511e-06	0.0028410625686446206	0.022896250332948103	4608.7862295191235	0.00012916687366486165	0.2699587659595608
ti|1267599|org|Bacillus_sp._SXB	0.0016087080299489595	0.00012916687366486165	26.0	0.00012916687366486165	0.0	0.0016087080299489595	0.00013274563443009172	26.72036875443316	0.00012916687366486165	6.955139351184858e-05
ti|585057|org|Escherichia_coli_IAI39	0.001536818592099135	0.0005713150181330419	115.0	0.0005713150181330419	0.0	0.0015501264865551345	0.003583099814531413	721.2421616670281	0.00045208405782701575	0.05092155596403199
ti|42897|org|Shigella_flexneri_2a	0.0015298699402295595	0.0001887823538178747	38.0	0.0001887823538178747	0.0	0.0006643883157766276	0.00016002333484726132	32.211097071405234	4.47116101147598e-05	0.0012022455164190967
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	0.0013935840234959643	0.000750161458592081	151.0	0.0007451935019126633	4.967956679417756e-06	0.0024530610073322345	0.001801253634925837	362.5743441742217	0.000546475234735953	0.032679219037209994
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.001277387415047848	0.0012022455164190967	242.0	0.0012022455164190967	0.0	0.0023732872030915128	0.0026771672906746274	538.8870039398957	0.0015152267872224155	0.03232649411297134
ti|373384|org|Shigella_flexneri_5_str._8401	0.0008417092547433599	0.0005613791047742063	113.0	0.0005613791047742063	0.0	0.0011175548420351668	0.004804623333305964	967.1226307611574	0.0003775647076357494	0.08834020567340653
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.0008230792879117689	8.94232202295196e-05	18.0	8.94232202295196e-05	0.0	0.0029343837372604958	0.0012137094957417676	244.3075843978604	0.00015897461374136818	0.03222713497938298
ti|316401|org|Escherichia_coli_ETEC_H10407	0.0006589109472350605	0.00012916687366486165	26.0	0.00012916687366486165	0.0	0.0017320923840214067	0.02017600202638315	4061.2274478906643	0.0001788464404590392	0.2649411297133489
ti|409438|org|Escherichia_coli_SE11	0.0006142487688708497	7.451935019126633e-05	15.0	7.451935019126633e-05	0.0	0.003980823370123227	0.008841197388683289	1779.6446223680591	0.00038750062099458495	0.15472204282378657
ti|595496|org|Escherichia_coli_BW2952	0.0006083255164551441	4.9679566794177554e-05	10.0	4.9679566794177554e-05	0.0	0.012843742962670587	0.018921032321636645	3808.61459602224	0.0008793283322569427	0.2620994584927219
ti|585056|org|Escherichia_coli_UMN026	0.0005612471973499959	9.935913358835511e-05	20.0	9.935913358835511e-05	0.0	0.00435559279686626	0.0037262292802879384	750.0526918291591	0.0002533657906503055	0.05585970490337324
ti|439855|org|Escherichia_coli_SMS-3-5	0.0005207775507369366	0.0019424710616523424	391.0	0.0019424710616523424	0.0	0.0008120540416870816	0.004382527208104794	882.158901719414	0.001867951711461076	0.04605792637488201
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.0005039371276972196	0.0009439117690893735	190.0	0.0009389438124099557	4.967956679417756e-06	0.0045081158135471516	0.004830015253580848	972.2337703932889	0.0007451935019126633	0.08401808336231308
ti|1134782|org|Escherichia_coli_O104:H4_str._2009EL-2050	0.0002748633011225508	5.9615480153013064e-05	12.0	5.9615480153013064e-05	0.0	0.0032727089923829883	0.008057259903942283	1621.845846064542	8.94232202295196e-05	0.1523274877043072
ti|10679|org|Enterobacteria_phage_P2	0.00027284460436433327	0.0001440707437031149	29.0	0.0001440707437031149	0.0	0.000265736861005327	0.00017512047294947588	35.25	0.000223558050573799	4.9679566794177554e-05
ti|1274814|org|Escherichia_coli_APEC_O78	0.00024379216030267497	0.0001440707437031149	29.0	0.0001440707437031149	0.0	0.009860130329370536	0.009851788719010861	1983.0665512496964	0.0002782055740473943	0.1574444830841075
ti|431946|org|Escherichia_coli_SE15	0.00019739395834677103	5.464752347359531e-05	11.0	5.464752347359531e-05	0.0	0.00022039703761743274	0.001341687028802029	270.0681820275604	4.47116101147598e-05	0.03288787321774554
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.00016906924982666488	0.0003378210542004074	68.0	0.0003378210542004074	0.0	0.00021937393522567468	0.00045189758838576674	90.96246556617099	0.0003775647076357494	0.0003427890108798251
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.00013456459617295635	0.0001788464404590392	36.0	0.0001788464404590392	0.0	0.00038376828277920434	0.00451828531482039	909.4856510201963	0.00011426300362660837	0.08731680659744646
ti|741093|org|Escherichia_coli_Xuzhou21	0.0001228407695957768	6.458343683243083e-05	13.0	6.458343683243083e-05	0.0	0.00021935045347584834	0.004020103305887166	809.2065944420276	7.451935019126633e-05	0.08633315117492175
ti|696406|org|Escherichia_coli_UMNK88	9.436909251834677e-05	3.9743653435342045e-05	8.0	3.9743653435342045e-05	0.0	0.0020626290526457682	0.02161038472480107	4349.9543412552075	0.00010432709026777286	0.26153311143126834
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	8.478846226188748e-05	0.00015897461374136818	32.0	0.00015897461374136818	0.0	0.0014365114885259618	0.004339890955435468	873.5766504196052	0.00039743653435342043	0.08330269760047693
ti|591946|org|Escherichia_coli_LF82	5.488833751846033e-05	0.0003129812708033186	63.0	0.0003129812708033186	0.0	0.007581363346536616	0.002704635937720957	544.4161679038514	0.0009588156391276268	0.03427890108798251
ti|131009|org|Enterobacteria_phage_PhiD124	5.0664226118186534e-05	9.935913358835511e-06	2.0	9.935913358835511e-06	0.0	5.503951368318768e-05	3.560368953582725e-05	7.166666666666667	5.9615480153013064e-05	4.967956679417756e-06
