Total Number of Aligned Reads:	226291	Total Number of Mapped Genomes:	12698
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|655817|org|Escherichia_coli_ABU_83972	0.8971330324276269	0.9197935401761449	208141.0	0.919660967515279	0.00013257266086587623	0.7162492432436303	0.36538646712410927	82683.66903198182	0.28012161332090096	0.531276100242608
ti|199310|org|Escherichia_coli_CFT073	0.048458709376167794	0.038198602684154474	8644.0	0.03785833285459873	0.000340269829555749	0.05474172828890615	0.11942474048539184	27024.743949179803	0.012324838371830961	0.5391067254110857
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.015787234878874408	0.0067081766398133374	1518.0	0.006690500285031221	1.7676354782116833e-05	0.0502638067868252	0.08805325954086049	19925.660154760862	0.005828777989403025	0.5077974820032612
ti|405955|org|Escherichia_coli_APEC_O1	0.008706785679715801	0.004357221453791799	986.0	0.004352802365096269	4.419088695529208e-06	0.014479874281540045	0.022930818363142744	5189.037818213935	0.003990437092062875	0.20130274734744202
ti|362663|org|Escherichia_coli_536	0.006263605587347216	0.0031198766190436208	706.0	0.0031154575303480917	4.419088695529208e-06	0.009640479844057142	0.02468744383703056	5586.546353325482	0.0005568051756366802	0.20338413812303627
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.006020836491922588	0.002757511346010226	624.0	0.0027530922573146964	4.419088695529208e-06	0.050257696180932156	0.08883229495396412	20101.948857427495	0.004171619728579572	0.5204714283820391
ti|1033813|org|Escherichia_coli_NA114	0.005905143180084475	0.004330706921618624	980.0	0.004330706921618624	0.0	0.006586841307651975	0.017214435478388263	3895.4718188399584	0.004989151137252476	0.12621801132170524
ti|585056|org|Escherichia_coli_UMN026	0.0024349391369795333	0.0018118263651669753	410.0	0.0018118263651669753	0.0	0.005055683670381755	0.0058860728500367224	1331.96531130766	0.0019443990260328515	0.04172503546318678
ti|591946|org|Escherichia_coli_LF82	0.0022803003514246935	0.0013743365843095837	311.0	0.0013743365843095837	0.0	0.019865965624690573	0.02673701294904525	6050.3453972523985	0.0020460380660300235	0.23009752928751032
ti|585035|org|Escherichia_coli_S88	0.0020800293848541964	0.0020946480416808447	474.0	0.002090228952985315	4.419088695529208e-06	0.006985914563831133	0.019979820340613078	4521.253524697674	0.002205125259069075	0.18882765995996306
ti|869729|org|Escherichia_coli_UM146	0.0014387295994759204	0.0017632163895161539	399.0	0.0017632163895161539	0.0	0.016572082694651078	0.02273145969280874	5143.924745345383	0.0021962870816780162	0.21979663353823176
ti|714962|org|Escherichia_coli_IHE3034	0.0007096566467700595	0.0007247305460667901	164.0	0.0007247305460667901	0.0	0.007738467925233116	0.020019641791616003	4530.264760666577	0.0007689214330220822	0.20915988704809294
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.0006100635673364983	0.0020460380660300235	463.0	0.002032780799943436	1.3257266086587624e-05	0.0017157552819074308	0.002657970203163551	601.4747352440831	0.001042904932144893	0.03445121547034571
ti|562|org|Escherichia_coli	0.0003307192607775013	0.0008617222956281955	195.0	0.0008617222956281955	0.0	0.0031370245494480656	0.004177748663259899	945.3869227577458	0.0008131123199773743	0.027884449668789304
ti|198214|org|Shigella_flexneri_2a_str._301	0.0003249721875319245	0.0007821786991086698	177.0	0.0007777596104131407	4.419088695529208e-06	0.0005756774395480901	0.001927189361333624	436.1056077655471	0.0008219504973684327	0.0236023527228215
ti|431946|org|Escherichia_coli_SE15	0.0002937760587557551	0.00025630714434069407	58.0	0.00025630714434069407	0.0	0.0034412003958487264	0.013218544998171752	2991.237766181284	0.00041539433737974553	0.12921415345727405
ti|591020|org|Shigella_flexneri_2002017	0.0002537747714235523	0.0011843157704018276	268.0	0.0011843157704018276	0.0	0.0004214920468941128	0.0021073886911021117	476.883094298188	0.0011533821495331232	0.0232090538289194
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	0.00022105902449668342	0.0012019921251839446	272.0	0.0012019921251839446	0.0	0.004543584307601318	0.014070141933539735	3183.94648828264	0.0009324277147566629	0.13360672762063008
ti|300268|org|Shigella_boydii_Sb227	0.00013256544208035186	0.00021653534608093118	49.0	0.00021653534608093118	0.0	0.00016474932990363976	0.000970114169728819	219.5281055821042	0.0001767635478211683	0.022683182274151423
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.00010783969089375624	0.0002916598539049277	66.0	0.0002916598539049277	0.0	5.487777360409716e-05	0.0011547326986664807	261.3056171139366	0.00012373448347481782	0.024481751373231813
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	9.819345114634665e-05	0.0003314316521646906	75.0	0.0003314316521646906	0.0	0.0002743777667566229	0.0013073037474103473	295.8310723052349	0.000318174386078103	0.02734090175923921
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	8.915321378804237e-05	0.00019002081390775594	43.0	0.00019002081390775594	0.0	8.888718751431232e-05	0.00020014490685969183	45.290991118186525	0.00018560172521222672	0.00019885899129881436
ti|1147148|org|Enterobacteria_phage_HK629	6.784603813446279e-05	0.0009412658921477213	213.0	0.0009412658921477213	0.0	6.384727208385249e-05	0.0009137514107181318	206.77372048281677	0.000914751359974546	3.977179825976287e-05
ti|1134782|org|Escherichia_coli_O104:H4_str._2009EL-2050	6.275864540885682e-05	7.070541912846733e-05	16.0	7.070541912846733e-05	0.0	0.00041874355738494637	0.0014438148654286845	326.72230971272245	0.00013257266086587623	0.03461030266338476
ti|364106|org|Escherichia_coli_UTI89	4.548598554203699e-05	0.00015466810434352227	35.0	0.00015466810434352227	0.0	0.0063911141625790655	0.019885607281844596	4499.933957415896	0.00041539433737974553	0.20469660746560844
ti|585057|org|Escherichia_coli_IAI39	2.6885020567593792e-05	3.535270956423367e-05	8.0	3.535270956423367e-05	0.0	2.694277756920827e-05	0.0045467539585865736	1028.8895000425143	3.0933620868704454e-05	0.05795192915317003
ti|701177|org|Escherichia_coli_O55:H7_str._CB9615	2.6597481447058e-05	0.00015466810434352227	35.0	0.00015466810434352227	0.0	0.00011429557945341421	0.001139281194022401	257.80908067652314	0.0001148963060837594	0.027411607178367676
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	1.6044031226330462e-05	0.0001590871930390515	36.0	0.0001590871930390515	0.0	0.00030672334734154757	0.00163282773545963	369.4942210848951	0.00012373448347481782	0.034128621995572074
ti|290338|org|Citrobacter_koseri_ATCC_BAA-895	9.207317472638968e-06	4.419088695529208e-06	1.0	4.419088695529208e-06	0.0	0.002291118209218567	0.0009069276010235035	205.22955376320962	4.419088695529208e-06	0.009381725300608509
ti|595495|org|Escherichia_coli_KO11FL	8.265720082283897e-06	0.0002916598539049277	66.0	0.0002872407652093985	4.419088695529208e-06	0.00013929218552011534	0.001147889122133116	259.7569773366249	0.0002784025878183401	0.02807888957139259
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	8.083570097839434e-06	7.954359651952574e-05	18.0	7.954359651952574e-05	0.0	0.0004348966633986353	0.0048725993292085745	1102.6253748059376	0.00018118263651669753	0.05768236474274275
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	7.707054915385652e-06	0.0005612242643322094	127.0	0.0005612242643322094	0.0	1.209008907519715e-05	0.000590900541374436	133.7154744081625	0.000552386086941151	0.0002518880556451649
ti|469008|org|Escherichia_coli_BL21(DE3)	6.9412478393737475e-06	4.419088695529208e-05	10.0	4.419088695529208e-05	0.0	0.0010277304063241257	0.0018683033188447488	422.780226324697	0.0006230915060696183	0.029492997953961934
ti|866768|org|Escherichia_coli_BL21-Gold(DE3)pLysS_AG	5.351190566457083e-06	0.00040655615998868715	92.0	0.00040655615998868715	0.0	0.00043583603834974774	0.0015378384513560876	347.99900099582044	0.0004374897808573916	0.029607894260045692
ti|585397|org|Escherichia_coli_ED1a	5.2593259585399845e-06	8.838177391058417e-06	2.0	8.838177391058417e-06	0.0	0.004249572167957445	0.02177766489873507	4928.089567599658	0.0005126142886813881	0.18640158026611753
ti|344609|org|Shigella_boydii_CDC_3083-94	4.439551270788645e-06	0.00017234445912563912	39.0	0.00017234445912563912	0.0	0.00024173241179496088	0.0011363225878243339	257.1395747213563	0.00024746896694963563	0.022749468604584364
ti|735325|org|Escherichia_coli_O75:H2	4.176248775746477e-06	1.3257266086587624e-05	3.0	1.3257266086587624e-05	0.0	4.175176338480864e-06	3.0933620868704454e-05	7.0	1.3257266086587624e-05	3.535270956423367e-05
ti|585396|org|Escherichia_coli_O111:H-_str._11128	4.17616966217119e-06	0.00014141083825693467	32.0	0.00014141083825693467	0.0	1.763180298007258e-05	0.001590657814512269	359.95154750379584	0.00047726157911715444	0.0285649893279008
ti|439184|org|Escherichia_coli_RS218	3.037542839193331e-06	0.0003314316521646906	75.0	0.0003314316521646906	0.0	3.0375428742190766e-06	0.0003874956810107321	87.68678515159958	0.0003314316521646906	0.0004419088695529208
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	2.17499006142964e-06	0.0006319296834606768	143.0	0.0006319296834606768	0.0	0.0007679222423484193	0.0017552103104921549	397.18829637158024	0.0007114732799802024	0.02439336959932123
ti|623|org|Shigella_flexneri	2.0275744392288285e-06	6.186724173740891e-05	14.0	6.186724173740891e-05	0.0	3.7828345325791784e-05	0.00022295428077728684	50.45254715137302	0.00010605812869270099	0.0023465360973260094
ti|1125630|org|Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	6.813020214444846e-07	0.0002916598539049277	66.0	0.0002916598539049277	0.0	8.339038923159409e-07	0.00033171603205933004	75.06435261073786	0.00019443990260328516	0.002381888806890243
ti|741093|org|Escherichia_coli_Xuzhou21	4.62218282057894e-07	0.0002518880556451649	57.0	0.0002518880556451649	0.0	0.00020475002743827912	0.0011867115079318372	268.54213384140337	0.0002209544347764604	0.02678409658360253
ti|331111|org|Escherichia_coli_E24377A	3.1417888500869506e-07	0.00015024901564799308	34.0	0.00015024901564799308	0.0	0.0002315938691849591	0.0011264757676083478	254.91132792786064	0.00012815357217034704	0.02917924265657936
ti|439855|org|Escherichia_coli_SMS-3-5	2.276602077456784e-07	5.3029064346350497e-05	12.0	5.3029064346350497e-05	0.0	2.9290648506415066e-06	0.004080868207073907	923.4637474469615	0.00016350628173458068	0.05197732123681455
ti|176969|org|Expression_vector_410-FOR	1.838753205062496e-07	8.838177391058417e-06	2.0	8.838177391058417e-06	0.0	1.838752487672421e-07	6.628633043293812e-06	1.5	4.419088695529208e-06	4.419088695529208e-06
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	1.5501839076170537e-07	2.209544347764604e-05	5.0	2.209544347764604e-05	0.0	1.5647586988114286e-07	3.3101294042424815e-05	7.490524930154354	2.209544347764604e-05	0.00022537352347198962
ti|941322|org|Escherichia_coli_O25b:H4-ST131_str._EC958	1.538168442685989e-07	0.0002960789426004569	67.0	0.0002960789426004569	0.0	1.541801695783352e-07	0.0004173379886153568	94.4398307817577	0.00036236527303339506	0.00040655615998868715
ti|929814|org|Salmonella_phage_RE-2010	8.721549271987144e-08	1.7676354782116833e-05	4.0	1.7676354782116833e-05	0.0	1.8037762754098507e-06	0.0002099067130376374	47.5	0.00020327807999434357	1.3257266086587624e-05
ti|373384|org|Shigella_flexneri_5_str._8401	6.733231463431351e-08	2.209544347764604e-05	5.0	2.209544347764604e-05	0.0	4.825558677459378e-05	0.000987148313831349	223.38277908520976	7.512450782399654e-05	0.02305438572457588
ti|300269|org|Shigella_sonnei_Ss046	3.730990099928316e-08	7.954359651952574e-05	18.0	7.954359651952574e-05	0.0	2.2974732193114747e-06	0.0010029180027253473	226.95131775472154	5.3029064346350497e-05	0.02633334953665855
ti|42897|org|Shigella_flexneri_2a	2.2696933283362064e-08	2.209544347764604e-05	5.0	2.209544347764604e-05	0.0	2.354458542655032e-08	5.278416375360214e-05	11.94458119996638	3.977179825976287e-05	0.00024304987825410644
ti|696406|org|Escherichia_coli_UMNK88	1.2592440227621944e-08	4.419088695529208e-06	1.0	4.419088695529208e-06	0.0	1.6232635399187821e-06	0.0010799764082492687	244.38894139913523	1.3257266086587624e-05	0.0303503011608946
