Total Number of Aligned Reads:	201330	Total Number of Mapped Genomes:	13531
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|316385|org|Escherichia_coli_str._K-12_substr._DH10B	0.2574101341751954	0.589395519793374	118663.0	0.37535389658769186	0.2140416232056822	0.16003111737429934	0.054099095123451194	10891.770821204429	0.006735210847861719	0.48540207619331444
ti|595496|org|Escherichia_coli_BW2952	0.21490142789159597	0.09105945462673223	18333.0	0.0524462325535191	0.03861322207321313	0.14302560806556167	0.05496679040987732	11066.463913220601	0.0056871802513286645	0.5015347936224109
ti|655817|org|Escherichia_coli_ABU_83972	0.18916921879452428	0.27557741022202353	55482.0	0.2703819599662246	0.0051954502557989375	0.18542743635390274	0.2680619118265607	53968.90470804146	0.26736204241792083	0.034123081507971983
ti|469008|org|Escherichia_coli_BL21(DE3)	0.09956877945496072	0.009844533849898177	1982.0	0.008880941737445984	0.0009635921124521929	0.08014157451254074	0.023229353289369464	4676.765697748754	0.004549744201062932	0.2653802215268465
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.08218429639748305	0.006814682362290767	1372.0	0.006144141459295684	0.0006705409029950827	0.100933922643456	0.051176819827346	10303.429135839571	0.0047682908657428105	0.4882878855610192
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.036941679648365304	0.0077087368996175435	1552.0	0.007703769929965728	4.966969651815428e-06	0.028840444843684896	0.012202887293001738	2456.80729870004	0.004733522078180103	0.14511498534743952
ti|562|org|Escherichia_coli	0.031126976751482384	0.004867630258779119	980.0	0.004862663289127303	4.966969651815428e-06	0.04578536453415779	0.014847293620973772	2989.2056247106493	0.005548105101077832	0.12099538071822381
ti|910348|org|Escherichia_coli_P12b	0.024260376634864682	0.0016689018030099836	336.0	0.0016689018030099836	0.0	0.041110499767803774	0.029701612875884627	5979.825720301852	0.0017980430139571846	0.34503054686335866
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.014845430424529451	0.0025281875527740525	509.0	0.002518253613470422	9.933939303630856e-06	0.017208472813563594	0.01021675666487541	2056.9396193393663	0.0023493766453086973	0.1539909601152337
ti|413997|org|Escherichia_coli_B_str._REL606	0.010132690069008196	0.0007102766602096061	143.0	0.0007102766602096061	0.0	0.03246866430416247	0.020136290268432742	4054.039319743564	0.0008294839318531763	0.2690309442209308
ti|595495|org|Escherichia_coli_KO11FL	0.007923685329779212	0.0005066309044851736	102.0	0.0005066309044851736	0.0	0.009494955804319872	0.00894899669070938	1801.7015037405192	0.0005016639348333581	0.16787860726170964
ti|1274814|org|Escherichia_coli_APEC_O78	0.006237306078768113	0.000859285749764069	173.0	0.000859285749764069	0.0	0.012668394854443902	0.009585861487474381	1929.921493273217	0.000978493021407639	0.15819301644066955
ti|316407|org|Escherichia_coli_str._K-12_substr._W3110	0.00543734943370335	0.0003625887845825262	73.0	0.00035265484527889537	9.933939303630856e-06	0.0906276489478232	0.05189337466975711	10447.693122262199	0.003695425420950678	0.5055232702528187
ti|10090|org|Mus_musculus	0.004901343995021891	0.0003079521184125565	62.0	0.0003079521184125565	0.0	0.005257823093592368	0.0009825058383888766	197.80790044283253	0.0002930512094571102	0.010495206874285998
ti|566546|org|Escherichia_coli_W	0.002834449995369303	0.0003178860577161874	64.0	0.0003178860577161874	0.0	0.002882922686971225	0.007764582702604476	1563.2434355153591	0.00019371181642080168	0.15239159588734913
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.002233675422304522	0.0002582824218944022	52.0	0.0002582824218944022	0.0	0.002958555467232642	0.007860433946610883	1582.5411664711692	0.0006308051457805593	0.15339989072666765
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.002135715895248497	0.001231808473650226	248.0	0.0012218745343465951	9.933939303630856e-06	0.004552517806057586	0.0049754447641713615	1001.7062943706202	0.0010380966572294244	0.08609745194456862
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.0015446679226693001	0.0010182287786221625	205.0	0.0010082948393185319	9.933939303630856e-06	0.002756677858891122	0.0024020252009485836	483.5997337069783	0.0014155863507673968	0.031977350618387725
ti|364106|org|Escherichia_coli_UTI89	0.001247111056540156	0.0004023245417970496	81.0	0.0004023245417970496	0.0	0.0004932738093038131	0.0011885594450887023	239.29267307970844	0.00017384393781353996	0.030770376992996572
ti|198214|org|Shigella_flexneri_2a_str._301	0.001131375687438069	0.00037252272388615704	75.0	0.00037252272388615704	0.0	0.0009978717321742683	0.004417537695853893	889.3828643062642	0.0002582824218944022	0.09196344310336264
ti|439855|org|Escherichia_coli_SMS-3-5	0.0009441532595645199	0.0012119405950429642	244.0	0.0012069736253911489	4.966969651815428e-06	0.001003094866635721	0.0031172573041829497	627.5974130511532	0.0011821387771320717	0.04524909352803854
ti|1267599|org|Bacillus_sp._SXB	0.0007563403699405192	9.933939303630854e-05	20.0	9.933939303630854e-05	0.0	0.0007563403699405193	0.00010386164843287414	20.91046567899055	9.933939303630854e-05	9.437242338449312e-05
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	0.0007263720988959562	8.94054537326777e-05	18.0	8.94054537326777e-05	0.0	0.001256401163632562	0.0021547676895927324	433.8193789457048	5.960363582178513e-05	0.04771767744499081
ti|316401|org|Escherichia_coli_ETEC_H10407	0.00044358351547062034	0.0001291412109472011	26.0	0.0001291412109472011	0.0	0.0006623958229806058	0.027900929150138757	5617.294065797436	0.00013907515025083196	0.350216063179854
ti|1110693|org|Escherichia_coli_str._K-12_substr._MDS42	0.0003576523733708662	1.4900908955446282e-05	3.0	1.4900908955446282e-05	0.0	0.012600901414998767	0.040375214020568276	8128.741838761011	0.0005115978741369891	0.43179357274127056
ti|866768|org|Escherichia_coli_BL21-Gold(DE3)pLysS_AG	0.0001974450232775413	1.986787860726171e-05	4.0	1.986787860726171e-05	0.0	0.0006170180395149933	0.019509023029754154	3927.751606580404	6.457060547360055e-05	0.2789450156459544
ti|344609|org|Shigella_boydii_CDC_3083-94	0.00017003213974050733	0.00016887696816172452	34.0	0.00016887696816172452	0.0	0.0005644449025498643	0.005678592975837382	1143.27112382534	0.00015397605920627826	0.10955148264044107
