Total Number of Aligned Reads:	228180	Total Number of Mapped Genomes:	16011
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|331111|org|Escherichia_coli_E24377A	0.6475842130879269	0.693969673065124	158350.0	0.6937242527828907	0.0002454202822333246	0.5165239695531343	0.20380988207971015	46505.33889294826	0.06406345867297747	0.46954158997282847
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.102243352526742	0.017889385572793407	4082.0	0.01773599789639758	0.00015338767639582786	0.0813870482530071	0.030827492394988883	7034.217214688563	0.012266631606626348	0.23341660092909106
ti|655817|org|Escherichia_coli_ABU_83972	0.09499705366220944	0.24520115698133052	55950.0	0.2451660969410115	3.5060040319046367e-05	0.09147271414669514	0.24142086645461217	55087.4133076134	0.2399815934788325	0.03136558857042686
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.059002000026147486	0.009045490402313963	2064.0	0.008966605311596109	7.888509071785433e-05	0.06930082811159091	0.02950282243613634	6731.95402347759	0.010759049872907354	0.24912788149706372
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.025361166079285694	0.004395652555000438	1003.0	0.004316767464282584	7.888509071785433e-05	0.03010169774449671	0.02338837893576955	5336.760305563896	0.0041589972828468755	0.2512314839162065
ti|562|org|Escherichia_coli	0.012168051882775517	0.0054781312998509945	1250.0	0.0054123937242527825	6.573757559821194e-05	0.02126342704899237	0.010858151716733235	2477.6130587241896	0.005898851783679551	0.0642387588745727
ti|469008|org|Escherichia_coli_BL21(DE3)	0.010684555061162525	0.001779297046191603	406.0	0.001779297046191603	0.0	0.007072930866162304	0.008236057569288724	1879.303616160301	0.0011657463406082916	0.13271978262775003
ti|409438|org|Escherichia_coli_SE11	0.008184569877537235	0.0015514067841178017	354.0	0.0015075817337189938	4.382505039880796e-05	0.054480290449917035	0.02886155936869528	6585.630616748889	0.00583749671312122	0.24910158646682443
ti|762608|org|Escherichia_coli_ETEC_1392/75	0.007865809185268982	0.0009027960382154439	206.0	0.0008984135331755632	4.382505039880796e-06	0.028566766980903525	0.007041669377399048	1606.7681185349147	0.0022438425804189675	0.01486983960031554
ti|566546|org|Escherichia_coli_W	0.00706613341258044	0.0016478218949951791	376.0	0.0016478218949951791	0.0	0.005943372524014861	0.02268733194669705	5176.795403597333	0.0007537908668594969	0.24396090805504425
ti|42897|org|Shigella_flexneri_2a	0.004091436444863744	0.0008765010079761591	200.0	0.0008502059777368744	2.6295030239284775e-05	0.003440113546395851	0.0009355360354553067	213.4706125701919	0.000600403190463669	0.003519151547024279
