Total Number of Aligned Reads:	226478	Total Number of Mapped Genomes:	13331
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|655817|org|Escherichia_coli_ABU_83972	0.6864285864426629	0.7888050936514805	178647.0	0.7886770458940824	0.00012804775739806956	0.5812853358797265	0.29607931701215745	67055.4515582794	0.27059581946149297	0.22407474456680118
ti|585397|org|Escherichia_coli_ED1a	0.23369853173148117	0.14670299101899523	33225.0	0.14629677054724963	0.0004062204717456	0.20218642622268462	0.25263064824266995	57215.2839527034	0.06756064606716768	0.4249684296046415
ti|591946|org|Escherichia_coli_LF82	0.034809155509313634	0.009484364927277705	2148.0	0.009479949487367426	4.415439910278261e-06	0.034797048605828565	0.0354825048350137	8036.006730024233	0.0052013882143077915	0.20791423449518276
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.012232314887975874	0.005960843878875652	1350.0	0.005956428438965374	4.415439910278261e-06	0.006839422214497108	0.0038425295287958685	870.2484026226307	0.001404109891468487	0.036316993262038695
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.005566460183093635	0.0035235210484020523	798.0	0.0035235210484020523	0.0	0.0013347415369724558	0.0013835460775030288	313.34274854073095	0.0001942793560522435	0.002048764118369113
ti|714962|org|Escherichia_coli_IHE3034	0.004906892173647355	0.0015674811681487826	355.0	0.001554234848417948	1.3246319730834783e-05	0.013596775694409275	0.022354778999225704	5062.865638186639	0.0007903637439398087	0.19032312189263417
ti|405955|org|Escherichia_coli_APEC_O1	0.0020875831884482883	0.0016204664470721218	367.0	0.0016204664470721218	0.0	0.012300487141111994	0.021185708818046486	4798.096961693532	0.0012054150955059652	0.18707335811866938
ti|42897|org|Shigella_flexneri_2a	0.0020527748004537214	0.0007153012654650783	162.0	0.0007153012654650783	0.0	0.001748134663806076	0.0007340886019734813	166.2549183977501	0.0006314079071697913	0.0013246319730834783
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.0019016973486528804	0.004812829502203304	1090.0	0.004667119985164122	0.00014570951703918262	0.004086860774629245	0.005280809700482902	1195.9872193459667	0.0021679809959466263	0.03813173906516306
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.0018350204208499859	0.0021061648372027305	477.0	0.0020885030775616175	1.7661759641113043e-05	0.022009698747625584	0.02680513820852082	6070.774091189379	0.0022562897941521914	0.21273589487720662
ti|562|org|Escherichia_coli	0.0016688672031542424	0.0033204108125292524	752.0	0.0032056093748620176	0.00011480143766723478	0.002508505004971136	0.0050606089190918715	1146.116586778089	0.003046653538092	0.02351221752223174
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.0013730704881380292	0.005042432377537774	1142.0	0.004870230221036922	0.00017220215650085217	0.0009301210389349637	0.0034881750003981533	789.994897740173	0.0016028046874310088	0.028934377732053443
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.00116470340024598	0.0013555400524554262	307.0	0.0013113856533526435	4.415439910278261e-05	0.0007128746456979122	0.0017132314775128146	388.0092385641472	0.0003134962336297565	0.024563092220877967
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.0009296850940635837	0.0014791723699432175	335.0	0.0013996944515582087	7.947791838500869e-05	0.0019116601954501447	0.003152390814849278	713.9471669654348	0.0018014994833935305	0.029168396047298192
ti|120167|org|Enterobacterial_phage_P-EibA	0.0009096554114656927	0.0010376283789153913	235.0	0.0010376283789153913	0.0	0.0007918962818353243	0.0013658427455794082	309.3333333333332	0.0010243820591845565	0.0010376283789153913
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	0.0008413730810766987	0.0011391834968517913	258.0	0.0011303526170312347	8.830879820556521e-06	0.002058987207695868	0.005140552915178177	1164.222143123723	0.0037663702434673567	0.027362481123994385
ti|573235|org|Escherichia_coli_O26:H11_str._11368	0.0008222414453693471	0.0010861982179284522	246.0	0.0010464592587359478	3.9738959192504346e-05	0.001382737446982904	0.0033136224034496166	750.4625746884623	0.0006667314264520174	0.03372954547461564
ti|344609|org|Shigella_boydii_CDC_3083-94	0.000763851900141795	0.00030024991389892175	68.0	0.00030024991389892175	0.0	0.00116698993455059	0.0017027593628402642	385.63753497733734	0.00041505135156615655	0.02574643011683254
ti|1193292|org|Klebsiella_pneumoniae_subsp._pneumoniae_1084	0.0005944094506082817	0.0010861982179284522	246.0	0.0010861982179284522	0.0	0.0007811976653978018	0.0011385300310018684	257.85200436124114	0.0010508746986462262	0.0014438488506609913
ti|469008|org|Escherichia_coli_BL21(DE3)	0.0004352410695082339	0.0013290474129937565	301.0	0.0013290474129937565	0.0	0.001660590014865921	0.0031419721455436867	711.5875675784431	0.0017882531636626957	0.02912424164819541
