Total Number of Aligned Reads:	231540	Total Number of Mapped Genomes:	13982
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|316401|org|Escherichia_coli_ETEC_H10407	0.6190567912894884	0.6819167314502894	157891.0	0.6815237108059082	0.00039302064438110045	0.551624575262067	0.17969567465182495	41606.73650888355	0.055947136563876655	0.465003887017362
ti|655817|org|Escherichia_coli_ABU_83972	0.13557571284088263	0.2421784572859981	56074.0	0.24194091733609743	0.00023753994990066511	0.12373455926800336	0.2359250251437992	54626.08032179527	0.23470674613457718	0.0334283493132936
ti|469008|org|Escherichia_coli_BL21(DE3)	0.04307425994519823	0.006141487431977196	1422.0	0.005998963462036797	0.00014252396994039908	0.0370176304486565	0.021526799004372495	4984.315041472408	0.004185022026431718	0.22499784054591
ti|910348|org|Escherichia_coli_P12b	0.03043393817626449	0.00408568713829144	946.0	0.003779044657510581	0.0003066424807808586	0.020464656472972236	0.02437572361114382	5643.955044924241	0.0017362010883648614	0.26018830439664853
ti|562|org|Escherichia_coli	0.02540520539461051	0.006819556016239094	1579.0	0.006616567331778527	0.00020298868446056836	0.028257433125455998	0.014031824875148995	3248.9287315919983	0.006836831648959143	0.09366848060810228
ti|316385|org|Escherichia_coli_str._K-12_substr._DH10B	0.023220425956767415	0.0033687483804094327	780.0	0.003291008033169215	7.774034724021767e-05	0.014581234304311397	0.025873591170516876	5990.771299621478	0.00204284356914572	0.29223460309233823
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.020355997057874015	0.009333160577006132	2161.0	0.007938153234862227	0.001395007342143906	0.01419596806590357	0.013450827902693868	3114.4046925897383	0.004984020039733955	0.14479571564308544
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.018258588228709113	0.006746134577178889	1562.0	0.006465405545478103	0.00028072903170078605	0.017852888818480336	0.013421774175441594	3107.677592581747	0.006456767729118079	0.1251792346894705
ti|585055|org|Escherichia_coli_55989	0.014849334615449036	0.003390342921309493	785.0	0.003390342921309493	0.0	0.010240076994952428	0.010290686147558074	2382.7054706055965	0.0022026431718061676	0.14115487604733523
ti|55884|org|Enterobacteria_phage_SfV	0.011990994810809872	0.005493651204975383	1272.0	0.00548933229679537	4.318908180012093e-06	0.007003311604158751	0.003021076271918458	699.4999999999998	0.0024747343871469292	0.0007687656560421525
ti|585395|org|Escherichia_coli_O103:H2_str._12009	0.011112240001132163	0.001714606547464801	397.0	0.0017059687311047767	8.637816360024186e-06	0.036999552900442226	0.010556242465133005	2444.192380376896	0.0015461691284443292	0.13853329878206788
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.006643086163914319	0.0008421870951023582	195.0	0.0008421870951023582	0.0	0.007782908271701786	0.025042117526714532	5798.251892135483	0.0011876997495033255	0.30447870778267255
ti|405955|org|Escherichia_coli_APEC_O1	0.004779985897293858	0.0011704241167832773	271.0	0.0011574673922432408	1.2956724540036279e-05	0.00729258791716055	0.0034134730018718826	790.3555388534157	0.002651809622527425	0.031636002418588584
ti|1274814|org|Escherichia_coli_APEC_O78	0.004320319963367244	0.0005830526043016325	135.0	0.0005830526043016325	0.0	0.00713696688924603	0.010720785148078003	2482.290593185981	0.0011920186576833377	0.137496760818865
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.0037577437385075975	0.0016239094756845469	376.0	0.0016239094756845469	0.0	0.010445314337565287	0.004201636609785796	972.8469406298034	0.0022890213354064093	0.032447957156430854
ti|331111|org|Escherichia_coli_E24377A	0.0034422237758884927	0.0012654400967435431	293.0	0.0012611211885635311	4.318908180012093e-06	0.003476154058768765	0.00949294178612667	2197.9957411597693	0.0012611211885635311	0.1386801416601883
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.002734368867861701	0.0015116178630042326	350.0	0.0014986611384641961	1.2956724540036279e-05	0.003241803377852555	0.004827658895297149	1117.7961406171019	0.0010279001468428781	0.07513604560767038
ti|413997|org|Escherichia_coli_B_str._REL606	0.0019198742328711022	0.00028504793988079816	66.0	0.00028504793988079816	0.0	0.0044470002098231055	0.018110618505712568	4193.332608812688	0.00022458322536062883	0.22784400103653796
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.0018509149703191988	0.00033255592986093115	77.0	0.00032823702168091905	4.318908180012093e-06	0.0029145245004017486	0.00878070200015573	2033.0837411160576	0.0006780685842618986	0.14361665370994212
ti|1147148|org|Enterobacteria_phage_HK629	0.0018452034620939008	0.00148570441392416	344.0	0.00148570441392416	0.0	0.0018912980986045605	0.0015498656030952119	358.8558817406654	0.0015202556793642568	0.00033255592986093115
ti|566546|org|Escherichia_coli_W	0.001716248981644848	0.0011056404940830958	256.0	0.0011056404940830958	0.0	0.0016725513740115624	0.007478303045909242	1731.5262872498258	0.0006305605942817656	0.12920877602142178
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	0.0015730721648656728	0.0024013129480867238	556.0	0.0024013129480867238	0.0	0.001500311979086677	0.004522855260612952	1047.221907042323	0.0021162650082059255	0.043491405372721774
ti|216592|org|Escherichia_coli_042	0.0014099450640078952	0.0007687656560421525	178.0	0.0006651118597218623	0.00010365379632029023	0.004852522862124713	0.0055103731343977835	1275.8717955384627	0.0008205925542022976	0.060481990152889346
ti|1033813|org|Escherichia_coli_NA114	0.0009671363728854927	0.0008896950850824911	206.0	0.0008465060032823703	4.3189081800120926e-05	0.0014090193276987753	0.0029467424960850437	682.288757543531	0.0008551438196423944	0.03388183467219487
ti|440524|org|Salmonella_enterica_subsp._enterica_serovar_4,[5],12:i:-	0.0009642605819031115	0.0004362097261812214	101.0	0.0004362097261812214	0.0	0.0035148046574972978	0.0006108428305257339	141.43454897992842	0.0005528202470415479	0.0011833808413233135
ti|409438|org|Escherichia_coli_SE11	0.0009436009829739474	0.0029800466442083443	690.0	0.0029800466442083443	0.0	0.0016460193891840323	0.01062546192675506	2460.2194545208667	0.0029109441133281506	0.13516886930983849
ti|344609|org|Shigella_boydii_CDC_3083-94	0.0007808199534437649	0.0005485013388615358	127.0	0.0005441824306815237	4.318908180012093e-06	0.000750119558705391	0.006003285623704536	1390.000753312548	0.000652155135181826	0.09449339207048459
ti|290339|org|Cronobacter_sakazakii_ATCC_BAA-894	0.0007583597356756317	0.00013820506176038697	32.0	0.00013820506176038697	0.0	0.0027347982903377123	0.00038296151432670576	88.67090902720545	0.0003455126544009674	0.0005225878897814633
ti|42897|org|Shigella_flexneri_2a	0.0006933678232398531	0.00018139414356050791	42.0	0.00018139414356050791	0.0	0.000973200360876943	0.00038761772867880484	89.74900889829047	0.00022026431718061675	0.0022933402435864215
ti|47591|org|Cloning_vector_pNO3097	0.0006284210722609906	0.00020730759264058046	48.0	0.00020730759264058046	0.0	0.0006284210722609912	0.00020853459750975014	48.284100707407546	0.00020730759264058046	8.637816360024186e-06
