Total Number of Aligned Reads:	210240	Total Number of Mapped Genomes:	14109
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|595495|org|Escherichia_coli_KO11FL	0.3657241968751183	0.6437595129375951	135344.0	0.6137081430745814	0.0300513698630137	0.26980870343117075	0.10380713615787548	21824.412305831742	0.023563546423135465	0.4724933409436834
ti|566546|org|Escherichia_coli_W	0.20302723039497017	0.03446061643835616	7245.0	0.01851693302891933	0.015943683409436835	0.22830380361724806	0.09765550912876195	20531.09423923091	0.019625190258751903	0.47782058599695587
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.17314225101958194	0.022688356164383562	4770.0	0.02054794520547945	0.0021404109589041095	0.11093985740315425	0.032747300321508445	6884.792419593935	0.013004185692541857	0.2540049467275495
ti|655817|org|Escherichia_coli_ABU_83972	0.11076952504016514	0.26113489345509894	54901.0	0.2610730593607306	6.183409436834095e-05	0.10725843306484621	0.25664774754196945	53957.622443223656	0.25526065449010654	0.03331430745814307
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.03621316352599043	0.006126331811263318	1288.0	0.00609779299847793	2.8538812785388127e-05	0.06945450852668512	0.02890143124996293	6076.236905992207	0.01004566210045662	0.2671613394216134
ti|562|org|Escherichia_coli	0.01935445792905799	0.005840943683409437	1228.0	0.005831430745814307	9.512937595129377e-06	0.019235266101954352	0.009378372657654703	1971.7090675453246	0.005726788432267885	0.0645072298325723
ti|409438|org|Escherichia_coli_SE11	0.01563785200958717	0.0014364535768645358	302.0	0.0014364535768645358	0.0	0.018263745962583903	0.026448870989598805	5560.610636853253	0.0017265981735159817	0.2766124429223744
ti|469008|org|Escherichia_coli_BL21(DE3)	0.014935158819660036	0.0018883181126331812	397.0	0.0018883181126331812	0.0	0.008821419431851718	0.009121728509680658	1917.7522018752616	0.0011367960426179604	0.14972412480974126
ti|439855|org|Escherichia_coli_SMS-3-5	0.009522262480025084	0.006521118721461187	1371.0	0.006516362252663622	4.756468797564688e-06	0.013447979749744245	0.007265860810408398	1527.5745767802616	0.00518455098934551	0.044739345509893454
ti|910348|org|Escherichia_coli_P12b	0.007910098976160447	0.0011796042617960426	248.0	0.0011796042617960426	0.0	0.012514686998101881	0.009076540550626813	1908.2518853637812	0.0010987442922374428	0.1459855403348554
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	0.00699137668010868	0.0008323820395738203	175.0	0.0008323820395738203	0.0	0.013139192441642853	0.002871990464723777	603.8072753035268	0.0008228691019786911	0.043055555555555555
ti|32630|org|synthetic_construct	0.005615968510715573	0.0009179984779299848	193.0	0.0009132420091324201	4.756468797564688e-06	0.003410583599679596	0.0006695048694486546	140.75670375288513	0.00023306697108066971	0.0022165144596651446
ti|413997|org|Escherichia_coli_B_str._REL606	0.004857451439121092	0.0015363394216133942	323.0	0.0015363394216133942	0.0	0.007406138725064839	0.010307415060840297	2167.030942391064	0.001964421613394216	0.14949105783866057
