Total Number of Aligned Reads:	236420	Total Number of Mapped Genomes:	15230
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1134782|org|Escherichia_coli_O104:H4_str._2009EL-2050	0.3824967485268594	0.6232383047119533	147346.0	0.4478682006598427	0.17537010405211065	0.27345936127152554	0.10033482280089148	23721.158806586765	0.02508671009220878	0.5229295321884782
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.3634742070050718	0.08814821081126809	20840.0	0.08678622789950088	0.001361982911767194	0.24273317362081154	0.09494391409731212	22446.64017088653	0.021220708907875814	0.5177269266559513
ti|655817|org|Escherichia_coli_ABU_83972	0.08023842923488406	0.23831317147449455	56342.0	0.23829202267151678	2.1148802977751458e-05	0.07624194830570856	0.23551042444197606	55679.374546571984	0.23418915489383302	0.03288638863040352
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.04826836773265565	0.0062727349632010826	1483.0	0.0061754504695034265	9.728449369765672e-05	0.12965951578561297	0.07830281577155884	18512.351704711942	0.008933254377802216	0.5167287031554014
ti|585055|org|Escherichia_coli_55989	0.03717126874467584	0.005029185348109297	1189.0	0.005024955587513747	4.229760595550292e-06	0.06709492194971561	0.061459184266614564	14530.180344313016	0.004386261737585653	0.4705058793672278
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.019178678141878278	0.004957279417984942	1172.0	0.004940360375602741	1.6919042382201168e-05	0.04425865024668854	0.022376205277327234	5290.182451665704	0.006463074190000846	0.23067845359952627
ti|180816|org|Stx2_converting_phage_I	0.012840974601709647	0.007182133491244395	1698.0	0.007173673970053295	8.459521191100584e-06	0.007957126407653588	0.004593628702600928	1086.0256978689113	0.0056340411132729884	0.002055663649437442
ti|198214|org|Shigella_flexneri_2a_str._301	0.008760410406467332	0.0018314863378732765	433.0	0.001827256577277726	4.229760595550292e-06	0.010813930234301111	0.006597124231340824	1559.6921107735977	0.0017130530411978682	0.0949200575247441
ti|562|org|Escherichia_coli	0.008212045843339705	0.004272058201505795	1010.0	0.004272058201505795	0.0	0.01461637141506927	0.008820867270943398	2085.429440196438	0.004775399712376279	0.0658616022333136
ti|409438|org|Escherichia_coli_SE11	0.006045102200790672	0.003853311902546316	911.0	0.003853311902546316	0.0	0.009857892143700244	0.02379123338993081	5624.723398047442	0.00392098807207512	0.2518018780137044
ti|405955|org|Escherichia_coli_APEC_O1	0.005192898510848053	0.0009305473310210642	220.0	0.0009305473310210642	0.0	0.014990819593205888	0.0035357885664253756	835.9311328742873	0.002068352931224093	0.03581761272311987
ti|573235|org|Escherichia_coli_O26:H11_str._11368	0.004399915478664061	0.0020218255646730393	478.0	0.002013366043481939	8.459521191100584e-06	0.006207027315686018	0.018117361932274614	4283.3067080283645	0.0010828187124608747	0.23042043820319769
ti|431946|org|Escherichia_coli_SE15	0.0037474588616633886	0.0009643854157854665	228.0	0.0009643854157854665	0.0	0.008556766204888802	0.0029521061355065967	697.9369325564696	0.0010024532611454192	0.03480669994078335
ti|42897|org|Shigella_flexneri_2a	0.0029947610966301707	0.0008924794856611115	211.0	0.0008924794856611115	0.0	0.002620305124915347	0.0010647539290890844	251.72912391524136	0.0006471533711191946	0.004475086710092209
ti|585056|org|Escherichia_coli_UMN026	0.0019333599121727314	0.0007909652313679046	187.0	0.0007909652313679046	0.0	0.005062029641434888	0.003726247054203269	880.9593285547368	0.0010616699094831233	0.05111242703662973
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	0.0019183040547378397	0.0020514338888418917	485.0	0.0020514338888418917	0.0	0.004803245694168449	0.005719847780928479	1352.286412367111	0.0022417731156416545	0.07120801962608916
ti|1150869|org|Escherichia_phage_P13374	0.001375834910547416	0.00023686659335081633	56.0	0.00023686659335081633	0.0	0.0020385049636445114	0.0004688672666128684	110.84959917261435	0.00022417731156416546	0.0012477793756873361
ti|1147148|org|Enterobacteria_phage_HK629	0.001274513712327772	0.0008628711614922595	204.0	0.0008628711614922595	0.0	0.0012798948477268002	0.0009248599366330982	218.65538621879708	0.0009051687674477625	0.0006556128923102953
ti|741093|org|Escherichia_coli_Xuzhou21	0.0011600590737320005	0.0002707046781152187	64.0	0.0002707046781152187	0.0	0.004009611822047891	0.004152793574305316	981.8034568372627	0.001074359191269774	0.0732467642331444
ti|290339|org|Cronobacter_sakazakii_ATCC_BAA-894	0.001112866924805594	0.000101514254293207	24.0	0.000101514254293207	0.0	0.0046492572782416905	0.0005686147697610626	134.4319038669104	0.0003637594112173251	0.00159461974452246
ti|611|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg	0.0008366063264826023	0.0004145165383639286	98.0	0.0004145165383639286	0.0	0.0006714705577625778	0.0005135482733695232	121.41308279002266	0.0003172320446662719	0.0021952457490906014
ti|331111|org|Escherichia_coli_E24377A	0.0007734288006738671	0.00021994755096861517	52.0	0.00021994755096861517	0.0	0.005653008843640963	0.01854230288768959	4383.771248707572	0.00033415108704847306	0.2356357330175112
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	0.000725336035140195	0.000203028508586414	48.0	0.000203028508586414	0.0	0.002001154322009256	0.0035980587150506705	850.6530414122795	0.0003679891718128754	0.07153794095254208
ti|300269|org|Shigella_sonnei_Ss046	0.0006524680445875697	0.0003806784535995263	90.0	0.0003806784535995263	0.0	0.0022213086389505582	0.008854808877326661	2093.4539147775695	0.00023263683275526604	0.14165468234497927
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.0006168977049915784	0.0011927924879451823	282.0	0.0011927924879451823	0.0	0.0041205453873312484	0.0028614760533173314	676.5101685252835	0.0014592674054648507	0.03250148041620844
ti|566546|org|Escherichia_coli_W	0.0005693082857261825	0.00013958209965315963	33.0	0.00013535233905760934	4.229760595550292e-06	0.0033608796190884704	0.018244405299773652	4313.342300972487	0.00016919042382201166	0.24070721597157602
ti|1267599|org|Bacillus_sp._SXB	0.000518985185472672	9.728449369765672e-05	23.0	9.728449369765672e-05	0.0	0.0005189851854726723	9.964004156734771e-05	23.556898627352346	9.728449369765672e-05	4.652736655105321e-05
ti|591946|org|Escherichia_coli_LF82	0.00041948574347250387	0.000477962947297183	113.0	0.0004652736655105321	1.2689281786650876e-05	0.008186924801985598	0.0020128702264897527	475.8827789467073	0.0008417223585145081	0.030445816766771
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.00037848076655289917	0.00013112257846205905	31.0	0.00013112257846205905	0.0	0.003054081610435082	0.0057396514274499835	1356.968390477725	0.0002072582691819643	0.09584637509516962
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.00036312724920384596	0.0005625581592081888	133.0	0.0005625581592081888	0.0	0.0003615863401222827	0.006260827108847462	1480.184745073717	0.0005540986380170882	0.12958294560527875
ti|489779|org|Enterobacteria_phage_Min27	0.0002712171461629452	0.00018187970560866256	43.0	0.00018187970560866256	0.0	0.0063925175609271705	0.002831425809969252	669.4056899929305	0.0038913797479062685	0.0018568649014465781
ti|316385|org|Escherichia_coli_str._K-12_substr._DH10B	0.00026187233617671414	0.00016073090263091108	38.0	0.00016073090263091108	0.0	0.0002649764162202301	0.00593076202225449	1402.1507573014064	0.00016073090263091108	0.12910498265798157
ti|585395|org|Escherichia_coli_O103:H2_str._12009	0.00022757360149449314	9.728449369765672e-05	23.0	9.728449369765672e-05	0.0	0.005026970343217078	0.01852765341099497	4380.30781942743	0.00021994755096861517	0.23580915320192877
ti|591020|org|Shigella_flexneri_2002017	0.00022714031904729905	0.00026647491751966837	63.0	0.00026647491751966837	0.0	0.0015116933513965617	0.006242890387986352	1475.9441455277333	0.0012435496150917857	0.09531342526013027
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.0002220142455675799	0.0004356653413416801	103.0	0.0004356653413416801	0.0	0.001145808057619519	0.0016693729217291684	394.67314615520996	0.0006598426529058455	0.03114795702563235
ti|216592|org|Escherichia_coli_042	0.0002015962511420837	0.00011843329667540817	28.0	0.00011843329667540817	0.0	0.011096688692215957	0.004717887236967162	1115.4029005637763	0.00011420353607985788	0.06165299044074105
ti|554290|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str.	0.00019360837272792213	6.344640893325438e-05	15.0	6.344640893325438e-05	0.0	0.00019360838208572914	0.00019342604812708613	45.7297862982057	6.344640893325438e-05	0.0025124777937568735
ti|1124655|org|Escherichia_phage_TL-2011c	0.00016268467715971384	6.344640893325438e-05	15.0	6.344640893325438e-05	0.0	0.00016263081499477979	0.00018948909745273033	44.799012419774506	7.613569071990525e-05	0.000884019964470011
ti|379329|org|Stx2-converting_phage_86	0.0001433933062288083	9.728449369765672e-05	23.0	9.728449369765672e-05	0.0	0.0004275535369271256	0.0002169288798514191	51.2863257744725	0.00010997377548430759	0.0008374925979189577
ti|364106|org|Escherichia_coli_UTI89	0.00012793598818711216	0.00013535233905760934	32.0	0.00013535233905760934	0.0	0.000129634614501051	0.0013501535026233143	319.20329109020395	0.00013958209965315963	0.03136367481600542
ti|149387|org|Salmonella_enterica_subsp._enterica_serovar_Brandenburg	9.646493427411612e-05	4.652736655105321e-05	11.0	4.652736655105321e-05	0.0	9.646493427411601e-05	7.906870278326352e-05	18.69342271201916	4.652736655105321e-05	0.0009347770916166145
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	7.2556662171062e-05	2.537856357330175e-05	6.0	2.537856357330175e-05	0.0	0.00010062135195871601	0.00014596770339278593	34.50968443612245	2.537856357330175e-05	0.0026139920480500803
ti|344609|org|Shigella_boydii_CDC_3083-94	3.994545150513449e-05	0.00010997377548430759	26.0	0.00010997377548430759	0.0	8.984260711184273e-05	0.008291844333402274	1960.3578373029657	0.00012266305727095847	0.13116487606801455
ti|1147152|org|Enterobacteria_phage_mEp460	3.1555198141512406e-05	0.00014381186024870992	34.0	0.00014381186024870992	0.0	0.00016951929462727755	0.00014512107186161836	34.30952380952381	0.00014381186024870992	8.459521191100584e-06
ti|300268|org|Shigella_boydii_Sb227	1.907809018186004e-05	0.000101514254293207	24.0	0.000101514254293207	0.0	0.00046271639082139706	0.007699633310133884	1820.3473071818528	0.00014381186024870992	0.12553506471533712
ti|585397|org|Escherichia_coli_ED1a	1.324320338726611e-05	8.459521191100584e-06	2.0	8.459521191100584e-06	0.0	0.0015015467279616349	0.0017715556787247463	418.8311935641045	2.1148802977751458e-05	0.033702732425344724
ti|1274814|org|Escherichia_coli_APEC_O78	8.713549037995277e-06	6.767616952880467e-05	16.0	6.767616952880467e-05	0.0	0.0003009691918254412	0.014129968828708874	3340.607230483352	7.190593012435496e-05	0.19667963793249302
ti|316401|org|Escherichia_coli_ETEC_H10407	5.248790034722434e-06	0.00012266305727095847	29.0	0.00012266305727095847	0.0	0.00012651201941712889	0.006992274237782211	1653.1134752964704	0.00013535233905760934	0.13667202436342102
ti|10705|org|Enterobacteria_phage_82	4.627563540127273e-06	9.305473310210643e-05	22.0	9.305473310210643e-05	0.0	4.627563544774181e-06	9.305473310210643e-05	22.0	9.305473310210643e-05	0.0
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	3.275736665911817e-06	7.613569071990525e-05	18.0	7.613569071990525e-05	0.0	3.7591822687271003e-06	0.0001577017734790346	37.28385328591336	7.190593012435496e-05	0.0019499196345486845
ti|621|org|Shigella_boydii	3.206047832202663e-06	7.613569071990525e-05	18.0	7.613569071990525e-05	0.0	8.203583947992994e-06	0.0003125493889483101	73.89292653515948	8.459521191100583e-05	0.004102867777683783
ti|585054|org|Escherichia_fergusonii_ATCC_35469	2.895951192653648e-06	5.498688774215379e-05	13.0	5.498688774215379e-05	0.0	4.837085306891173e-06	0.0003937346873028078	93.08675477212982	3.8067845359952626e-05	0.008675238981473649
ti|362663|org|Escherichia_coli_536	2.5361488888427843e-06	5.07571271466035e-05	12.0	5.07571271466035e-05	0.0	3.655169639981368e-06	0.0011435424377182345	270.356303125345	5.07571271466035e-05	0.03086456306573048
ti|1033813|org|Escherichia_coli_NA114	1.4614177910010405e-06	0.00013958209965315963	33.0	0.00012266305727095847	1.6919042382201168e-05	0.0008867355554744546	0.0019333198651666852	457.0754825227077	0.0002622451569241181	0.03379155739785128
ti|331112|org|Escherichia_coli_HS	1.3817635731793083e-06	5.07571271466035e-05	12.0	5.07571271466035e-05	0.0	0.0004157826934123417	0.009210612890494428	2177.5730995706926	4.652736655105321e-05	0.15683529312240926
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	9.474035160552052e-07	8.459521191100583e-05	20.0	8.459521191100583e-05	0.0	0.000585327462045689	0.001986428935342877	469.631528893763	0.00016073090263091108	0.04170966923272143
