Total Number of Aligned Reads:	243230	Total Number of Mapped Genomes:	15761
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.6039597794556325	0.6911770751963162	168115.0	0.6910208444681988	0.00015623072811741972	0.2687275381051699	0.11423762767631156	27786.01817970926	0.02094314023763516	0.5480162808864039
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	0.15020617963126864	0.02068823747070674	5032.0	0.020597788101796653	9.04493689100851e-05	0.21332665681430188	0.09711580019231751	23621.47608077739	0.015433951404020886	0.5138181967684907
ti|741093|org|Escherichia_coli_Xuzhou21	0.06535687406926327	0.009505406405459852	2312.0	0.009501295070509395	4.111334950458414e-06	0.13190582070474668	0.09112122323767832	22163.4151281005	0.007988323808740698	0.5273321547506475
ti|655817|org|Escherichia_coli_ABU_83972	0.05087746737274088	0.22121037700941495	53805.0	0.22120215433951404	8.222669900916828e-06	0.048740951987602255	0.2168088654510629	52734.42034366203	0.21603420630678782	0.025029807178390824
ti|180816|org|Stx2_converting_phage_I	0.03326046695261451	0.0050076059696583484	1218.0	0.0050076059696583484	0.0	0.01751851995934236	0.0030551174837975307	743.0962255840734	0.003901656867985035	0.0032767339555153556
ti|562|org|Escherichia_coli	0.03198445679882355	0.006171113760638079	1501.0	0.006167002425687621	4.111334950458414e-06	0.028308223626991234	0.03539194973357933	8608.3839336985	0.005620194877276652	0.2210788142910003
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.016798417623364544	0.010956707642971674	2665.0	0.01094026230316984	1.6445339801833656e-05	0.020574693769719425	0.012876952541324803	3132.0611666264317	0.007322287546766435	0.08292151461579575
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	0.01469270116978348	0.006857706697364635	1668.0	0.006841261357562801	1.6445339801833656e-05	0.057384789719307196	0.058809385578886916	14304.206854352664	0.007721087036960901	0.3863668133042799
ti|701177|org|Escherichia_coli_O55:H7_str._CB9615	0.008099506687004994	0.0016938699995888665	412.0	0.001689758664638408	4.111334950458414e-06	0.07911615171986454	0.05641386854857458	13721.545247069795	0.00196932944126958	0.39170743740492536
ti|573235|org|Escherichia_coli_O26:H11_str._11368	0.006208517955765592	0.0014554125724622784	354.0	0.00145130123751182	4.111334950458414e-06	0.023023319256806368	0.007741725583986719	1883.0199137930897	0.0015376392714714468	0.08364099823212597
