Total Number of Aligned Reads:	244460	Total Number of Mapped Genomes:	14139
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	0.6173477554420038	0.6926081976601489	169315.0	0.6925632005236031	4.4997136545856175e-05	0.25845605226189106	0.11664070450093017	28513.98662229739	0.017585699091875972	0.5500654503804303
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.10932262703301446	0.016563036897651966	4049.0	0.01651803976110611	4.4997136545856175e-05	0.18863148731356652	0.09076479422566958	22188.361596407183	0.008369467397529248	0.5186083612861
ti|741093|org|Escherichia_coli_Xuzhou21	0.08109739843291125	0.00904442444571709	2211.0	0.00904442444571709	0.0	0.13533797140236503	0.08425338714590948	20596.58302168903	0.007768142027325534	0.504839237503068
ti|655817|org|Escherichia_coli_ABU_83972	0.054581162445583996	0.21911969238321197	53566.0	0.21911969238321197	0.0	0.052459626156547534	0.21601557815871267	52807.168236678895	0.21521721345005318	0.02593471324552074
ti|562|org|Escherichia_coli	0.03282946899962958	0.0059682565654912865	1459.0	0.0059682565654912865	0.0	0.028989790350813432	0.03506121685150027	8571.065071517756	0.005485560009817557	0.2190951484905506
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	0.027233983824219744	0.008541274646158881	2088.0	0.00850036815838992	4.0906487768960155e-05	0.0708331362266208	0.058688192510348215	14346.915541079725	0.007641331915241758	0.38386648122392214
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.02153503575111301	0.011768796531129838	2877.0	0.011707436799476396	6.135973165344023e-05	0.02339941116715363	0.0134652075093548	3291.7046277368745	0.008164934958684446	0.08264337723963021
ti|180816|org|Stx2_converting_phage_I	0.014847296212400541	0.004311543810848401	1054.0	0.004311543810848401	0.0	0.008261108242674044	0.002642181913360222	645.9077905400399	0.0032520657776323324	0.00314161826065614
ti|701177|org|Escherichia_coli_O55:H7_str._CB9615	0.007342990600918182	0.0019021516812566474	465.0	0.0018816984373721671	2.0453243884480078e-05	0.0863018918682028	0.056979643254723426	13929.24359004969	0.0022130409883007445	0.38920068722899454
ti|585395|org|Escherichia_coli_O103:H2_str._12009	0.006112255476834493	0.004152008508549456	1015.0	0.004152008508549456	0.0	0.021257472315198322	0.010814162823682387	2643.6302438773964	0.00529739016608034	0.0800867217540702
