Total Number of Aligned Reads:	236850	Total Number of Mapped Genomes:	16153
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	0.5639028845720689	0.6826050242769686	161675.0	0.6817901625501372	0.0008148617268313278	0.30487006402951344	0.15183681578042277	35962.549817593135	0.03591724720287102	0.5271733164450074
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	0.20481646067835402	0.030711420730420096	7274.0	0.030234325522482584	0.0004770952079375132	0.14349859903722534	0.06617529771191544	15673.619263067172	0.009816339455351488	0.40705932024488073
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.059283580887865464	0.008900147772852016	2108.0	0.008862149039476462	3.799873337555415e-05	0.12253449744991726	0.06255516557926581	14816.190967449109	0.005699810006333122	0.41329533459995776
ti|655817|org|Escherichia_coli_ABU_83972	0.05464950270396349	0.23096052353810428	54703.0	0.23095207937513193	8.444162972345367e-06	0.055117753056479285	0.22895268975361086	54227.44456814273	0.22807684188304833	0.026586447118429387
ti|701177|org|Escherichia_coli_O55:H7_str._CB9615	0.042713471617295135	0.00459362465695588	1088.0	0.004589402575469707	4.2220814861726835e-06	0.16019584076333976	0.10725358023812359	25403.010479399574	0.008190838083175006	0.49902892125818027
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.0229599734383283	0.010892970234325523	2580.0	0.010876081908380832	1.6888325944690734e-05	0.02035236242291372	0.010965070025009566	2597.0768354235156	0.007337977622968123	0.07322778129617902
ti|562|org|Escherichia_coli	0.020320969566176322	0.004209415241714165	997.0	0.004196748997255647	1.266624445851805e-05	0.02304400440460468	0.03336331777281736	7902.1018144917925	0.0038040954190415874	0.21424530293434663
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	0.010657935656498215	0.0034536626556892548	818.0	0.003449440574203082	4.2220814861726835e-06	0.01352284801279862	0.004880111389740172	1155.8543826599598	0.003554992611357399	0.030107663077897404
ti|741093|org|Escherichia_coli_Xuzhou21	0.003394523758172332	0.0008866371120962635	210.0	0.0008866371120962635	0.0	0.06948517948182953	0.05553750880344717	13154.058960096461	0.0015917247202871015	0.40507916402786576
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.0032179782884123776	0.004162972345366266	986.0	0.004158750263880093	4.2220814861726835e-06	0.012277003470830437	0.010185734016044466	2412.491101700132	0.007405530926746886	0.07253113785096052
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	0.002329186668713343	0.0008697487861515727	206.0	0.0008697487861515727	0.0	0.0023605374907682474	0.0023260431940072307	550.9233305006126	0.0006037576525226937	0.03587080430652312
ti|585395|org|Escherichia_coli_O103:H2_str._12009	0.002122548349359518	0.0031961156850327213	757.0	0.0031918936035465486	4.2220814861726835e-06	0.01119658307384149	0.00874228740658727	2070.610772250195	0.0031665611146295125	0.08010555203715432
ti|168927|org|Escherichia_coli_O111:H-	0.001362712737673218	0.0009288579269579902	220.0	0.0009288579269579902	0.0	0.0039860051949808075	0.0018184455703802059	430.69883334455176	0.0014988389275913025	0.005509816339455352
ti|1147148|org|Enterobacteria_phage_HK629	0.0010706836404809374	0.0008739708676377455	207.0	0.0008739708676377455	0.0	0.0010739166784321291	0.0009617974781947154	227.80173271041835	0.0009541904158750264	0.0005277601857715853
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.0008927829472114628	0.0002786573780873971	66.0	0.0002786573780873971	0.0	0.0008927519441546565	0.0003017236506989603	71.46324666804875	0.00026176905214270635	0.0005108718598268947
ti|83334|org|Escherichia_coli_O157:H7	0.0008287940390674478	0.00023643656322567026	56.0	0.00023643656322567026	0.0	0.0008335825601493284	0.0013236643782546596	313.5099079896161	0.00024065864471184295	0.009423685877137428
ti|936054|org|Enterobacteria_phage_VT2phi_272	0.0007538412901042058	0.00011821828161283513	28.0	0.00011821828161283513	0.0	0.0007538126250928839	0.00015374641308776838	36.41483793983794	0.00011821828161283513	0.0002448807261980156
ti|573235|org|Escherichia_coli_O26:H11_str._11368	0.0006137021924068493	0.00020688199282246146	49.0	0.00020688199282246146	0.0	0.006148512469281569	0.005249780396565931	1243.4104869266407	0.0005699810006333122	0.07546548448385054
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.0005718224160444707	0.0011357399197804519	269.0	0.0011357399197804519	0.0	0.0007576008389149505	0.0020651674945373617	489.1349210811741	0.0009246358454718176	0.02534937724298079
ti|10678|org|Enterobacteria_phage_P1	0.0005571938015201734	0.0003757652522693688	89.0	0.0003757652522693688	0.0	0.010009948873933546	0.0011652944901836605	276.0	0.0008444162972345366	0.0006502005488705932
