Total Number of Aligned Reads:	233840	Total Number of Mapped Genomes:	15607
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	0.3911779992224073	0.6160195005131714	144050.0	0.6118970236058844	0.004122476907287034	0.26231112185515515	0.24637442179941174	57612.19479357444	0.03589633937735204	0.5257184399589463
ti|655817|org|Escherichia_coli_ABU_83972	0.3456204300431623	0.3036520697913103	71006.0	0.2997776257269928	0.0038744440643174822	0.2834414564212478	0.2575841937549465	60233.48786765669	0.2499444064317482	0.07006927813889839
ti|585057|org|Escherichia_coli_IAI39	0.1093737106588115	0.010917721518987341	2553.0	0.010900615805679097	1.7105713308244953e-05	0.13768211260462315	0.19084410547707137	44626.98562475837	0.013611871365035923	0.48412162162162165
ti|439855|org|Escherichia_coli_SMS-3-5	0.027980428025858543	0.00742387957577831	1736.0	0.007411050290797127	1.2829284981183715e-05	0.04208650703214949	0.04300836893152555	10057.076990947935	0.006812350325008553	0.1503421142661649
ti|431946|org|Escherichia_coli_SE15	0.0212302027683392	0.0030362641122134793	710.0	0.0030362641122134793	0.0	0.013590655851886013	0.006644660691751847	1553.7874561592519	0.0013727334929866575	0.05269842627437564
ti|562|org|Escherichia_coli	0.017657443021901496	0.004896510434485118	1145.0	0.004883681149503934	1.2829284981183715e-05	0.011286369769692975	0.006970286048538611	1629.9316895902687	0.0040839890523434825	0.03069620253164557
ti|469008|org|Escherichia_coli_BL21(DE3)	0.016867239958184736	0.004208005473828259	984.0	0.004190899760520014	1.7105713308244953e-05	0.011192897072452808	0.005573056293279195	1303.203483620407	0.0035964762230585017	0.04567653096134109
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.008137054596717208	0.0036905576462538487	863.0	0.0036648990762914815	2.565856996236743e-05	0.006215453183321909	0.0035586885505161023	832.1637306526853	0.0016378720492644543	0.039792165583304825
ti|585035|org|Escherichia_coli_S88	0.007119316848683881	0.0027369141293191925	640.0	0.0027198084160109477	1.7105713308244953e-05	0.008412620593377666	0.00656378387754705	1534.875221925602	0.0024161820047896	0.05165070133424564
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	0.006549276581848479	0.0020740677386247006	485.0	0.002056962025316456	1.7105713308244953e-05	0.005589644916932929	0.003246535602465904	759.169885280627	0.0013470749230242902	0.03621707150188163
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.005331127328160982	0.0014753677728361273	345.0	0.0014454327745466987	2.993499828942867e-05	0.020114173790288983	0.009183975965880631	2147.580939861527	0.0021382141635306194	0.06500171057133082
ti|585056|org|Escherichia_coli_UMN026	0.004567909893837471	0.0009194320903181662	215.0	0.0009108792336640438	8.552856654122476e-06	0.005675910504845644	0.010828643747359597	2532.170053882568	0.0006286349640780021	0.06770868970236059
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.003785658619622684	0.005529421826890181	1293.0	0.005508039685254875	2.138214163530619e-05	0.0031440644823277305	0.00664057618452314	1552.832334988891	0.004964933287718098	0.036798665754361956
ti|405955|org|Escherichia_coli_APEC_O1	0.003689166036522863	0.0007868628121792679	184.0	0.0007868628121792679	0.0	0.017166392098360864	0.0065285384117366695	1526.6334222005028	0.0015993841943209033	0.05763342456380431
ti|28398|org|Plasmid_P4	0.003420771215690141	0.0003891549777625727	91.0	0.0003891549777625727	0.0	0.0013322176045005166	0.0003365549093397195	78.7	8.125213821416353e-05	0.00035066712281902154
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.0031687590697960137	0.007954156688333904	1860.0	0.007928498118371536	2.565856996236743e-05	0.004036197379285202	0.006252520959144531	1462.0895010863571	0.0031517276770441326	0.03787632569278139
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	0.003130936393098293	0.003438248374957236	804.0	0.0034339719466301745	4.276428327061238e-06	0.007196382847829849	0.009623643602670689	2250.392820048514	0.0032415326719124186	0.05165070133424564
ti|910348|org|Escherichia_coli_P12b	0.002807077707611081	0.0006713992473486144	157.0	0.0006713992473486144	0.0	0.003945466871207743	0.0032072115367066563	749.9743457434845	0.0006927813889839207	0.04447485460143688
ti|595495|org|Escherichia_coli_KO11FL	0.002531740380767793	0.0003806021211084502	89.0	0.0003806021211084502	0.0	0.002532942332245457	0.0020526306758504895	479.9871572408785	0.0003848785494355115	0.03829113924050633
ti|869729|org|Escherichia_coli_UM146	0.0022873407057244655	0.0023049948682860076	539.0	0.002292165583304824	1.2829284981183715e-05	0.018772546764014412	0.009067260267009112	2120.2881408374105	0.0015993841943209033	0.06062692439274718
ti|344609|org|Shigella_boydii_CDC_3083-94	0.0017947865374019812	0.0006799521040027369	159.0	0.0006756756756756757	4.276428327061238e-06	0.005332714682668352	0.002775632530566352	649.0539109476357	0.0008467328087581252	0.032244269586041735
