Total Number of Aligned Reads:	214570	Total Number of Mapped Genomes:	14602
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|910348|org|Escherichia_coli_P12b	0.6670476827242089	0.6922682574451228	148540.0	0.6922402945425735	2.7962902549284615e-05	0.5991280439829979	0.17980106085504988	38579.91362766805	0.055520343011604606	0.504157151512327
ti|655817|org|Escherichia_coli_ABU_83972	0.13657668905572345	0.2576595050566249	55286.0	0.2576082397352845	5.126532134035513e-05	0.12263690082329758	0.2531847778749768	54325.85778863377	0.2520809059980426	0.032814466141585494
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.04452169070817225	0.010872908607913501	2333.0	0.010751736030199934	0.00012117257771356667	0.022833027718209862	0.01331484718879003	2856.966761298677	0.004790977303444097	0.15068742135433658
ti|585055|org|Escherichia_coli_55989	0.021912026055887185	0.0036444982989234285	782.0	0.0036398378151652143	4.660483758214102e-06	0.01821290148351568	0.011348306035624943	2435.006026064044	0.002670457193456681	0.14986251572913267
ti|469008|org|Escherichia_coli_BL21(DE3)	0.02010030350392661	0.00272638299855525	585.0	0.0026751176772148947	5.126532134035513e-05	0.029114616602387663	0.020010448439468014	4293.641921656652	0.003122524118003449	0.22858274688912708
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.01872365293312046	0.004217737801183763	905.0	0.004208416833667334	9.320967516428204e-06	0.021824623684330312	0.012774311701366886	2740.9840617622926	0.004767674884653027	0.13731649345202032
ti|562|org|Escherichia_coli	0.01802255876726985	0.0049867176212890895	1070.0	0.0049540942349815915	3.262338630749872e-05	0.02187679558981988	0.011769322677220515	2525.3435668512057	0.005536654704758354	0.08931817122617328
ti|316385|org|Escherichia_coli_str._K-12_substr._DH10B	0.017303096601098338	0.0017383604418138602	373.0	0.0016777741529570768	6.058628885678333e-05	0.015164634854212738	0.025474724161587883	5466.111563351912	0.00048469031085426667	0.30767115626602043
ti|585035|org|Escherichia_coli_S88	0.013974617136593941	0.002171785431327772	466.0	0.002171785431327772	0.0	0.016021221350994555	0.0038030413233038148	816.0185767412995	0.0016032064128256513	0.03395628466234795
ti|405955|org|Escherichia_coli_APEC_O1	0.0060710369025706356	0.0014866943188702986	319.0	0.0014866943188702986	0.0	0.014416052372294954	0.005262237539266445	1129.118308800401	0.0032716595982663	0.0366500442745957
ti|595495|org|Escherichia_coli_KO11FL	0.005898146684919364	0.0012117257771356667	260.0	0.0012117257771356667	0.0	0.009759296224082996	0.008421362194439012	1806.9716860607787	0.0007270354662814	0.14640909726429605
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.005165383783328733	0.0007643193363471129	164.0	0.0007643193363471129	0.0	0.005289383324925698	0.02463827394810751	5286.6344410454285	0.0007503378850724705	0.30801137158037006
ti|566546|org|Escherichia_coli_W	0.004712715032925021	0.0037050845877802116	795.0	0.0037050845877802116	0.0	0.002494637225326824	0.009737118099029544	2089.2934305087692	0.0018921564058349257	0.14079321433564804
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	0.00402663688010687	0.0007829612713799693	168.0	0.0007829612713799693	0.0	0.004033095288255619	0.004107616532335074	881.3712793431368	0.0005918814372931911	0.07656242717994127
ti|481805|org|Escherichia_coli_ATCC_8739	0.002398291344324474	0.0001631169315374936	35.0	0.0001631169315374936	0.0	0.006317777755875359	0.02832714949336196	6078.156466790675	0.0003402153143496295	0.2740877103043296
ti|290339|org|Cronobacter_sakazakii_ATCC_BAA-894	0.0021555451061752912	0.00016777741529570768	36.0	0.00016777741529570768	0.0	0.0063259152632856655	0.0005994020906556046	128.61370659197308	0.0003961411194481987	0.0013701822249149462
ti|585056|org|Escherichia_coli_UMN026	0.0013876024415760916	0.0001537959640210654	33.0	0.00014447499650463718	9.320967516428204e-06	0.0013371917742615006	0.002675244384554688	574.0271875938994	0.00013981451274642308	0.04979726895651768
ti|1134782|org|Escherichia_coli_O104:H4_str._2009EL-2050	0.0012529833862140382	0.00042410402199748333	91.0	0.00042410402199748333	0.0	0.006696168409542606	0.00834391233186556	1790.353269048393	0.00018175886657035	0.14954560283357413
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.0010453400193968078	0.001179102390828168	253.0	0.001179102390828168	0.0	0.003317991895639475	0.002898626213942847	621.9582267257167	0.0015099967376613693	0.030484224262478446
ti|348058|org|Salmonella_phage_epsilon34	0.0010062408382077678	8.854919140606795e-05	19.0	8.854919140606795e-05	0.0	0.0016696438418201732	0.00011418185207624551	24.5	0.00011185161019713846	3.728387006571282e-05
ti|585054|org|Escherichia_fergusonii_ATCC_35469	0.0009210776620018502	0.0002609870904599898	56.0	0.00025632660670177565	4.660483758214102e-06	0.0014140148575101932	0.001436734536694909	308.2801295386266	0.0007549983688306846	0.009265041711329636
ti|316407|org|Escherichia_coli_str._K-12_substr._W3110	0.0008939202604090981	0.00021438225287784873	46.0	0.00021438225287784873	0.0	0.008938968456838114	0.025327591255326617	5434.541255655432	0.00021438225287784873	0.31343617467493123
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	0.0007793147575596088	0.0002516661229435615	54.0	0.0002516661229435615	0.0	0.001873325493027698	0.002627803897977274	563.8478823889836	0.0001864193503285641	0.045705364216805704
ti|316401|org|Escherichia_coli_ETEC_H10407	0.00045671532466856125	0.00012583306147178076	27.0	0.00012583306147178076	0.0	0.0015109087617034807	0.02268282485534039	4867.053729210387	0.00022370322039427692	0.27371487160367247
ti|373384|org|Shigella_flexneri_5_str._8401	0.0003763622288256967	0.0008482080439949667	182.0	0.0008295661089621103	1.864193503285641e-05	0.000573936320654384	0.0055081661435170595	1181.8872094144554	0.0004940112783706949	0.08662907209768374
ti|696406|org|Escherichia_coli_UMNK88	0.000327816443161993	0.0002516661229435615	54.0	0.0002516661229435615	0.0	0.0031991995943743312	0.01847939130459467	3965.1229922268785	0.00024234515542713333	0.24130120706529337
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	0.00030833612356267565	0.0005173136971617654	111.0	0.0005173136971617654	0.0	0.0006556804975362257	0.0018013691774383881	386.51978440295494	0.00045672740830498203	0.030265181525842382
ti|28141|org|Cronobacter_sakazakii	0.00030446075436399184	8.388870764785384e-05	18.0	8.388870764785384e-05	0.0	0.0035463918409431353	0.00012181369522964525	26.137564585424983	5.126532134035513e-05	0.0001631169315374936
ti|1147151|org|Enterobacteria_phage_mEp237	0.00028041504157487365	6.990725637321154e-05	15.0	6.990725637321154e-05	0.0	0.0007151943381506361	0.00011115524406996746	23.850580720092918	5.592580509856923e-05	0.00023768467166891924
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.00027175765205261234	0.00010253064268071025	22.0	0.00010253064268071025	0.0	0.0004728133134361781	0.005076189537110452	1089.1979889777897	0.0001584564477792795	0.08749126159295335
ti|439855|org|Escherichia_coli_SMS-3-5	0.0002636249613400612	0.0004660483758214103	100.0	0.00046138789206319616	4.660483758214102e-06	0.0006642713767068849	0.0028194329687873396	604.9657321126995	0.0004940112783706949	0.0429929626695251
ti|216592|org|Escherichia_coli_042	0.0002437993596634093	0.00041478305448105514	89.0	0.0004008016032064128	1.3981451274642308e-05	0.00277942817807282	0.0036010772046076896	772.6831357926719	0.00030293144428391667	0.05443911077969893
ti|573|org|Klebsiella_pneumoniae	0.0002124973787175539	0.000633825791117118	136.0	0.000633825791117118	0.0	0.006004024695680742	0.0007500149104138727	160.93069932750467	0.0005918814372931911	0.0025446241319849
ti|1033813|org|Escherichia_coli_NA114	0.00016009967837584115	0.0003448757981078436	74.0	0.0003448757981078436	0.0	0.0005989777997527695	0.0018769390440548153	402.7348106828417	0.00041478305448105514	0.031560796010625905
ti|1267599|org|Bacillus_sp._SXB	0.00014332200823482703	6.058628885678333e-05	13.0	6.058628885678333e-05	0.0	0.0001433220082348317	6.203800404779421e-05	13.311494528535203	6.058628885678333e-05	2.7962902549284615e-05
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.00013656567085752348	0.0011557999720370974	248.0	0.0011557999720370974	0.0	0.000206944894798527	0.000926243440865322	198.74405510647213	0.0008295661089621103	0.0009973435242578179
ti|300269|org|Shigella_sonnei_Ss046	0.00013482063009882152	0.0003262338630749872	70.0	0.0003215733793167731	4.660483758214102e-06	0.0006946017713079354	0.006867430681130361	1473.5446012501416	0.00013981451274642308	0.11616721815724472
ti|1147144|org|Enterobacteria_phage_HK225	7.729162458637421e-05	2.7962902549284615e-05	6.0	2.7962902549284615e-05	0.0	0.000691624983726226	6.894187045186718e-05	14.792857142857141	2.7962902549284615e-05	0.0001864193503285641
ti|595496|org|Escherichia_coli_BW2952	7.454985106147628e-05	9.320967516428204e-06	2.0	9.320967516428204e-06	0.0	0.010984668556039247	0.02548295496992103	5467.877647895955	0.0001537959640210654	0.31212191825511487
ti|585397|org|Escherichia_coli_ED1a	7.169700334723079e-05	1.3981451274642308e-05	3.0	1.3981451274642308e-05	0.0	0.0002519361951240573	0.0017590135638086927	377.4315403864312	4.6604837582141024e-05	0.03168662907209768
ti|344609|org|Shigella_boydii_CDC_3083-94	5.357168331212534e-05	0.00012117257771356667	26.0	0.00012117257771356667	0.0	0.00020455639164823603	0.006510732769753337	1397.0079304059734	0.0001724378990539218	0.10381693619797736
