Total Number of Aligned Reads:	224600	Total Number of Mapped Genomes:	13145
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|655817|org|Escherichia_coli_ABU_83972	0.6937606938206097	0.8197328584149599	184112.0	0.8171861086375779	0.0025467497773820126	0.5409005133513165	0.29703862405794923	66714.8749634154	0.2755253784505788	0.2215894924309884
ti|585035|org|Escherichia_coli_S88	0.1342965953289658	0.11405164737310775	25616.0	0.10867319679430099	0.005378450578806767	0.07855788313707834	0.1099639492019301	24697.9029907535	0.0161219946571683	0.4773241317898486
ti|714962|org|Escherichia_coli_IHE3034	0.05139829561406309	0.013125556544968834	2948.0	0.012916295636687444	0.00020926090828138913	0.03841592226357737	0.06551215978441219	14714.031087578978	0.0020658949243098843	0.42539626001780945
ti|405955|org|Escherichia_coli_APEC_O1	0.03132158880230469	0.006424755120213713	1443.0	0.006393588601959039	3.116651825467498e-05	0.05439197932701313	0.075223737727837	16895.25149367219	0.0075333926981300085	0.43987978628673197
ti|869729|org|Escherichia_coli_UM146	0.024394964742910717	0.004238646482635797	952.0	0.004238646482635797	0.0	0.07865332077306145	0.08015939283586783	18003.799630935915	0.009795191451469279	0.45372217275155835
ti|941322|org|Escherichia_coli_O25b:H4-ST131_str._EC958	0.017417304898717352	0.004118432769367765	925.0	0.004118432769367765	0.0	0.009121828250361027	0.002906608985820138	652.824378215203	0.002520035618878005	0.00609973285841496
ti|413997|org|Escherichia_coli_B_str._REL606	0.007351850195297161	0.0028495102404274266	640.0	0.002840605520926091	8.904719501335708e-06	0.003429498556883004	0.0031434904661507847	706.0279586974663	0.0006945681211041852	0.036295636687444344
ti|1033813|org|Escherichia_coli_NA114	0.006852240597573568	0.003330365093499555	748.0	0.003330365093499555	0.0	0.00916692677766417	0.015721497277995933	3531.048288637887	0.0038201246660730186	0.12797417631344613
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.005885022861079418	0.0019991095280498666	449.0	0.0019991095280498666	0.0	0.024522307760881015	0.02219342684467849	4984.643669314789	0.002622439893143366	0.20530721282279607
ti|591946|org|Escherichia_coli_LF82	0.0039038331948261827	0.0017542297417631344	394.0	0.0017542297417631344	0.0	0.031107859328087625	0.0252060068756843	5661.269144278694	0.003668744434550312	0.20233748886910063
