Total Number of Aligned Reads:	226730	Total Number of Mapped Genomes:	16564
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|439855|org|Escherichia_coli_SMS-3-5	0.6903346842254942	0.680770078948529	154351.0	0.6807303841573678	3.9694791161293166e-05	0.6089762623349575	0.4296492423091713	97414.37270875841	0.09932518855025801	0.5117320160543377
ti|655817|org|Escherichia_coli_ABU_83972	0.24352245951261192	0.2748864287919552	62325.0	0.27487319719490144	1.3231597053764389e-05	0.1936865635465958	0.2552905677822542	57882.03043327049	0.2480042341110572	0.06385127684911569
ti|192955|org|Salmonella_enterica_subsp._enterica_serovar_Kentucky	0.015499380462273542	0.002103823931548538	477.0	0.0020729502050897543	3.087372645878358e-05	0.007035038838302409	0.0014494869999514578	328.642187498994	0.0007938958232258633	0.004723680148193887
ti|331111|org|Escherichia_coli_E24377A	0.010650786020265961	0.002311118952057513	524.0	0.0023067084197062587	4.4105323512547965e-06	0.00875307650127676	0.0038751586324940785	878.6147167453825	0.0019847395580646584	0.03911260089092754
ti|405955|org|Escherichia_coli_APEC_O1	0.010496161414478098	0.004181184668989547	948.0	0.004176774136638292	4.4105323512547965e-06	0.006863515982360933	0.007203352691674978	1633.216155783468	0.0017245181493406253	0.05828959555418339
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	0.005098662959411063	0.0018524235875270144	420.0	0.0018480130551757597	4.4105323512547965e-06	0.025840233671359417	0.037840910035553524	8579.669532361051	0.0017421602787456446	0.1510078066422617
ti|562|org|Escherichia_coli	0.0026317223442380877	0.003426983636924977	777.0	0.003422573104573722	4.4105323512547965e-06	0.009698347894892365	0.006700695851099728	1519.2487703198412	0.003766594627971596	0.0291933136329555
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.002578021791852984	0.0029991619988532616	680.0	0.0029991619988532616	0.0	0.004425037269297263	0.005287768162694844	1198.8956755278018	0.003524015348652582	0.040254928769902526
ti|1193292|org|Klebsiella_pneumoniae_subsp._pneumoniae_1084	0.002541737592647672	0.0007189167732545318	163.0	0.0007189167732545318	0.0	0.0014296223878817072	0.0004835691802635139	109.63964024114651	0.000564548140960614	0.0001279054381863891
ti|869729|org|Escherichia_coli_UM146	0.002397771387551868	0.001967097428659639	446.0	0.001967097428659639	0.0	0.011091341025271628	0.008186539333260284	1856.134063030104	0.0021435187227098313	0.053301283464914216
ti|439842|org|Salmonella_enterica_subsp._enterica_serovar_Kentucky_str._CVM29188	0.00221291018322038	0.0002866846028315618	65.0	0.0002866846028315618	0.0	0.0024442301128841677	0.0008488656497188639	192.463308760758	0.0002999161998853262	0.0033696467163586647
ti|1033813|org|Escherichia_coli_NA114	0.001851307660051016	0.001279054381863891	290.0	0.0012658227848101266	1.3231597053764389e-05	0.0022865023054499324	0.005555718912023316	1259.6481489230464	0.0013275702377276938	0.04504917743571649
ti|409438|org|Escherichia_coli_SE11	0.0011364206313120584	0.0006130639968244167	139.0	0.0006130639968244167	0.0	0.000711054480323255	0.0026505571867169305	600.9608309443297	0.0004807480262867728	0.04171481497816786
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	0.0009555207109648511	0.0010938120231111896	248.0	0.0010938120231111896	0.0	0.006177897383697119	0.003896470505306527	883.4467576681488	0.0016760022934768227	0.035425395845278526
ti|216592|org|Escherichia_coli_042	0.0009445563163696227	0.000520442817448066	118.0	0.000520442817448066	0.0	0.0033284358116395982	0.010519010925869746	2384.9753472224475	0.0003572531204516385	0.06033167203281436
ti|469008|org|Escherichia_coli_BL21(DE3)	0.0008875018414053455	0.0015789705817492172	358.0	0.0015789705817492172	0.0	0.003797093151744334	0.003853170532799346	873.6293549015957	0.0016539496317205487	0.040325497287522605
ti|910348|org|Escherichia_coli_P12b	0.0007940340373328814	0.005521986503771005	1252.0	0.005521986503771005	0.0	0.0010523171016774387	0.004965706042081529	1125.874530921145	0.002531645569620253	0.04061218189035416
ti|1288825|org|Shigella_flexneri_2b	0.00068709123406455	8.821064702509593e-05	20.0	8.821064702509593e-05	0.0	0.000687091234064534	0.00012654227278745018	28.69092950909858	8.821064702509593e-05	0.000520442817448066
ti|431946|org|Escherichia_coli_SE15	0.000664220974624921	0.002205266175627398	500.0	0.002205266175627398	0.0	0.0011561064781178583	0.006398423226363718	1450.7144981134459	0.0021435187227098313	0.04652229524103559
ti|585054|org|Escherichia_fergusonii_ATCC_35469	0.0006543613070956875	0.00021170555286023022	48.0	0.00021170555286023022	0.0	0.0010496682432820832	0.001567304468196529	355.354942074199	0.00021611608521148503	0.011564415824990076
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.0005588008133085563	0.0001234949058351343	28.0	0.0001234949058351343	0.0	0.002958898161161363	0.0006616284938153514	150.01102840275462	0.00016318969699642748	0.003722489304459048
ti|1225789|org|Enterobacteria_phage_SfI	0.0004376251993078552	0.00014554756759140828	33.0	0.00014554756759140828	0.0	0.0004354086307108365	0.00015657389846954528	35.5	0.00015436863229391788	8.821064702509593e-06
ti|149539|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis	0.0004046795333865063	3.9694791161293166e-05	9.0	3.9694791161293166e-05	0.0	0.0005828961132206853	0.00018791905593189466	42.606887551438476	6.174745291756716e-05	0.0012481806554051073
ti|585056|org|Escherichia_coli_UMN026	0.00025357504960263593	0.0019979711551184227	453.0	0.0019979711551184227	0.0	0.004638789566685686	0.01503243207206834	3408.3033237000545	0.003484320557491289	0.06342345521104398
ti|941322|org|Escherichia_coli_O25b:H4-ST131_str._EC958	0.00021343345667859632	7.938958232258633e-05	18.0	7.938958232258633e-05	0.0	0.004581245835219268	0.001128445450266373	255.85243693889478	0.0006307061262294358	0.004044458166100649
ti|591946|org|Escherichia_coli_LF82	0.00021001604035446406	0.0005689586733118688	129.0	0.0005689586733118688	0.0	0.009363533468699906	0.008986178384890664	2037.4362252062601	0.002778635381290522	0.055039033211308604
ti|714962|org|Escherichia_coli_IHE3034	0.00013085733024180955	0.00018965289110395626	43.0	0.00018965289110395626	0.0	0.005537895150480436	0.004904661654819758	1112.0339369972837	0.0002734530057777974	0.05171790235081374
ti|701177|org|Escherichia_coli_O55:H7_str._CB9615	0.0001243048351872394	0.00027786353812905216	63.0	0.00027786353812905216	0.0	0.00339866558647891	0.0019776195170231195	448.3856730946519	8.821064702509593e-05	0.03692938737705641
ti|696406|org|Escherichia_coli_UMNK88	0.00011647074611739527	6.615798526882194e-05	15.0	6.615798526882194e-05	0.0	0.0017387031613451775	0.002500819140020343	567.0107236168124	6.615798526882194e-05	0.04190887840162308
