Total Number of Aligned Reads:	232912	Total Number of Mapped Genomes:	16767
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|585056|org|Escherichia_coli_UMN026	0.5486904909299802	0.6599788761420622	153717.0	0.659622518376039	0.00035635776602321905	0.4464700504893194	0.40804541831636587	95038.6744709014	0.07049443566668956	0.5135501820430034
ti|655817|org|Escherichia_coli_ABU_83972	0.15147189775576853	0.2520265164525658	58700.0	0.2518075496324792	0.0002189668200865563	0.14102789220539444	0.24293658893684977	56582.84680245956	0.238497801744865	0.04409820017860823
ti|431946|org|Escherichia_coli_SE15	0.06372565774139254	0.005830528268187127	1358.0	0.005813354399945044	1.7173868242082847e-05	0.054353803071393605	0.009332828589101195	2173.7277723447373	0.0046798790959675755	0.0430763550182043
ti|216592|org|Escherichia_coli_042	0.05640322335501963	0.005757539328158275	1341.0	0.005710311190492546	4.7228137665727826e-05	0.0848718479829677	0.07107864877616828	16555.070243754904	0.008505358246891529	0.175783128391839
ti|562|org|Escherichia_coli	0.03927930247414561	0.009823452634471389	2288.0	0.009814865700350346	8.586934121041424e-06	0.0365839730687499	0.01126796420979118	2624.444080030883	0.00753932815827437	0.03529229923748025
ti|469008|org|Escherichia_coli_BL21(DE3)	0.03172030537423464	0.005946451878821185	1385.0	0.0059335714776396235	1.2880401181562135e-05	0.014893707210753577	0.005569933837913615	1297.304430056136	0.001876245105447551	0.050285086212818575
ti|1274814|org|Escherichia_coli_APEC_O78	0.018760649681175624	0.0021510269973208764	501.0	0.002129559662018273	2.146733530260356e-05	0.010229527292029372	0.0035900723954874502	836.170941777773	0.0009316823521329944	0.044377275537542074
ti|1125630|org|Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	0.014458965361264975	0.001459778800577042	340.0	0.001459778800577042	0.0	0.019145667337210622	0.0024108374041975312	561.5129614864554	0.0020952119255341073	0.003967163563921137
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.009001583363559745	0.0014254310640928762	332.0	0.0014254310640928762	0.0	0.008493123907750403	0.003935131441152989	916.5393342218249	0.0018504843030844268	0.04793655973071374
ti|544404|org|Escherichia_coli_O157:H7_str._TW14359	0.005948229134409095	0.01098268874081198	2558.0	0.01097839527375146	4.293467060520712e-06	0.00466723555754245	0.00635835603193192	1480.9374201093274	0.0019105928419317166	0.045347599093219754
ti|595496|org|Escherichia_coli_BW2952	0.0054752966080528565	0.00042505323899155045	99.0	0.00042505323899155045	0.0	0.011561427284519112	0.004029632233575213	938.54970278647	0.001670158686542557	0.049185958645325274
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	0.0053201631717674355	0.002829394792883149	659.0	0.0028122209246410662	1.7173868242082847e-05	0.006447477657534514	0.0059718508207326415	1390.915718358481	0.0027778731881569004	0.03311980490485677
ti|439855|org|Escherichia_coli_SMS-3-5	0.004835822061087192	0.005572920244555884	1298.0	0.005568626777495363	4.293467060520712e-06	0.009591182086834328	0.016939734456777433	3945.4674317969457	0.005139280071443292	0.06263309747887615
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.004822621595033099	0.0012451054475510065	290.0	0.0012451054475510065	0.0	0.017874213144231436	0.005916081814150905	1377.9264474975155	0.001949234045476403	0.04047880744658927
ti|364106|org|Escherichia_coli_UTI89	0.004328804703818302	0.0014082571958507935	328.0	0.0014039637287902727	4.293467060520712e-06	0.005255870729444287	0.004134608491469083	962.999932965047	0.0005839115202308168	0.04085663254791509
ti|42897|org|Shigella_flexneri_2a	0.004115949866527745	0.00041646630487050904	97.0	0.00041646630487050904	0.0	0.004433995351340885	0.0006072690618897845	141.4402517428735	0.00044222710723363333	0.002297004877378581
