Total Number of Aligned Reads:	219060	Total Number of Mapped Genomes:	13981
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|655817|org|Escherichia_coli_ABU_83972	0.930528476474451	0.9539989044097508	208983.0	0.9533826348945494	0.0006162695152013147	0.7439941195826006	0.3871956872407538	84819.08724695953	0.2946772573724094	0.5671322925225966
ti|885276|org|Escherichia_coli_str._clone_D_i2	0.029512677103455915	0.021318360266593627	4670.0	0.020556012051492743	0.0007623482151008856	0.06881701609989276	0.10865904323586184	23802.850011247894	0.009832922486989866	0.5722130923034785
ti|885275|org|Escherichia_coli_str._clone_D_i14	0.023451253352566634	0.007408929060531361	1623.0	0.007408929060531361	0.0	0.0593469143450339	0.10286084879874298	22532.697537852637	0.007993243860129645	0.5548205970966859
ti|362663|org|Escherichia_coli_536	0.0065328273119533865	0.0034054596914087467	746.0	0.003400894732036885	4.5649593718615905e-06	0.010277923721834774	0.0257217399328837	5634.6043496975035	0.0006664840682917922	0.21189171916369945
ti|591946|org|Escherichia_coli_LF82	0.002740990604832405	0.0016753400894732038	367.0	0.0016753400894732038	0.0	0.019765961176376103	0.027713584342211887	6070.937786004936	0.001962932529900484	0.24026750661919108
ti|199310|org|Escherichia_coli_CFT073	0.002416453288759093	0.001104720167990505	242.0	0.0011001552086186432	4.5649593718615905e-06	0.03363963720481766	0.08265717405027839	18106.880547453984	0.002652241395051584	0.5078015155665114
ti|585056|org|Escherichia_coli_UMN026	0.0011920108941564666	0.0013649228521866155	299.0	0.0013649228521866155	0.0	0.0026989174664404	0.0037124609232343482	813.2516898437163	0.0009129918743723181	0.039824705560120514
ti|1033813|org|Escherichia_coli_NA114	0.0008566536696420498	0.0008445174837943942	185.0	0.0008399525244225327	4.5649593718615905e-06	0.0020084629852720045	0.014282103255090599	3128.6375390601465	0.000958641468090934	0.13490367935725373
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.0007946981633829836	0.0019674974892723456	431.0	0.0019674974892723456	0.0	0.0017059534729102746	0.0026091398182642484	571.5581685889663	0.0010773304117593354	0.034027207157856294
ti|714962|org|Escherichia_coli_IHE3034	0.00046359063089892354	0.0007988678900757784	175.0	0.0007988678900757784	0.0	0.007300349113085966	0.020542155362882588	4499.96455379306	0.0006345293526887611	0.21663014699169178
ti|591020|org|Shigella_flexneri_2002017	0.00032237464553528	0.0012827535834931069	281.0	0.0012781886241212453	4.5649593718615905e-06	0.000524890729386848	0.0020784857347469388	455.31308505366445	0.0011503697617091207	0.022916096046745184
ti|431946|org|Escherichia_coli_SE15	0.00024093123299082864	0.00030128731854286495	66.0	0.00030128731854286495	0.0	0.002529605130615038	0.013358488758958799	2926.3105475375146	0.00045193097781429743	0.13517301196019355
ti|869729|org|Escherichia_coli_UM146	0.00018459060326170168	0.00036519674974892725	80.0	0.00036519674974892725	0.0	0.015356406621923285	0.021578155416339763	4726.910725503389	0.0008764721993974253	0.22561398703551538
ti|585035|org|Escherichia_coli_S88	0.00017817222432168993	0.0001917282936181868	42.0	0.0001917282936181868	0.0	0.0010903870117380061	0.01685144766888379	3691.4781263456834	0.00020998813110563317	0.1883182689674062
ti|198214|org|Shigella_flexneri_2a_str._301	0.0001363235927615682	0.00028302748105541863	62.0	0.00028302748105541863	0.0	0.00043234259209696684	0.0014864753297501908	325.6272857350768	0.000502145530904775	0.023687574180589793
ti|562|org|Escherichia_coli	0.00010637708014827167	0.0005386652058796677	118.0	0.0005386652058796677	0.0	0.001892768787468165	0.002903207186065764	635.9765661795662	0.00044280105907057427	0.02626221126631973
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	8.745868401894945e-05	0.00012325390304026294	27.0	0.00012325390304026294	0.0	0.00030632723275809	0.0011907209697401373	260.8393356312745	0.00021455309047749475	0.02838491737423537
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	8.575519619074585e-05	0.0002556377248242491	56.0	0.0002556377248242491	0.0	0.00031291530671753216	0.0015476947434147487	339.03801049243486	0.00022368300922121794	0.03345202227700173
