Total Number of Aligned Reads:	80310	Total Number of Mapped Genomes:	5033
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1163389|org|Francisella_noatunensis_subsp._orientalis_str._Toba_04	0.9968596008948358	0.9316398954053045	74820.0	0.9316274436558336	1.2451749470800647e-05	0.9959085238008561	0.9049281087849734	72674.77641652121	0.9022413149047441	0.005516125015564687
ti|299583|org|Francisella_noatunensis_subsp._orientalis	0.0018178351777290913	0.001693437928028888	136.0	0.001693437928028888	0.0	0.0018178286893054273	0.0034258166780480087	275.1273374140356	0.0018428589216784958	0.003897397584360603
ti|526629|org|Francisella_sp._LADL_07-285A	0.0009691095050956501	0.0013821441912588719	111.0	0.0013821441912588719	0.0	0.0009688573724470108	0.0014694011203535667	118.00760397559493	0.0013572406923172706	0.000635039223010833
ti|484022|org|Francisella_philomiragia_subsp._philomiragia_ATCC_25017	0.0002003636253999185	0.012240069729797036	983.0	0.012227617980326237	1.2451749470800647e-05	0.0009789931346462263	0.0096810026493578	777.4813227699249	0.008915452621093264	0.001942472917444901
ti|657445|org|Francisella_noatunensis	6.801806781492827e-05	0.006499813223757938	522.0	0.006487361474287137	1.2451749470800647e-05	9.810055824232435e-05	0.008455597517760314	679.0690366513309	0.007994023160254016	0.0012451749470800647
ti|360196|org|Francisella_noatunensis_subsp._noatunensis	5.238938055352031e-05	0.0005354252272444279	43.0	0.0005354252272444279	0.0	6.165398636587036e-05	0.0006667317535490124	53.54522712752119	0.00043581123147802265	0.000672394471423235
ti|519983|org|Francisella_sp._PQ1104	2.3805902381996884e-05	0.0002365832399452123	19.0	0.0002365832399452123	0.0	2.3809841029676998e-05	0.0002922186009497437	23.46807584227392	7.471049682480388e-05	0.0011331092018428588
ti|573569|org|Francisella_sp._TX077308	3.6325084142660736e-06	0.006811106960527954	547.0	0.006811106960527954	0.0	0.00012846569916630127	0.006664770051037041	535.2476827987848	0.003934752832773005	0.005740256506039099
ti|401614|org|Francisella_novicida_U112	3.296296041317669e-06	0.03750466940605155	3012.0	0.03749221765658075	1.2451749470800647e-05	2.241891851849663e-06	0.02756840228456453	2214.0183874733775	0.020321255136346656	0.00981197858299091
ti|539329|org|Francisella_philomiragia_subsp._philomiragia_ATCC_25015	1.933759606757404e-06	0.0006474909724816337	52.0	0.0006474909724816337	0.0	5.107816098806597e-06	0.0008882043794721026	71.33169371540455	0.000597683974598431	0.0009338812103100486
ti|1001534|org|Francisella_tularensis_subsp._tularensis_TI0902	1.4881392241317895e-08	0.000809363715602042	65.0	0.000809363715602042	0.0	5.352760957789941e-07	0.009054485962264446	727.1657676294577	0.002826547129871747	0.013111692192753082
