Total Number of Aligned Reads:	82290	Total Number of Mapped Genomes:	6751
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1001534|org|Francisella_tularensis_subsp._tularensis_TI0902	0.832655728585277	0.826977761574918	68052.0	0.8269656094300644	1.2152144853566655e-05	0.29430937655130335	0.3757901281404358	30923.76964467646	0.07790740065621582	0.7213270142180095
ti|177416|org|Francisella_tularensis_subsp._tularensis_SCHU_S4	0.10943264716390018	0.09896706768744683	8144.0	0.09896706768744683	0.0	0.22226410828015852	0.2906059836477951	23913.966394377057	0.029225908372827805	0.6549884554623892
ti|418136|org|Francisella_tularensis_subsp._tularensis_WY96-3418	0.04952239142174192	0.04043018592781626	3327.0	0.04043018592781626	0.0	0.1957249655176247	0.13299494023715147	10944.153632115194	0.022530076558512576	0.33158342447441974
ti|401614|org|Francisella_novicida_U112	0.005176281969901699	0.026467371491068172	2178.0	0.026467371491068172	0.0	0.03649574577805753	0.027193357872297486	2237.74141931136	0.02379389962328351	0.016332482683193584
ti|393011|org|Francisella_tularensis_subsp._holarctica_OSU18	0.001847167756769232	0.003998055656823429	329.0	0.0039494470774091624	4.860857941426662e-05	0.11535285368732513	0.040128227735871956	3302.151860384903	0.007412808360675659	0.12697776157491797
ti|510831|org|Francisella_tularensis_subsp._tularensis_NE061598	0.000804705781463901	0.0006805201117997327	56.0	0.0006805201117997327	0.0	0.011852446180091177	0.024177617841426753	1989.5761721710076	0.001579778830963665	0.1080568720379147
ti|1001542|org|Francisella_tularensis_subsp._tularensis_TIGB03	0.00019835518538755906	0.00017013002794993317	14.0	0.00017013002794993317	0.0	0.023056828466208032	0.035006960933665704	2880.7228152313505	0.0003767164904605663	0.1453031960140965
ti|376619|org|Francisella_tularensis_subsp._holarctica_LVS	0.0001964855848768574	0.000595455097824766	49.0	0.000595455097824766	0.0	0.08556832680138218	0.026036767617779354	2142.565607267063	0.0013488880787458986	0.10330538340017013
ti|1088870|org|Francisella_tularensis_subsp._holarctica_FSC021	9.353206890833947e-05	0.00023089075221776644	19.0	0.00023089075221776644	0.0	0.00017486381100942776	0.00045800112378676045	37.68891247641252	0.00023089075221776644	0.0023453639567383644
ti|264|org|Francisella_novicida	3.485121887796587e-05	0.000704824401506866	58.0	0.000704824401506866	0.0	0.00020074047929516037	0.001321713990042414	108.76384424059025	0.0013488880787458986	0.0034633612832664965
ti|135248|org|Francisella_tularensis_subsp._mediasiatica	3.0744266504431346e-05	0.0002673471867784664	22.0	0.0002673471867784664	0.0	3.080774812057609e-05	0.0007942834911066091	65.36158848316286	0.0002673471867784664	0.005638595212054928
ti|32630|org|synthetic_construct	7.1089963214525245e-06	0.0005103900838497995	42.0	0.0005103900838497995	0.0	0.013862544210905391	0.019037985896245217	1566.635859402019	0.001579778830963665	0.06748086037185563
