Total Number of Aligned Reads:	82290	Total Number of Mapped Genomes:	6723
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1001534|org|Francisella_tularensis_subsp._tularensis_TI0902	0.8396938309399807	0.8326649653663871	68520.0	0.8326649653663871	0.0	0.29944384745473074	0.3912845680424072	32198.80710420969	0.08135860979462875	0.7403208166241342
ti|177416|org|Francisella_tularensis_subsp._tularensis_SCHU_S4	0.10220687132161883	0.09539433710049824	7850.0	0.09539433710049824	0.0	0.21970560831115615	0.27717119079205643	22808.417290278325	0.025920524972657673	0.645850042532507
ti|418136|org|Francisella_tularensis_subsp._tularensis_WY96-3418	0.05023761219208383	0.039615992222627294	3260.0	0.039615992222627294	0.0	0.19540137472470076	0.13193498160218572	10856.929636043864	0.02105966703123101	0.3357880665937538
ti|401614|org|Francisella_novicida_U112	0.004908480582077001	0.02582330781382914	2125.0	0.025786851379268443	3.645643456069996e-05	0.03611253028645877	0.026207876069606135	2156.646121767889	0.022785271600437477	0.016210961234657918
ti|393011|org|Francisella_tularensis_subsp._holarctica_OSU18	0.001833838578121003	0.0038522299185806295	317.0	0.003827925628873496	2.430428970713331e-05	0.11397358327424607	0.039447938136205514	3246.170829228352	0.006890266131972293	0.12624863288370397
ti|510831|org|Francisella_tularensis_subsp._tularensis_NE061598	0.0007192541433876084	0.000595455097824766	49.0	0.000595455097824766	0.0	0.011680481558823909	0.023193768236896777	1908.6151882142358	0.0015311702515493984	0.10647709320695102
ti|376619|org|Francisella_tularensis_subsp._holarctica_LVS	0.00017820589832377346	0.0005711508081176328	47.0	0.0005711508081176328	0.0	0.08510894509178624	0.026233016581697827	2158.714934507914	0.001482561672135132	0.10447198930611253
ti|1001542|org|Francisella_tularensis_subsp._tularensis_TIGB03	0.00010565343005188038	0.00012152144853566654	10.0	0.00012152144853566654	0.0	0.023313887490701322	0.03744898921102299	3081.6773221750823	0.0004010207801676996	0.15113622554380848
ti|1088870|org|Francisella_tularensis_subsp._holarctica_FSC021	6.705047596941003e-05	0.0002187386073641998	18.0	0.0002187386073641998	0.0	0.00012059214847142202	0.0004905437636078206	40.36684630728756	0.0002187386073641998	0.002576254708956131
ti|264|org|Francisella_novicida	2.6836393332573308e-05	0.0004374772147283996	36.0	0.0004374772147283996	0.0	0.00016288562869152333	0.0010542519682090019	86.75439446391877	0.0010450844574067322	0.0031109490825130637
ti|135248|org|Francisella_tularensis_subsp._mediasiatica	1.9497299346604243e-05	0.0002187386073641998	18.0	0.0002187386073641998	0.0	1.9507989216355918e-05	0.0007332367762503887	60.338054317644485	0.0002187386073641998	0.005529225908372828
ti|32630|org|synthetic_construct	2.850152484476523e-06	0.0004374772147283996	36.0	0.0004374772147283996	0.0	0.013896665714009847	0.018317865361382434	1507.3771405881605	0.001543322396402965	0.067274273909345
ti|263|org|Francisella_tularensis	1.3028151526943664e-08	1.2152144853566655e-05	1.0	1.2152144853566655e-05	0.0	0.00039278149331725595	0.0007100018057562501	58.42604859568181	0.00017013002794993317	0.0026613197229310975
ti|441952|org|Francisella_tularensis_subsp._mediasiatica_FSC147	5.5650043458454004e-09	3.645643456069996e-05	3.0	3.645643456069996e-05	0.0	8.873268050354248e-07	0.0025542109560586362	210.18601957406517	0.00020658646251063312	0.018070239397253614
