Total Number of Aligned Reads:	82030	Total Number of Mapped Genomes:	6948
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|393011|org|Francisella_tularensis_subsp._holarctica_OSU18	0.8592785320160833	0.8482506400097525	69582.0	0.8482262586858467	2.438132390588809e-05	0.3249229088510725	0.4230890015835899	34705.99079990188	0.10943557235157869	0.6460197488723638
ti|376619|org|Francisella_tularensis_subsp._holarctica_LVS	0.1119829008020297	0.09063757162013897	7435.0	0.09062538095818604	1.2190661952944045e-05	0.24837788395054206	0.32842255863297887	26940.502484663255	0.049579422162623434	0.5928318907716689
ti|418136|org|Francisella_tularensis_subsp._tularensis_WY96-3418	0.021594845995034445	0.032585639400219434	2673.0	0.032585639400219434	0.0	0.1507304613829156	0.07391395790177431	6063.161966682546	0.011763988784591003	0.1878459100329148
ti|1001534|org|Francisella_tularensis_subsp._tularensis_TI0902	0.003532026905547096	0.006485432158966232	532.0	0.006461050835060344	2.438132390588809e-05	0.12760296195246684	0.046937596966859285	3850.2910791914674	0.008155552846519566	0.14375228574911617
ti|401614|org|Francisella_novicida_U112	0.0031728507589700366	0.02028526148969889	1664.0	0.02028526148969889	0.0	0.03523001883202441	0.023739417798269352	1947.344441992035	0.019931732293063515	0.01531147141289772
ti|510831|org|Francisella_tularensis_subsp._tularensis_NE061598	0.00026720574219269994	0.0002560039010118249	21.0	0.0002560039010118249	0.0	0.003475284527031286	0.002602130245156977	213.4527440102268	0.0007436303791295868	0.016835304157015726
ti|1088870|org|Francisella_tularensis_subsp._holarctica_FSC021	9.175928108389807e-05	0.0002438132390588809	20.0	0.0002438132390588809	0.0	0.00017550336208218122	0.0007133359836101325	58.51495073553917	0.000268194562964769	0.0034621479946361088
ti|177416|org|Francisella_tularensis_subsp._tularensis_SCHU_S4	3.1560874468044786e-05	0.0001097159575764964	9.0	0.0001097159575764964	0.0	0.09308498978736242	0.027722768151044998	2274.098671430221	0.0006461050835060343	0.11227599658661465
ti|32630|org|synthetic_construct	2.9082088782923556e-05	0.0005729611117883701	47.0	0.0005729611117883701	0.0	0.007377485024310229	0.00429348631129183	352.1946821152688	0.0014019261245885651	0.017469218578568816
ti|135248|org|Francisella_tularensis_subsp._mediasiatica	1.134036483800385e-05	0.00018285992929416067	15.0	0.00018285992929416067	0.0	1.1345629350231574e-05	0.0005257218343146803	43.12496206883323	0.00018285992929416067	0.004157015725953919
ti|264|org|Francisella_novicida	3.990475756148162e-06	0.0002438132390588809	20.0	0.0002438132390588809	0.0	0.0001587798937979949	0.00043971301888007247	36.069658938732346	0.00028038522491771306	0.0020236498841887116
ti|263|org|Francisella_tularensis	2.2945967134511093e-06	2.438132390588809e-05	2.0	2.438132390588809e-05	0.0	0.0004262362569667241	0.0009114710013420737	74.7679662400903	0.0002438132390588809	0.0039010118249420945
ti|1001542|org|Francisella_tularensis_subsp._tularensis_TIGB03	1.5992036218262967e-06	6.0953309764720226e-05	5.0	6.0953309764720226e-05	0.0	0.007906871248683004	0.003263915994432663	267.73902902331133	0.0002438132390588809	0.02221138607826405
ti|119857|org|Francisella_tularensis_subsp._holarctica	1.0894826849517821e-08	6.0953309764720226e-05	5.0	6.0953309764720226e-05	0.0	6.0502770947492983e-05	0.003537204088012992	290.1568513397057	0.0001097159575764964	0.018676094111910277
