Total Number of Aligned Reads:	82290	Total Number of Mapped Genomes:	7186
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1001534|org|Francisella_tularensis_subsp._tularensis_TI0902	0.8371349108785255	0.8281200631911533	68146.0	0.8281200631911533	0.0	0.2953547520885293	0.3751671307610977	30872.503190330728	0.07793170494592296	0.7225422287033662
ti|177416|org|Francisella_tularensis_subsp._tularensis_SCHU_S4	0.09879877656101307	0.09579535788066594	7883.0	0.0957710535909588	2.430428970713331e-05	0.22181812158778183	0.2890450635549996	23785.518279940916	0.02872767043383157	0.6549884554623892
ti|418136|org|Francisella_tularensis_subsp._tularensis_WY96-3418	0.05544264121035929	0.041657552558026494	3428.0	0.041657552558026494	0.0	0.19674743487972518	0.13466660648325743	11081.715047507254	0.02270020658646251	0.33898408069024183
ti|401614|org|Francisella_novicida_U112	0.005195823300366914	0.02720865232713574	2239.0	0.027196500182282174	1.2152144853566655e-05	0.036855522736607436	0.028128084027219728	2314.6600345999113	0.024377202576254708	0.017341110706039616
ti|393011|org|Francisella_tularensis_subsp._holarctica_OSU18	0.002232718167761125	0.004228946409041196	348.0	0.004180337829626929	4.860857941426662e-05	0.11532285092270958	0.040683325907233794	3347.8308889062687	0.007497873374650626	0.12864260541985661
ti|510831|org|Francisella_tularensis_subsp._tularensis_NE061598	0.0006847214280598577	0.000595455097824766	49.0	0.000595455097824766	0.0	0.01132704117661222	0.02322612286131094	1911.2776502572774	0.0015190181066958319	0.10569935593632276
ti|1001542|org|Francisella_tularensis_subsp._tularensis_TIGB03	0.00017272243730882385	0.00019443431765706648	16.0	0.00019443431765706648	0.0	0.022148166514006484	0.03423917167270864	2817.5414369471937	0.000352412200753433	0.14441608943978612
ti|376619|org|Francisella_tularensis_subsp._holarctica_LVS	0.0001637246711512846	0.0006197593875318994	51.0	0.0006197593875318994	0.0	0.08495011547190791	0.026266385355209223	2161.460850880167	0.001373192368453032	0.10450844574067322
ti|32630|org|synthetic_construct	9.29022730353271e-05	0.000668367966946166	55.0	0.000668367966946166	0.0	0.014027521161907102	0.019208786118654397	1580.6910097040704	0.0016283874103779317	0.06896342204399077
ti|1088870|org|Francisella_tularensis_subsp._holarctica_FSC021	5.133618602594588e-05	0.0002187386073641998	18.0	0.0002187386073641998	0.0	0.00013229101280120986	0.0004668125165826046	38.41400198958253	0.0002187386073641998	0.0027342325920524974
ti|264|org|Francisella_novicida	1.7746299394478247e-05	0.00038886863531413296	32.0	0.00038886863531413296	0.0	0.0002293489700110129	0.001145293723799723	94.24622053147921	0.0011787580507959655	0.00341475270385223
ti|135248|org|Francisella_tularensis_subsp._mediasiatica	1.1964588643775295e-05	0.00020658646251063312	17.0	0.00020658646251063312	0.0	1.1966637059442842e-05	0.0007328218096891918	60.30390671932359	0.00020658646251063312	0.005905942398833394
ti|441952|org|Francisella_tularensis_subsp._mediasiatica_FSC147	1.1998272544451474e-08	9.721715882853324e-05	8.0	9.721715882853324e-05	0.0	8.106036020813009e-07	0.002348928955465695	193.29336374527205	0.00019443431765706648	0.017790740065621584
