Total Number of Aligned Reads:	128330	Total Number of Mapped Genomes:	10559
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|863767|org|Listeria_monocytogenes_serotype_7_str._SLCC2482	0.8768326482825117	0.6648016831606016	85314.0	0.6647315514688693	7.013169173225279e-05	0.7910953839007382	0.5302851915775394	68051.49863514563	0.5108548273981143	0.09213745811579521
ti|882095|org|Listeria_monocytogenes_ATCC_19117	0.07391950299298292	0.04038026961739266	5182.0	0.0403413075664303	3.896205096236266e-05	0.05662200410895552	0.051460955295475765	6603.984393068405	0.033078781267045894	0.07196290812748384
ti|1230340|org|Listeria_monocytogenes_serotype_4b_str._LL195	0.018585013929825905	0.00942102392269929	1209.0	0.00942102392269929	0.0	0.025158584059439253	0.020084472096864262	2577.4403041905907	0.007979428037091873	0.06569781033273592
ti|932920|org|Listeria_monocytogenes_SLCC2372	0.01805457509775728	0.22613574378555287	29020.0	0.2261279513753604	7.792410192472532e-06	0.021578783765413806	0.21765112275885698	27931.168583644117	0.2166212109405439	0.01037169796618094
ti|932919|org|Listeria_monocytogenes_SLCC2755	0.0046269197978196916	0.0028364373100600014	364.0	0.002828644899867529	7.792410192472532e-06	0.045943429340026376	0.03334382337804897	4279.012854105024	0.01624717525130523	0.08563858801527312
ti|1030009|org|Listeria_monocytogenes_M7	0.004134804648306117	0.04580378711135354	5878.0	0.04578040988077613	2.3377230577417596e-05	0.016424111467607645	0.0625227152592735	8023.540049222568	0.06253409179459207	0.01292760850931193
ti|879089|org|Listeria_monocytogenes_SLCC2540	0.0028113945155682695	0.001566274448686979	201.0	0.001566274448686979	0.0	0.02009393082477173	0.018657688662552865	2394.341186065409	0.007083300864957532	0.05915997818125146
ti|1639|org|Listeria_monocytogenes	0.0006526792452944322	0.0006389776357827476	82.0	0.0006389776357827476	0.0	0.0026389519923760876	0.004091631270684121	525.0790409668932	0.0013013325021429129	0.019223875944829737
ti|882096|org|Listeria_monocytogenes_SLCC5850	0.000202100297041341	0.0009039195823268137	116.0	0.0009039195823268137	0.0	0.00020661232998318353	0.0012817846944936076	164.49142984436466	0.0008805423517493961	0.008478142289410115
ti|272626|org|Listeria_innocua_Clip11262	0.00011220459118940805	0.006078079950128575	780.0	0.006078079950128575	0.0	0.0008766052165292482	0.0068791260606163775	882.7982473588997	0.006506662510714564	0.006420945998597366
ti|529731|org|Listeria_marthii	5.539398953007796e-05	0.00014026338346450557	18.0	0.00014026338346450557	0.0	8.858776533255796e-05	0.00020480931853568085	26.283179847683922	0.0001714330242343957	0.0009195044027117587
ti|563174|org|Listeria_monocytogenes_L99	1.2709752259216424e-05	0.001083145016753682	139.0	0.001083145016753682	0.0	0.0004108433516411238	0.0046073176512357985	591.25707418309	0.005252084469726487	0.011680822878516324
ti|393127|org|Listeria_monocytogenes_Finland_1998	5.2859791943350865e-08	0.00021039507519675835	27.0	0.00021039507519675835	0.0	0.00046128792511179354	0.0006338459186379148	81.34144673880361	0.00014026338346450557	0.008813215927686434
