Total Number of Aligned Reads:	126983	Total Number of Mapped Genomes:	8881
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|863767|org|Listeria_monocytogenes_serotype_7_str._SLCC2482	0.9371557338646764	0.6772323854374207	85997.0	0.6771930100879645	3.937534945622642e-05	0.8459371207776417	0.5440295083536093	69082.49905926637	0.5226290133324933	0.09346920453919029
ti|932920|org|Listeria_monocytogenes_SLCC2372	0.02205550575922395	0.2341022026570486	29727.0	0.23407857744737484	2.3625209673735854e-05	0.022839162055060296	0.2215890998857721	28138.048670795	0.2196514494066135	0.012544986336753739
ti|1230340|org|Listeria_monocytogenes_serotype_4b_str._LL195	0.01982883840709209	0.01479725632564989	1879.0	0.014757880976193663	3.937534945622642e-05	0.025842583563773794	0.021569400782321932	2738.947219541586	0.008694077159934794	0.06652859044124017
ti|272626|org|Listeria_innocua_Clip11262	0.0055830394222605925	0.01234023451958136	1567.0	0.01234023451958136	0.0	0.005598235718090353	0.01140588948914044	1448.3540649995205	0.010820346030571021	0.006048053676476379
ti|879089|org|Listeria_monocytogenes_SLCC2540	0.005063773151368678	0.0038351590370364536	487.0	0.0038351590370364536	0.0	0.02007875890183638	0.019518925314834356	2478.571693253611	0.007591567375160454	0.0573698841577219
ti|1030009|org|Listeria_monocytogenes_M7	0.004494772149989263	0.0466046636163896	5918.0	0.04658103840671586	2.3625209673735854e-05	0.017367049497403243	0.06402361359884165	8129.91052562171	0.06357543923202319	0.0135293700731594
ti|932919|org|Listeria_monocytogenes_SLCC2755	0.002900334354277469	0.001685264956726491	214.0	0.001685264956726491	0.0	0.04939838198264031	0.035037809032166016	4449.206104331537	0.015860390760968002	0.08817715757227346
ti|882095|org|Listeria_monocytogenes_ATCC_19117	0.0016900321929745451	0.0017876408653126796	227.0	0.0017876408653126796	0.0	0.002037682893043603	0.011757505768926663	1493.0033550556145	0.002291645338352378	0.05065244954048967
ti|1639|org|Listeria_monocytogenes	0.0005573794618995961	0.0005748801020609058	73.0	0.0005748801020609058	0.0	0.002746120357876852	0.005004219568982521	635.4508135281075	0.0015041383492278495	0.019128544765834796
ti|882094|org|Listeria_monocytogenes_L312	0.0001963742244967579	0.00016537646771615098	21.0	0.00016537646771615098	0.0	0.0005555588981409439	0.0079601133343091	1010.7990715305726	0.000385878424671019	0.04888055881495948
ti|882096|org|Listeria_monocytogenes_SLCC5850	0.00014442034908111016	0.0006536308009733586	83.0	0.0006536308009733586	0.0	0.00014552668978171028	0.001080075733100951	137.15125681635806	0.0006457557310821134	0.00758369230526921
ti|637381|org|Listeria_monocytogenes_08-5923	0.00012959329879428484	0.000992258806296906	126.0	0.000992258806296906	0.0	0.00041063935456578306	0.0014302974108085858	181.62345611670665	0.0008347574084720001	0.008071946638526417
ti|393130|org|Listeria_monocytogenes_J0161	9.181203498332848e-05	0.0014017624406416607	178.0	0.0014017624406416607	0.0	0.00010312172773029081	0.0027106390758042343	344.2050817628491	0.0018978918437901136	0.009048455305040832
ti|529731|org|Listeria_marthii	5.0291158092018585e-05	0.00017325153760739626	22.0	0.00017325153760739626	0.0	8.384236232161482e-05	0.00022105468389302756	28.07018692478832	0.00018900167738988683	0.0008268823385807549
ti|563174|org|Listeria_monocytogenes_L99	3.7349787200665734e-05	0.0011733854137955474	149.0	0.0011733854137955474	0.0	0.0005612220802076989	0.0048943743812911375	621.5023420594925	0.005299922036808077	0.012214233401321438
ti|40522|org|Listeria_phage_A500	1.188133760340485e-05	0.00018900167738988683	24.0	0.00018900167738988683	0.0	1.3995784470023353e-05	0.0003268154004866793	41.5	0.0002992526558673208	0.0001023759085861887
ti|169963|org|Listeria_monocytogenes_EGD-e	7.980368811163716e-06	0.0002126268870636227	27.0	0.0002126268870636227	0.0	0.0007446713477263371	0.001552502809754145	197.14146429101058	0.0003071277257585661	0.01080459589078853
ti|330399|org|Listeria_phage_A006	7.458329548144961e-07	0.00011025097847743399	14.0	0.00011025097847743399	0.0	2.710683139352386e-06	0.0005092545196338618	64.66666666666667	0.000385878424671019	0.0002126268870636227
ti|393127|org|Listeria_monocytogenes_Finland_1998	9.797414378494328e-08	0.0005985053117346416	76.0	0.0005985053117346416	0.0	0.00012922424751841619	0.0012152556696345827	154.3168106972082	0.0006457557310821134	0.008489325342762416
ti|879090|org|Listeria_monocytogenes_SLCC7179	4.4261858354359864e-08	0.0003228778655410567	41.0	0.0003228778655410567	0.0	2.196958571849188e-05	0.001014720078792205	128.85219976527057	0.00048037926336596236	0.008796453068520983
ti|393126|org|Listeria_monocytogenes_FSL_R2-561	5.990332052841589e-10	8.662576880369813e-05	11.0	8.662576880369813e-05	0.0	0.0009791017959206747	0.0016399651360436691	208.24769287023324	0.0004488789838009812	0.011284975154154494
ti|393133|org|Listeria_monocytogenes_10403S	9.036835723469524e-12	0.00011812604836867927	15.0	0.00011812604836867927	0.0	3.8198830591815835e-05	0.0007525051099192458	95.5553563728756	0.00029137758597607555	0.00819794775678634
ti|1352|org|Enterococcus_faecium	9.197492150434014e-15	0.0002992526558673208	38.0	0.0002992526558673208	0.0	9.19749215043641e-15	0.0002992526558673208	38.0	0.0002992526558673208	0.0
ti|386043|org|Listeria_welshimeri_serovar_6b_str._SLCC5334	4.951209107128405e-27	0.0004646291235834718	59.0	0.0004646291235834718	0.0	6.757012016550549e-10	0.0009034099047991212	114.71769994110682	0.0006142554515171322	0.004543915327248529
ti|330396|org|Listeria_phage_B025	2.3009843788026857e-30	1.575013978249057e-05	2.0	1.575013978249057e-05	0.0	4.521997763101963e-12	9.843837364056606e-05	12.5	0.00013387618815116983	1.575013978249057e-05
ti|40521|org|Listeria_phage_A118	1.84507703191266e-30	5.5125489238716994e-05	7.0	5.5125489238716994e-05	0.0	1.1242123139544159e-09	0.00016143893277052835	20.5	7.875069891245284e-05	0.0001575013978249057
ti|882097|org|Listeria_monocytogenes_SLCC2376	2.8748864368429638e-33	7.875069891245284e-06	1.0	7.875069891245284e-06	0.0	1.371485723791193e-07	0.0024452750351960967	310.50835979430593	0.00040162856445350955	0.01148972697132687
