Total Number of Aligned Reads:	131666	Total Number of Mapped Genomes:	9841
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|863767|org|Listeria_monocytogenes_serotype_7_str._SLCC2482	0.8646553345629862	0.6496210107392949	85533.0	0.6495754408883083	4.556985098658727e-05	0.7806645551393122	0.5175279470139671	68140.83467154099	0.4985645496939225	0.08985615117038567
ti|882095|org|Listeria_monocytogenes_ATCC_19117	0.06929539775381909	0.03803563562347151	5008.0	0.03800525572281379	3.0379900657724848e-05	0.052972972391578235	0.04784243215490522	6299.22167210775	0.03088876399374174	0.07024592529582428
ti|1230340|org|Listeria_monocytogenes_serotype_4b_str._LL195	0.01898712704525486	0.009364604377743686	1233.0	0.009357009402579254	7.594975164431212e-06	0.024834674217516024	0.019899973403081146	2620.1498980900824	0.008362067656038764	0.06451171904667871
ti|932920|org|Listeria_monocytogenes_SLCC2372	0.01730625014657482	0.22091504260781067	29087.0	0.22091504260781067	0.0	0.02032969040159353	0.2124384907025104	27970.926316836732	0.21124663922348974	0.01071650995701244
ti|171618|org|Listeria_phage_PSA	0.012179068552101992	0.007283581182689533	959.0	0.007275986207525101	7.594975164431212e-06	0.010478293425474391	0.005805219266932998	764.3500000000001	0.006311424361642337	0.00041012865887928544
ti|1030009|org|Listeria_monocytogenes_M7	0.004233654326295182	0.04866100587851078	6407.0	0.04865341090334634	7.594975164431212e-06	0.016332515133373554	0.062701250046336	8255.622788600876	0.062157276745705044	0.014620327191530084
ti|879089|org|Listeria_monocytogenes_SLCC2540	0.0037910341905023036	0.003987361961326387	525.0	0.003979766986161955	7.594975164431212e-06	0.020199004579650178	0.019910022395370243	2621.4730087088183	0.008278522929230021	0.058481308766120337
ti|932919|org|Listeria_monocytogenes_SLCC2755	0.0037567810695073997	0.00206583324472529	272.0	0.00206583324472529	0.0	0.045261746525326746	0.03231274159983153	4254.489435483419	0.015508939285768535	0.08379536098916956
ti|272626|org|Listeria_innocua_Clip11262	0.0027032011496677783	0.011734236629046223	1545.0	0.011688666778059636	4.556985098658727e-05	0.0032200496096587905	0.010960753970298965	1443.1586322533835	0.009941822490240457	0.007632950040253369
ti|393130|org|Listeria_monocytogenes_J0161	0.0015373835785959273	0.0018151990642990598	239.0	0.0017848191636413348	3.0379900657724848e-05	0.0012132695869289019	0.0018479321087450946	243.3098290300316	0.0013367156289398933	0.010048152142542495
ti|1639|org|Listeria_monocytogenes	0.0006024692656897703	0.0006531678641410843	86.0	0.0006531678641410843	0.0	0.00261574740191724	0.0042353749896704325	557.6548833899471	0.0014734251818996553	0.01948111129676606
ti|40521|org|Listeria_phage_A118	0.00037480630637191996	0.001040511597527076	137.0	0.001032916622362645	7.594975164431212e-06	0.0007663409566758549	0.0011097524544428073	146.11666666666667	0.0010177266720337824	0.0006000030379900657
ti|882096|org|Listeria_monocytogenes_SLCC5850	0.0001720690908603814	0.0010936764236780946	144.0	0.0010936764236780946	0.0	0.00018477429861408587	0.001661907554759453	218.81672010495814	0.0011620312001579755	0.0088329561162335
ti|40522|org|Listeria_phage_A500	0.00016295556203908232	0.0009797517962116264	129.0	0.000964561845882764	1.5189950328862424e-05	0.0003239692838785491	0.001586970060607902	208.95000000000002	0.001397475430255343	0.0005772181124967721
ti|1173743|org|Listeria_phage_LP-030-2	0.00010558604333608441	0.00027341910591952365	36.0	0.00027341910591952365	0.0	0.0017541531527015682	0.0011653223560625621	153.4333333333333	0.0017468442878191789	0.0004405085595370103
