Total Number of Aligned Reads:	120700	Total Number of Mapped Genomes:	10366
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|932920|org|Listeria_monocytogenes_SLCC2372	0.9610143400170837	0.8401739850869926	101409.0	0.8401242750621375	4.971002485501243e-05	0.9019483140413657	0.6843626357664412	82602.57013700945	0.6727091963545981	0.05715824357912179
ti|1234142|org|Listeria_monocytogenes_N53-1	0.016714765118651553	0.015542667771333885	1876.0	0.015459817729908865	8.285004142502072e-05	0.01773786605975718	0.04810372680421007	5806.119825268156	0.01692626346313173	0.08121789560894781
ti|393133|org|Listeria_monocytogenes_10403S	0.01319107298700905	0.008384424192212097	1012.0	0.008351284175642088	3.314001657000828e-05	0.01723478332462159	0.012222244601371559	1475.224923385547	0.00212096106048053	0.05126760563380282
ti|1030009|org|Listeria_monocytogenes_M7	0.00411332489159955	0.07196354598177299	8686.0	0.07195526097763048	8.28500414250207e-06	0.007348679329871698	0.0750465764895806	9058.121782292379	0.07301574150787075	0.011789560894780447
ti|1639|org|Listeria_monocytogenes	0.0020685844391754482	0.0020546810273405136	248.0	0.0020546810273405136	0.0	0.002972905402829898	0.016319691821419898	1969.7868028453818	0.001847555923777962	0.05328086164043082
ti|863767|org|Listeria_monocytogenes_serotype_7_str._SLCC2482	0.001345086309739962	0.05262634631317316	6352.0	0.05262634631317316	0.0	0.005373665729021088	0.07609205021848707	9184.31046137139	0.07508699254349627	0.01584092792046396
ti|393126|org|Listeria_monocytogenes_FSL_R2-561	0.0011972566303439366	0.0007290803645401822	88.0	0.0007290803645401822	0.0	0.013029640361546664	0.011020612676136516	1330.1879500096775	0.0024772162386081193	0.05246893123446562
ti|393130|org|Listeria_monocytogenes_J0161	0.000126384324414592	0.0005053852526926264	61.0	0.0005053852526926264	0.0	0.017996136114807465	0.01888862076855065	2279.8565267640633	0.003123446561723281	0.062212096106048054
ti|932919|org|Listeria_monocytogenes_SLCC2755	0.00012044197439695293	0.0012427506213753107	150.0	0.0012427506213753107	0.0	0.0020265603897961877	0.006740924567297198	813.6295952727718	0.006512013256006628	0.013678541839270919
ti|563174|org|Listeria_monocytogenes_L99	3.5686876982012716e-05	0.00021541010770505386	26.0	0.00021541010770505386	0.0	0.0003416518553845267	0.0013602723847450766	164.18487683873073	0.0002568351284175642	0.010149130074565037
ti|393127|org|Listeria_monocytogenes_Finland_1998	3.0077459450727403e-05	8.285004142502072e-05	10.0	8.285004142502072e-05	0.0	0.009163541484745939	0.008199776757621683	989.7130546449372	0.00038939519469759735	0.045260977630488815
ti|169963|org|Listeria_monocytogenes_EGD-e	1.697241361644185e-05	0.0005468102734051368	66.0	0.0005468102734051368	0.0	0.003120837757174197	0.006410927469110168	773.7989455215973	0.0013421706710853355	0.039776304888152446
ti|529731|org|Listeria_marthii	9.768280792877302e-06	0.00010770505385252693	13.0	0.00010770505385252693	0.0	1.8164379768455172e-05	0.00018692576967436236	22.561940399695537	0.00015741507870753934	0.0009527754763877382
ti|653938|org|Listeria_monocytogenes_08-5578	9.619400551880578e-06	7.456503728251864e-05	9.0	7.456503728251864e-05	0.0	0.0005157682139684032	0.004416534760212934	533.0757455577011	0.0003396851698425849	0.03429991714995857
ti|272626|org|Listeria_innocua_Clip11262	6.604819517779934e-06	0.005741507870753935	693.0	0.005741507870753935	0.0	4.835275772439903e-05	0.00640310566341953	772.8548535747373	0.006023198011599006	0.006710853355426678
ti|879090|org|Listeria_monocytogenes_SLCC7179	1.4056588157448694e-08	8.28500414250207e-06	1.0	8.28500414250207e-06	0.0	3.6299186305505848e-06	0.004348271741040015	524.8363991435298	1.657000828500414e-05	0.03579121789560895
