Total Number of Aligned Reads:	122350	Total Number of Mapped Genomes:	10380
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|386043|org|Listeria_welshimeri_serovar_6b_str._SLCC5334	0.9948031826197663	0.7698161013485901	94187.0	0.7697016755210462	0.00011442582754393135	0.9923728362588031	0.7278150610855981	89048.17272382294	0.7112872905598693	0.024495300367797304
ti|932920|org|Listeria_monocytogenes_SLCC2372	0.0027509473227297966	0.17238250919493256	21091.0	0.1723089497343686	7.355946056395586e-05	0.0027474547481249863	0.1405485583052706	17196.116108649858	0.13738455251328158	0.010764201062525541
ti|1643|org|Listeria_welshimeri	0.002263083511292106	0.0017736003269309358	217.0	0.0017736003269309358	0.0	0.0034266704648098227	0.004870163029864113	595.8644467038743	0.0023375561912545974	0.009448304045770331
ti|882095|org|Listeria_monocytogenes_ATCC_19117	8.7014696743847e-05	0.002607274213322436	319.0	0.002607274213322436	0.0	6.960595664778087e-05	0.0019173452750399034	234.58719440113217	0.001961585615038823	0.006317940335104209
ti|568819|org|Listeria_monocytogenes_serotype_4b_str._CLIP_80459	2.7548029884454094e-05	0.002239476910502656	274.0	0.0020024519820187985	0.0002370249284838578	2.3315777428274747e-05	0.0008880112442589524	108.64817573508283	8.173273395995095e-06	0.00723334695545566
ti|882094|org|Listeria_monocytogenes_L312	2.7547661857606592e-05	0.0002697180220678382	33.0	0.0002697180220678382	0.0	2.3315754585388687e-05	0.000919325180495314	112.47943583360167	1.634654679199019e-05	0.00729873314262362
ti|879090|org|Listeria_monocytogenes_SLCC7179	1.7029221186751524e-05	0.0013976297507151613	171.0	0.0013894564773191662	8.173273395995095e-06	1.1220693782400407e-05	0.001275076149963195	156.00556694799693	0.0009317531671434409	0.006309767061708214
ti|272626|org|Listeria_innocua_Clip11262	1.321006747000696e-05	0.019313445034736414	2363.0	0.019264405394360442	4.9039640375970576e-05	1.4885396754578263e-05	0.017535767752615682	2145.501184532529	0.01480179812014712	0.010061299550469964
ti|1030009|org|Listeria_monocytogenes_M7	8.12592883499624e-06	0.029554556599918267	3616.0	0.029546383326522273	8.173273395995095e-06	6.358890114477698e-06	0.03849868469826058	4710.314072832182	0.03294646505925623	0.01578259092766653
ti|393130|org|Listeria_monocytogenes_J0161	2.2966570194224276e-06	0.000514916223947691	63.0	0.000514916223947691	0.0	3.120169159751799e-06	0.001527780911059414	186.9239944681193	0.000425010216591745	0.008173273395995096
ti|637381|org|Listeria_monocytogenes_08-5923	1.06067776255114e-08	0.00011442582754393135	14.0	0.00011442582754393135	0.0	1.0147828242022419e-05	0.0011381928654360038	139.25789708609506	0.00012259910093992643	0.007756436452799346
ti|882096|org|Listeria_monocytogenes_SLCC5850	2.667995857601308e-09	8.173273395995095e-06	1.0	8.173273395995095e-06	0.0	0.0010318606367586904	0.0009696582864683616	118.63769134940404	0.0006293420514916223	0.00676747037188394
