Total Number of Aligned Reads:	294110	Total Number of Mapped Genomes:	15221
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.7087724033780477	0.7610689877936826	223838.0	0.7608921831967631	0.0001768045969195199	0.3158790818746741	0.38580231101817253	113468.31769355472	0.23701676243582334	0.22153956002856073
ti|1089456|org|Pseudomonas_aeruginosa_NCGM2.S1	0.15954938587772086	0.08856210261466799	26047.0	0.0885247016422427	3.740097242528306e-05	0.14528997026869164	0.11374813919388115	33454.46521831238	0.08333956682873754	0.0596069497806943
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.10211039320589954	0.11507599197579137	33845.0	0.1150113902961477	6.460167964367073e-05	0.18141839971190196	0.16678400714172778	49052.84434045356	0.07806602971677264	0.19084016184420796
ti|941193|org|Pseudomonas_aeruginosa_M18	0.018576444616882706	0.02381761925810071	7005.0	0.02381761925810071	0.0	0.16512919745505772	0.14953331123169308	43979.24216635325	0.06153819999319982	0.1861038386998062
ti|287|org|Pseudomonas_aeruginosa	0.008730282786828358	0.005759749753493591	1694.0	0.005759749753493591	0.0	0.029580260337708483	0.01895528132205765	5574.937789630375	0.01645302777872225	0.01436877358811329
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.0008832229845272343	0.002002652068953793	589.0	0.002002652068953793	0.0	0.13664788848164924	0.11907466414783499	35021.04947251975	0.0328958552922376	0.1755057631498419
ti|98360|org|Salmonella_enterica_subsp._enterica_serovar_Dublin	0.0005564565397768866	0.0002550066301723845	75.0	0.0002550066301723845	0.0	0.0004529495616944081	0.0002535257766943749	74.5644661835826	0.000251606541770086	0.0008024208629424365
ti|398578|org|Delftia_acidovorans_SPH-1	0.0003429162850738038	0.0002618068069769814	77.0	0.0002618068069769814	0.0	0.0025133411251081696	0.0010435437988054357	306.9166666666667	0.000635816531229812	0.0014552378361837408
ti|588|org|Providencia_stuartii	0.00032940628992936147	0.00019380503893101221	57.0	0.00019380503893101221	0.0	0.000329406289929206	0.00023598431252779863	69.40534615755085	0.00019380503893101221	0.0007718200673217504
ti|1331671|org|Pseudomonas_putida_H8234	4.102234083318776e-05	0.000340008840229846	100.0	0.000340008840229846	0.0	0.0006446799835586116	0.00048288255674659437	142.02058876474086	0.00023120601135629527	0.0007242188296895719
ti|32630|org|synthetic_construct	3.438187401540323e-05	0.0007344190948964674	216.0	0.0007344190948964674	0.0	0.002389800453662602	0.0020559881008802186	604.6866603498811	0.0004828125531263813	0.00474652340960865
ti|1093787|org|Pseudomonas_aeruginosa_DK2	2.3590566489942743e-05	0.0002210057461493999	65.0	0.0002210057461493999	0.0	0.011842185676245563	0.015053061211270122	4427.255832846656	0.002920675937574377	0.03300465812111115
ti|1191380|org|Pseudomonas_phage_YMC/01/01/P52_PAE_BP	1.805840949755584e-05	0.0001428037128965353	42.0	0.0001428037128965353	0.0	0.00013409476281874423	0.00018020468532181836	53.0	0.0001870048621264153	5.780150283907382e-05
ti|999510|org|Expression_vector_pCon4	1.2685155506142747e-05	0.00016320424331032606	48.0	0.00016320424331032606	0.0	1.268515550638423e-05	0.00016321796341834866	48.00403522097052	0.00016320424331032606	0.0
ti|381754|org|Pseudomonas_aeruginosa_PA7	9.01136710063462e-06	0.00038761007786202443	114.0	0.00038761007786202443	0.0	9.555003463983563e-05	0.0010307019293850517	303.1397444514376	0.00043521131549420283	0.00291387576076978
ti|228095|org|Pseudomonas_sp._M18	6.288772712224663e-06	2.3800618816089217e-05	7.0	2.3800618816089217e-05	0.0	0.00023261443830553671	0.0003377240432977207	99.32801837429263	8.840229845975996e-05	0.0009996259902757471
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	1.7855630247835322e-06	6.800176804596919e-06	2.0	6.800176804596919e-06	0.0	0.00010453342846671046	6.157071875325454e-05	18.108564092519693	0.0001020026520689538	9.860256366665533e-05
ti|1129145|org|Pseudomonas_phage_phi297	1.2226195343841738e-06	5.4401414436775354e-05	16.0	5.4401414436775354e-05	0.0	0.00017753127771206475	5.4401414436775354e-05	16.0	6.460167964367073e-05	4.0801060827581515e-05
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	7.043916168366979e-07	2.0400530413790758e-05	6.0	2.0400530413790758e-05	0.0	5.536560459774327e-07	2.8829542196938336e-05	8.479056655541534	2.0400530413790758e-05	3.740097242528306e-05
ti|413502|org|Cronobacter_turicensis	1.9230046960266019e-07	4.7601237632178434e-05	14.0	4.7601237632178434e-05	0.0	1.9229929541331476e-07	4.638692034564327e-05	13.642857142857142	4.420114922987998e-05	6.800176804596919e-06
ti|996285|org|Pseudomonas_stutzeri_DSM_4166	6.405708753525272e-08	5.4401414436775354e-05	16.0	5.4401414436775354e-05	0.0	3.855537665919698e-06	0.00044325479723859884	130.3656684158443	0.00021760565774710141	0.0005678147631838428
ti|399739|org|Pseudomonas_mendocina_ymp	2.635701602398214e-08	0.00014960388970113224	44.0	0.00014960388970113224	0.0	3.9458547542942674e-08	0.002181965323979553	641.7378214356263	0.001856448267654959	0.0007650198905171534
ti|96563|org|Pseudomonas_stutzeri_ATCC_17588_=_LMG_11199	2.5372721436631024e-08	0.00045901193431029206	135.0	0.00045901193431029206	0.0	2.954769225624856e-08	0.0006286318695123504	184.88691914227738	0.0005338138791608582	0.0003230083982183537
ti|389469|org|Pseudomonas_phage_DMS3	2.420356753207233e-08	0.00018020468532181836	53.0	0.00018020468532181836	0.0	0.0002083065111010186	0.00027540716058617524	81.0	0.00023460609975859372	8.840229845975996e-05
ti|572278|org|actinobacterium_MSA19	2.4209802405776346e-09	1.3600353609193838e-05	4.0	1.3600353609193838e-05	0.0	2.7146422730391563e-09	4.821109475830498e-05	14.179365079365077	3.4000884022984596e-05	7.820203325286458e-05
ti|505292|org|Pseudomonas_phage_MP38	2.2640346782312122e-09	3.4000884022984596e-06	1.0	3.4000884022984596e-06	0.0	2.4452055823137697e-05	3.088413632087767e-05	9.083333333333332	1.7000442011492298e-05	3.4000884022984596e-05
