Total Number of Aligned Reads:	272331	Total Number of Mapped Genomes:	11797
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.8420859044352007	0.7996812702189615	217778.0	0.7996555662043616	2.5704014599880292e-05	0.43121424218762033	0.5858749657370595	159551.91529413915	0.30408583672075523	0.4730787167087111
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.13100774873655183	0.1582082098622632	43085.0	0.1581971938560061	1.1016006257091554e-05	0.22633134774051217	0.16530136941710907	45016.68723473073	0.07743517998318224	0.23324557248348518
ti|941193|org|Pseudomonas_aeruginosa_M18	0.02071924462188334	0.026801943223503752	7299.0	0.026798271221418053	3.6720020856971848e-06	0.21200124205887894	0.1489175947736132	40554.87750229285	0.06199441121282557	0.22940098629976022
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.0045556026153829735	0.010142069760695625	2762.0	0.010138397758609927	3.6720020856971848e-06	0.09297953900393835	0.04151581865736977	11306.044410780167	0.019142146872739425	0.06620986960720594
ti|287|org|Pseudomonas_aeruginosa	0.0008372219403946053	0.0019167850887339304	522.0	0.0019167850887339304	0.0	0.010294900332332437	0.011140424304136514	3033.882891169801	0.005427219082660439	0.01823149035548652
ti|32630|org|synthetic_construct	0.0004692110666176649	0.001351296767536564	368.0	0.001351296767536564	0.0	0.006528503809374799	0.007799311115516483	2123.9941953997195	0.0022178892597610996	0.014489720230161091
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	0.00015910907720718232	0.0008115124609390778	221.0	0.0008115124609390778	0.0	0.0019498374648310303	0.006545788023508796	1782.6209982301739	0.002467585401588508	0.017625610011346486
ti|1093787|org|Pseudomonas_aeruginosa_DK2	6.086582724429396e-05	0.00013219207508509864	36.0	0.00013219207508509864	0.0	0.016577440016552012	0.014853015945135635	4044.9366853547326	0.0013329367571080781	0.04621949025267046
ti|999510|org|Expression_vector_pCon4	4.697426028543872e-05	0.00013586407717079582	37.0	0.00013586407717079582	0.0	4.697426028519353e-05	0.00013676022053694812	37.24404761904762	0.00013219207508509864	2.203201251418311e-05
ti|381754|org|Pseudomonas_aeruginosa_PA7	4.2649420504848096e-05	0.0002643841501701973	72.0	0.0002643841501701973	0.0	0.0001052082590906088	0.0008786477413004099	239.28301803608193	0.0003084481751985635	0.002823769603901135
ti|10871|org|Pseudomonas_phage_Pf1	7.928612394856162e-06	0.0002496961418274086	68.0	0.0002496961418274086	0.0	1.3364619150260337e-05	0.0003304801877127466	90.0	0.0003231361835413523	7.3440041713943695e-06
ti|228095|org|Pseudomonas_sp._M18	7.192071358754868e-06	2.203201251418311e-05	6.0	2.203201251418311e-05	0.0	0.00039529441872812273	0.0005324641004390538	145.00648093666797	0.00010281605839952117	0.0014834888426216626
ti|413502|org|Cronobacter_turicensis	2.6330552078254774e-07	2.5704014599880292e-05	7.0	2.5704014599880292e-05	0.0	2.633062666068193e-07	2.7540015642728887e-05	7.5	2.5704014599880292e-05	3.6720020856971848e-06
ti|399739|org|Pseudomonas_mendocina_ymp	5.806386888210653e-08	0.00023133613139892262	63.0	0.00023133613139892262	0.0	1.2410446856646622e-07	0.0023382793845377727	636.7859630705561	0.0020196011471334515	0.0007417444213108313
ti|572278|org|actinobacterium_MSA19	2.5946056215516897e-08	2.5704014599880292e-05	7.0	2.5704014599880292e-05	0.0	2.5959685506787572e-08	4.74620841013209e-05	12.925396825396822	2.5704014599880292e-05	0.00010648806048521836
