Total Number of Aligned Reads:	289382	Total Number of Mapped Genomes:	10652
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.8511305259087683	0.8270624987041351	239337.0	0.8269277287460864	0.000134769958048531	0.2917966275671033	0.27789820980477364	80418.739749725	0.11702870254542438	0.3298892121832042
ti|941193|org|Pseudomonas_aeruginosa_M18	0.08387195541879922	0.07545735394737751	21836.0	0.07540551934812809	5.1834599249435005e-05	0.2794111016148957	0.27279334704397235	78941.4843542788	0.10681037521338577	0.3325120429052256
ti|1093787|org|Pseudomonas_aeruginosa_DK2	0.02149775773141043	0.019057854324042268	5515.0	0.019006019724792836	5.1834599249435005e-05	0.035617637225646336	0.04383542024402213	12685.18158105561	0.016994837273914758	0.07072658285587909
ti|287|org|Pseudomonas_aeruginosa	0.015004062281619815	0.029849817887774636	8638.0	0.029708136649826182	0.00014168123794845567	0.022126625463621496	0.033162717439080155	9596.693497955894	0.025191615235225413	0.02423094732913588
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.011276324254783929	0.02039173134472773	5901.0	0.02028806214622886	0.00010366919849887001	0.12326611442420934	0.10483955554942768	30338.68026400448	0.0484860841379215	0.11276444284717087
ti|1163399|org|Stenotrophomonas_maltophilia_D457	0.005526395265190068	0.0037528249856590944	1086.0	0.003707901666309584	4.4923319349510334e-05	0.008737170059690566	0.005906708911042269	1709.2952380952338	0.0041433123000048375	0.006216696269982238
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.002892694612580408	0.003846127264308077	1113.0	0.0038184821447083787	2.764511959969867e-05	0.21724532403393695	0.20085585850671972	58124.070046391564	0.05655154778113359	0.2932594287136035
ti|398578|org|Delftia_acidovorans_SPH-1	0.0028146355159505984	0.00362842194746045	1050.0	0.0035904099080108645	3.801203944958567e-05	0.00156510367503986	0.001607851674718298	465.2833333333305	0.0009917686656391897	0.0014755582586339164
ti|151599|org|Pseudomonas_phage_B3	0.0014075704457759215	0.003224112073314857	933.0	0.003224112073314857	0.0	0.0015008597433949417	0.0034867407095119946	1009.0	0.003459095589912296	5.1834599249435005e-05
ti|644801|org|Pseudomonas_stutzeri_RCH2	0.0009769273895018171	0.0006703941502926927	194.0	0.0006703941502926927	0.0	0.000478953063112884	0.00047415260083262035	137.21122793414534	0.00028336247589691134	0.0005563580319439357
ti|1003194|org|Plasmid_pMCBF1	0.0008906051607116055	0.0010436032648886246	302.0	0.0010436032648886246	0.0	0.0003671719632107519	0.0004192152883372522	121.31335856961071	7.2568438949209e-05	0.0009952243055891521
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	0.0006574203826287662	0.002270355447125253	657.0	0.0022599885272753663	1.0366919849887e-05	0.00447594789960125	0.01251846337020904	3622.6179669978324	0.006496603105929187	0.021805088084262323
ti|1089456|org|Pseudomonas_aeruginosa_NCGM2.S1	0.0006163506573024708	0.0018314891734800367	530.0	0.001824577893580112	6.911279899924667e-06	0.0017366600729666164	0.008031965095929697	2324.3061233903277	0.0019282470920789821	0.020523045662826297
ti|303|org|Pseudomonas_putida	0.0004209953523572352	0.0011645506631373064	337.0	0.0011576393832373817	6.911279899924667e-06	0.0003995492023164517	0.0011299029636442082	326.9735794252882	0.0008120753882411484	0.000818986668141073
ti|1110502|org|Tistrella_mobilis_KA081020-065	0.00020931811571565752	0.00013822559799849335	40.0	0.00013822559799849335	0.0	0.0004763459801083513	0.00044155262232060396	127.77738095238101	0.00041813243394544234	0.0007291400294420524
ti|402626|org|Ralstonia_pickettii_12J	0.00018084099610370612	0.00023152787664747635	67.0	0.00023152787664747635	0.0	0.00081790773625717	0.0006324972988414383	183.0333333333331	0.00034556399499623337	0.0008120753882411484
ti|596154|org|Alicycliphilus_denitrificans_K601	0.00011632077296026137	0.00023498351659743868	68.0	0.00023498351659743868	0.0	0.00047168125117226175	0.0006272562449173305	181.51666666666694	0.00021770531684762702	0.0009675791859894534
ti|266264|org|Cupriavidus_metallidurans_CH34	0.00010747255768308124	0.00033519707514634636	97.0	0.000331741435196384	3.4556399499623336e-06	0.0020061253284824683	0.0019759925173876256	571.8166666666658	0.0008915551070902821	0.0034832850695620324
ti|1223259|org|Pseudomonas_phage_JBD24	8.405823446688071e-05	5.1834599249435005e-05	15.0	5.1834599249435005e-05	0.0	0.00011697599634865845	0.00011029250840296447	31.916666666666664	9.3302278648983e-05	6.911279899924667e-05
ti|999510|org|Expression_vector_pCon4	7.233519459125857e-05	0.000155503797748305	45.0	0.000155503797748305	0.0	7.23351945912662e-05	0.00015562721346080367	45.035714285714285	0.00015204815779834268	1.727819974981167e-05
ti|727|org|Haemophilus_influenzae	5.597827688938117e-05	9.3302278648983e-05	27.0	8.984663869902067e-05	3.4556399499623336e-06	5.8645317361340785e-05	0.0001192195782737005	34.5	0.00010712483844883234	2.764511959969867e-05
