Total Number of Aligned Reads:	247660	Total Number of Mapped Genomes:	11937
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1294143|org|Pseudomonas_denitrificans_ATCC_13867	0.999955741183499	0.994928531050634	246404.0	0.994896228700638	3.230234999596221e-05	0.999954515696394	0.9613811606965975	238095.65825811934	0.9591415650488573	0.002765888718404264
ti|92165|org|uncultured_bacterium_ProL	3.2751605840282576e-05	6.460469999192442e-05	16.0	6.460469999192442e-05	0.0	3.274992046522557e-05	6.696007967913e-05	16.583333333333336	5.249131874343859e-05	5.652911249293386e-05
ti|266264|org|Cupriavidus_metallidurans_CH34	6.282007446685607e-06	0.00117096018735363	290.0	0.0011669223936041347	4.037793749495276e-06	6.216984343295972e-06	0.0010437696842445288	258.5	0.0010336751998707907	1.6151174997981104e-05
ti|381754|org|Pseudomonas_aeruginosa_PA7	4.085424894892867e-06	0.0022611644997173543	560.0	0.0022611644997173543	0.0	4.084103463826356e-06	0.002200228649052924	544.9086272244472	0.002022934668497133	0.0006097068561737866
ti|43306|org|Pseudomonas_denitrificans	8.118363531069869e-07	2.4226762496971655e-05	6.0	2.4226762496971655e-05	0.0	1.2201917025422865e-06	9.185980780101751e-05	22.749999999999996	3.230234999596221e-05	0.0001655495437293063
ti|1123519|org|Pseudomonas_stutzeri_DSM_10701	2.3849455021032834e-07	0.00022611644997173544	56.0	0.00022611644997173544	0.0	8.897752421757085e-07	0.00023636170246144127	58.53733923160054	0.00019785189372526851	0.0002705321812161835
ti|1045855|org|Pseudoxanthomonas_spadix_BD-a59	4.709770461078763e-08	4.037793749495276e-05	10.0	4.037793749495276e-05	0.0	4.2770740729533215e-08	6.864249374141968e-05	17.0	5.652911249293386e-05	4.441573124444803e-05
ti|557722|org|Pseudomonas_aeruginosa_LESB58	1.9297320488372877e-08	0.0007833319874020834	194.0	0.0007550674311556165	2.826455624646693e-05	5.5219541845915026e-08	0.008492892805963116	2103.3498323248255	0.006420092061697489	0.0043890818057013645
ti|96563|org|Pseudomonas_stutzeri_ATCC_17588_=_LMG_11199	1.052971694517583e-08	0.00020996527497375435	52.0	0.00020996527497375435	0.0	1.0760446332507091e-08	0.0006553376935812628	162.30093319233555	0.0005006864249374142	0.0004804974561899378
ti|941193|org|Pseudomonas_aeruginosa_M18	7.235789895144548e-09	0.00020592748122425907	51.0	0.00020592748122425907	0.0	2.9734812319050402e-08	0.006265848815992676	1551.8001177687463	0.004566744730679157	0.003613825405798272
ti|287|org|Pseudomonas_aeruginosa	3.6933392142950542e-09	6.864249374141968e-05	17.0	6.864249374141968e-05	0.0	5.012190134792164e-08	0.0004948987246503149	122.56661814689699	0.00039570378745053703	0.0005451021561818623
ti|95301|org|Pseudomonas_multiresinivorans	1.5888742176019994e-09	1.6151174997981104e-05	4.0	1.6151174997981104e-05	0.0	2.643669424437033e-09	7.39306065203065e-05	18.30965401081911	6.864249374141968e-05	2.826455624646693e-05
