Total Number of Aligned Reads:	261710	Total Number of Mapped Genomes:	17688
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1037911|org|Pseudomonas_fluorescens_A506	0.9996402942502604	0.9011615910740897	235843.0	0.9011463069810095	1.528409308012686e-05	0.99819950254674	0.8681936627020725	227214.9634657594	0.8642008329830728	0.0071491345382293375
ti|294|org|Pseudomonas_fluorescens	0.00018726405585875946	0.0021894463337281725	573.0	0.0021894463337281725	0.0	0.0011737276072809615	0.0022348570930213847	584.8844498146266	0.001952542890986206	0.0014290627029918612
ti|216595|org|Pseudomonas_fluorescens_SBW25	0.00010359674008855767	0.07698597684459899	20148.0	0.07698597684459899	0.0	9.939989021378138e-05	0.07180925220622847	18793.199394892054	0.07027243895915326	0.004027358526613427
ti|1038924|org|Pseudomonas_fluorescens_SS101	5.415664204663797e-05	0.0004470597225937106	117.0	0.0004470597225937106	0.0	0.00010148765478892866	0.0004604333040388215	120.49999999999999	0.00043177562951358375	6.113637232050744e-05
ti|254014|org|Pseudomonas_sp._CFBP_11402	5.912133457314136e-06	1.528409308012686e-05	4.0	1.528409308012686e-05	0.0	5.912133457440614e-06	2.101562798517443e-05	5.5	1.528409308012686e-05	1.1463069810095144e-05
ti|9913|org|Bos_taurus	4.177292216326262e-06	3.821023270031715e-06	1.0	3.821023270031715e-06	0.0	5.023382844712536e-05	4.0120744335333e-05	10.5	7.64204654006343e-05	0.0
ti|1207075|org|Pseudomonas_sp._UW4	2.4135117957756755e-06	0.014592487868251118	3819.0	0.01457338275190096	1.9105116350158574e-05	3.2002213820572625e-06	0.01643777644497951	4301.930473415588	0.01568530052348019	0.002166520194107982
ti|9606|org|Homo_sapiens	8.162010233050108e-07	0.0007030682816858355	184.0	0.0007030682816858355	0.0	7.280326756889693e-05	0.001099817864557462	287.83333333333337	0.0008253410263268504	0.000989645026938214
ti|1282356|org|Pseudomonas_poae_RE*1-1-14	5.978116174381746e-07	0.003641435176340224	953.0	0.0036376141530701923	3.821023270031715e-06	6.274696958716418e-06	0.011640360200221935	3046.3986680000826	0.010293836689465439	0.003771349967521302
ti|1238173|org|Pseudomonas_sp._3-37	5.107980672056634e-07	3.821023270031715e-06	1.0	3.821023270031715e-06	0.0	0.00014157901710444885	7.323627934227455e-05	19.16666666666667	6.113637232050744e-05	0.00011845172137098315
ti|1245|org|Leuconostoc_mesenteroides	2.444628682505918e-07	5.3494325780444e-05	14.0	5.3494325780444e-05	0.0	4.0060297428361333e-07	5.3494325780444e-05	14.0	5.3494325780444e-05	0.0
ti|1114970|org|Pseudomonas_fluorescens_F113	8.418885446057966e-09	0.0001299147911810783	34.0	0.00012609376791104657	3.821023270031715e-06	2.6222773728616424e-07	0.009353046676894437	2447.785845810043	0.008547629055060945	0.0022849719154789654
ti|131426|org|chlamydia-associated_clinical_sample_641-G	4.049184475072374e-09	4.5852279240380575e-05	12.0	4.5852279240380575e-05	0.0	3.7713207728843164e-09	6.113637232050744e-05	16.0	6.113637232050744e-05	0.0
ti|205918|org|Pseudomonas_syringae_pv._syringae_B728a	3.220642483380829e-09	1.1463069810095144e-05	3.0	1.1463069810095144e-05	0.0	2.8079779489083977e-08	0.0009379126443654846	245.461118156891	0.0006763211187956134	0.0010125711665584043
