Total Number of Aligned Reads:	272159	Total Number of Mapped Genomes:	10238
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1196325|org|Pseudomonas_putida_DOT-T1E	0.8368064681309382	0.6511046851289136	177204.0	0.6511046851289136	0.0	0.6907718679073737	0.613316700838517	166919.65998350995	0.565544406027359	0.07920002645512365
ti|351746|org|Pseudomonas_putida_F1	0.1497688734293133	0.31054273421051665	84517.0	0.31052436259686433	1.8371613652313538e-05	0.14486834087653055	0.17538639083895702	47732.9847443397	0.1207161989866218	0.11858141748022295
ti|231023|org|Pseudomonas_putida_ND6	0.01151877787723071	0.025643098335899235	6979.0	0.02563574969043831	7.348645460925415e-06	0.12838812567629554	0.15051534405221267	40964.10552190615	0.09730708887084388	0.11566767955496603
ti|160488|org|Pseudomonas_putida_KT2440	0.0016846701678431305	0.010174199640651237	2769.0	0.010170525317920774	3.6743227304627076e-06	0.030229163240393916	0.04788198210514473	13031.512367754085	0.03544619138077374	0.021042846277359927
ti|303|org|Pseudomonas_putida	0.000183205831480279	0.0003490606593939572	95.0	0.0003490606593939572	0.0	0.001855005112674776	0.0020771004374050698	565.3015779437263	0.0008744888098501243	0.003126848643623764
ti|931281|org|Pseudomonas_putida_BIRD-1	1.4841859589809025e-05	0.0005511484095694062	150.0	0.0005511484095694062	0.0	0.0035341154126036405	0.0023991329064345043	652.9456126823083	0.0015652614831771134	0.0038653875124467683
ti|361300|org|Pseudomonas_sp._J2	1.3847766762259381e-05	2.2045936382776246e-05	6.0	2.2045936382776246e-05	0.0	1.3847626682281792e-05	2.7250867853118957e-05	7.416568944037002	2.2045936382776246e-05	3.306890457416437e-05
ti|43263|org|Pseudomonas_alcaligenes	3.5911194989767594e-06	2.939458184370166e-05	8.0	2.939458184370166e-05	0.0	4.060668041775071e-06	2.943358836161323e-05	8.010615974908296	2.939458184370166e-05	0.0
ti|530576|org|Pseudomonas_sp._gl01	3.036631776422622e-06	1.8371613652313538e-05	5.0	1.8371613652313538e-05	0.0	4.339670691066329e-05	9.58385845529023e-05	26.083333333333336	8.450942280064228e-05	4.0417550035089784e-05
ti|1331671|org|Pseudomonas_putida_H8234	2.5650270224175157e-06	0.0013852196693844407	377.0	0.0013852196693844407	0.0	8.141343839137896e-05	0.001910910511176227	520.0714938112108	0.0017746978788134877	0.0005878916368740332
ti|76869|org|Pseudomonas_putida_GB-1	9.2055851726166e-08	7.716077733971686e-05	21.0	7.716077733971686e-05	0.0	0.00013465006914641968	0.00033104316184252077	90.09637588389862	0.00018371613652313538	0.0007017956415183771
ti|390235|org|Pseudomonas_putida_W619	1.864613647258365e-08	7.716077733971686e-05	21.0	7.716077733971686e-05	0.0	1.2350904980311686e-05	0.0007048543571289947	191.83245698187005	0.0006209605414481975	0.00037478091850719615
ti|339670|org|Burkholderia_ambifaria_AMMD	1.1457258931573753e-08	2.5720259113238953e-05	7.0	2.5720259113238953e-05	0.0	1.1534350851146295e-08	3.6743227304627076e-05	10.0	2.5720259113238953e-05	2.2045936382776246e-05
