Total Number of Aligned Reads:	268840	Total Number of Mapped Genomes:	18128
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1207075|org|Pseudomonas_sp._UW4	0.9999862384153645	0.999025442642464	268578.0	0.9990180032733225	7.439369141496801e-06	0.9999600548975719	0.9717842765500361	261254.4849077117	0.9677131379259039	0.006353221246838268
ti|550|org|Enterobacter_cloacae	1.283843389626616e-05	6.32346377027228e-05	17.0	6.32346377027228e-05	0.0	3.552605739278619e-05	8.861262850624553e-05	23.822619047619046	7.067400684421962e-05	8.927242969796162e-05
ti|61652|org|Serratia_rubidaea	7.265899264207744e-07	3.7196845707484005e-06	1.0	3.7196845707484005e-06	0.0	7.265899270442907e-07	2.1144635506337644e-05	5.684523809523812	3.7196845707484005e-06	0.00010787085255170361
ti|216595|org|Pseudomonas_fluorescens_SBW25	1.1469224453839392e-07	0.0004575212022020533	123.0	0.0004575212022020533	0.0	1.5472382637963049e-07	0.002319216065465526	623.498047039752	0.0018449635470912066	0.0015734265734265735
ti|160488|org|Pseudomonas_putida_KT2440	2.8823746440521933e-08	7.439369141496801e-05	20.0	7.439369141496801e-05	0.0	2.8881061743070352e-08	0.0016794968880948437	451.51594339541776	0.0012646927540544562	0.001104746317512275
ti|205922|org|Pseudomonas_fluorescens_Pf0-1	2.1386714663078034e-08	6.32346377027228e-05	17.0	6.32346377027228e-05	0.0	7.97527232500727e-08	0.002331625483363698	626.8341949474966	0.001811486385954471	0.001893319446510936
ti|492160|org|Pseudomonas_sp._GmFRB002	1.204370621944352e-08	5.2075583990477604e-05	14.0	5.2075583990477604e-05	0.0	1.2091186810021623e-08	5.5819801283147786e-05	15.006595376961451	5.579526856122601e-05	0.0
ti|131426|org|chlamydia-associated_clinical_sample_641-G	6.302287970591043e-09	3.7196845707484004e-05	10.0	3.7196845707484004e-05	0.0	6.135354911044346e-09	5.579526856122601e-05	15.0	5.579526856122601e-05	0.0
ti|1396|org|Bacillus_cereus	5.642608401812379e-09	3.7196845707484005e-06	1.0	3.7196845707484005e-06	0.0	5.659241048333326e-09	1.3696409973005716e-05	3.682142857142857	3.7196845707484005e-06	6.695432227347121e-05
ti|1114970|org|Pseudomonas_fluorescens_F113	4.4934989577683885e-09	0.00013390864454694242	36.0	0.00013390864454694242	0.0	2.33130402891158e-08	0.007396440769826519	1988.4591365601614	0.0068665377176015474	0.0018449635470912066
ti|114707|org|uncultured_Pseudomonas_sp.	2.84734370901873e-09	8.555274512721321e-05	23.0	8.555274512721321e-05	0.0	3.0606549098488827e-09	0.00013458887672815288	36.18287361959662	0.00011159053712245202	5.951495313197441e-05
