Total Number of Aligned Reads:	193910	Total Number of Mapped Genomes:	10535
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|218493|org|Salmonella_bongori_NCTC_12419	0.9964675926657028	0.6466917642205147	125400.0	0.646686607188902	5.157031612603785e-06	0.9869677494061762	0.629998827748699	122163.07268875021	0.5838223918312619	0.05308648342014337
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.0013227339379886214	0.2593058635449435	50282.0	0.25928523541849313	2.062812645041514e-05	0.0007596113197626291	0.12892208371501254	24999.28125317808	0.08268784487648909	0.07693259759682326
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.00100123347206111	0.0023155071940590996	449.0	0.0023155071940590996	0.0	0.002075091702648408	0.0015880156498094113	307.93211465454294	0.0010520344489711722	0.0028002681656438553
ti|909946|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._ST4/74	0.0005596745296659193	0.000407405497395699	79.0	0.000407405497395699	0.0	0.0007675885709130705	0.000682726083472091	132.38741484607317	0.0004486617502965293	0.00273838378629261
ti|54736|org|Salmonella_bongori	0.00030654739198010143	0.0004692898767469445	91.0	0.0004692898767469445	0.0	0.0030869886707805046	0.003261903995768277	632.5158038194265	0.0013305141560517766	0.004656799546181218
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.00021002989050535132	0.05906348305915115	11453.0	0.05905832602753855	5.157031612603785e-06	0.0006584356330993277	0.09909335770184287	19215.19299196435	0.05143107627249755	0.09270795729977825
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	9.503190748208055e-05	0.0019957712340776647	387.0	0.001990614202465061	5.157031612603785e-06	0.00010821752602089006	0.002213961389608959	429.3092530590733	0.0004486617502965293	0.0056933629003145785
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	1.6500532010673174e-05	0.026187406528802023	5078.0	0.02617193543396421	1.5471094837811356e-05	0.0005334529546122816	0.10908461072246435	21152.596865193063	0.06681965860450724	0.0872002475375174
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	8.474631955163791e-06	0.0019184157598886081	372.0	0.0019184157598886081	0.0	3.5249643081820793e-06	0.0020428763824884883	396.1341593283427	0.0013614563457273992	0.0029034087978959313
ti|54388|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A	7.073993584534647e-06	1.031406322520757e-05	2.0	1.031406322520757e-05	0.0	4.946206504439628e-05	0.00020976926279474422	40.67635774852885	0.00014955391676550978	0.00033520705481924606
ti|28901|org|Salmonella_enterica	2.3184259363844875e-06	5.157031612603785e-05	10.0	5.157031612603785e-05	0.0	0.0038434362435455487	0.0009232239977977507	179.02236541296185	0.0014542829147542674	0.0007374555206023413
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	1.1141921611889295e-06	0.0004383476870713217	85.0	0.0004383476870713217	0.0	0.00015742352699808448	0.0008272170479899082	160.40565777572309	0.00039709143417049147	0.002717755659842195
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	8.153275060312633e-07	0.00013408282192769842	26.0	0.00012892579031509462	5.157031612603785e-06	2.4584678127239597e-05	0.0014133095307718	274.05485111195975	0.0003867773709452839	0.0039915424681553294
ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580	6.482032232856347e-07	0.0006910422360889072	134.0	0.0006910422360889072	0.0	5.472025538419201e-05	0.0008928526645586235	173.13306018456268	0.0006652570780258883	0.0025166314269506472
ti|1267753|org|Salmonella_enterica_subsp._enterica_serovar_Javiana_str.	1.7932093480093254e-07	0.00015471094837811355	30.0	0.00015471094837811355	0.0	4.514671662720521e-05	0.0011855693048749042	229.8937439082927	0.000768397710277964	0.002619772059202723
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	1.973104358626677e-08	5.157031612603785e-05	10.0	5.157031612603785e-05	0.0	1.9032034591923662e-05	0.0009567245753343707	185.51846240308782	0.0004435047186839255	0.0023155071940590996
ti|41514|org|Salmonella_enterica_subsp._arizonae_serovar_62:z4,z23:-	1.116727609906966e-08	6.188437935124542e-05	12.0	6.188437935124542e-05	0.0	1.0932942763337824e-06	0.0020743275137499197	402.23284819124694	0.001418183693466041	0.0019442009179516271
ti|866768|org|Escherichia_coli_BL21-Gold(DE3)pLysS_AG	5.882976697539898e-10	4.641328451343407e-05	9.0	4.641328451343407e-05	0.0	1.6653440323580863e-07	9.059649826489368e-05	17.567566978545536	4.641328451343407e-05	0.00018565313805373628
