Total Number of Aligned Reads:	214940	Total Number of Mapped Genomes:	15552
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.7125453608389065	0.7979156974039266	171504.0	0.7966967525821159	0.001218944821810738	0.26783899027577235	0.214891975563899	46188.88122770445	0.1673350702521634	0.16144970689494742
ti|321314|org|Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str.	0.11179182342502553	0.0748348376291058	16085.0	0.07359728296268726	0.0012375546664185355	0.06706796003880691	0.10399258661053996	22352.16656606946	0.023471666511584627	0.19759467758444216
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.09567213978572077	0.0718107378803387	15435.0	0.07137340653205546	0.0004373313482832418	0.2669673383267527	0.2506208474836794	53868.44495814205	0.1875639713408393	0.1650274495207965
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.033466034120709864	0.024271889829719923	5217.0	0.02421140783474458	6.048199497534196e-05	0.2369225888420542	0.2022201437225447	43465.19769172376	0.13957848701963338	0.18366986135665767
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	0.010051394821633981	0.003935982134549177	846.0	0.003935982134549177	0.0	0.045746235264616124	0.05278220451683522	11345.007038848562	0.011398529822275984	0.14550107006606494
ti|605|org|Salmonella_enterica_subsp._enterica_serovar_Pullorum	0.010045965740339483	0.005127012189448218	1102.0	0.005127012189448218	0.0	0.007142765593456628	0.003968869649679672	853.0688425021486	0.004019726435284266	0.0011445054433795478
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.009146358266093713	0.007564901833069694	1626.0	0.007560249371917745	4.652461151949381e-06	0.009720301062715472	0.010930141900228025	2349.3247000350116	0.00519214664557551	0.062059179305852794
ti|119912|org|Salmonella_enterica_subsp._enterica_serovar_Choleraesuis	0.0042443075637648865	0.0012701218944821812	273.0	0.0012654694333302317	4.652461151949381e-06	0.00664824266870502	0.003408831427198314	732.6942269620056	0.0012003349772029403	0.010337768679631525
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.004125861773379754	0.004550107006606495	978.0	0.004526844700846748	2.3262305759746906e-05	0.014659835925046405	0.015872003237374956	3411.528375841373	0.005080487577928725	0.0620126546943333
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.0037457876839216537	0.0013445612729133711	289.0	0.0013445612729133711	0.0	0.004505462473966096	0.002880087332851828	619.0459713231719	0.001316646506001675	0.016199869731087745
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	0.001280520193910613	0.0009491020749976738	204.0	0.0009491020749976738	0.0	0.004032710953892241	0.005400601251719257	1160.805233044537	0.0016516237089420304	0.03519121615334512
ti|287|org|Pseudomonas_aeruginosa	0.0007461373914822514	0.00021401321298967154	46.0	0.00020936075183772217	4.652461151949381e-06	0.0007461373914822171	0.0003109694068067093	66.83976429903409	0.00020936075183772217	0.001609751558574486
ti|149539|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis	0.0006878754771945289	0.0007769610123755467	167.0	0.0007769610123755467	0.0	0.0037803546108003726	0.002674879806603364	574.9386656313271	0.0024099748767097795	0.003791755838838746
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.0003500612895997116	0.0004978133432585838	107.0	0.0004978133432585838	0.0	0.004987212231905019	0.0076473136967818685	1643.7136059862949	0.00097701684190937	0.06115194938122267
ti|585054|org|Escherichia_fergusonii_ATCC_35469	0.00033984008123353905	0.0010654136037964084	229.0	0.0010654136037964084	0.0	8.469839830220104e-05	0.0002496144912019179	53.65213873894023	0.00015818367916627896	0.0002977575137247604
ti|990925|org|Klebsiella_pneumoniae_subsp._pneumoniae_KPX	0.0003208111808490566	0.00011165906764678516	24.0	0.00011165906764678516	0.0	0.00028849576808863913	0.00015962463436353856	34.30971891009898	6.048199497534196e-05	0.001572531869358891
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.00026466704794853523	0.0006187773332092677	133.0	0.0006187773332092677	0.0	0.01284300722252863	0.013743152624188513	2953.953225043079	0.0024611519493812225	0.06105424769703173
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	0.00022008953368469661	0.000609472410905369	131.0	0.0006048199497534196	4.652461151949381e-06	0.006223382113537171	0.007058833595497053	1517.2256930161366	0.0013259514283055736	0.04164883223225086
ti|562|org|Escherichia_coli	0.00018511029549583916	0.00011165906764678516	24.0	0.00011165906764678516	0.0	0.00047778994014623625	0.0009818546439074826	211.03983716147428	0.00012096398995068391	0.005806271517632828
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.000168616804629242	0.0003442821252442542	74.0	0.0003442821252442542	0.0	0.0039084734351601085	0.006673697582937539	1434.4445584765945	0.0005350330324741788	0.04580348004094166
ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1	0.0001470034761389764	0.00038150181445984925	82.0	0.00038150181445984925	0.0	0.014134469724150351	0.012030503014881238	2585.8363180185734	0.0006932167116404578	0.07244347259700382
ti|636|org|Edwardsiella_tarda	0.00011408335104453392	2.3262305759746906e-05	5.0	2.3262305759746906e-05	0.0	0.003921068518441531	0.0014597058343415183	313.74917203336594	0.00018609844607797525	0.005773704289569182
ti|218493|org|Salmonella_bongori_NCTC_12419	6.102488979795489e-05	0.00013026891225458267	28.0	0.00013026891225458267	0.0	0.00022427833305806646	0.0004238886615062177	91.11062890414642	0.0002744952079650135	0.001963338606122639
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	4.3596337650339675e-05	3.721968921559505e-05	8.0	3.721968921559505e-05	0.0	0.004021813686573832	0.006065058202673078	1303.6236100825513	0.0003024099748767098	0.05145156787940821
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	4.32568723757191e-05	0.00013026891225458267	28.0	0.0001256164511026333	4.652461151949381e-06	0.0020450143019899577	0.0034431318992792894	740.0667704310905	0.000586210105145622	0.032353214850655995
ti|1132507|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._P-stx-12	3.812545300237548e-05	4.187215036754443e-05	9.0	4.187215036754443e-05	0.0	0.002007555508126896	0.0033249021183719887	714.6544613228752	0.00033497720294035547	0.031552991532520704
ti|909946|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._ST4/74	3.7608260644090915e-05	0.00010700660649483577	23.0	0.00010700660649483577	0.0	0.00032080493300527054	0.003944215616874145	847.7697046909286	0.0003721968921559505	0.05078626593467944
ti|611|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg	3.7249220179934617e-05	8.374430073508887e-05	18.0	8.374430073508887e-05	0.0	7.517715023226885e-05	0.0003105261607514037	66.74449299190671	8.839676188703824e-05	0.002796129152321578
ti|1168549|org|Salmonella_phage_vB_SosS_Oslo	3.225088749996062e-05	5.117707267144319e-05	11.0	5.117707267144319e-05	0.0	4.152587587770782e-05	4.187215036754443e-05	9.0	3.256722806364567e-05	4.187215036754443e-05
ti|316407|org|Escherichia_coli_str._K-12_substr._W3110	1.6496867863170498e-05	4.652461151949381e-05	10.0	4.652461151949381e-05	0.0	1.2445243854322692e-05	5.0110200042801835e-05	10.770686397199826	3.721968921559505e-05	0.00018144598492602588
ti|364106|org|Escherichia_coli_UTI89	9.709704114814929e-06	0.00010235414534288638	22.0	0.00010235414534288638	0.0	9.709826919026973e-06	0.00016057427820386904	34.51383535713961	0.00010700660649483577	0.0004792034986507863
ti|714583|org|Salmonella_phage_ST160	8.410228860631558e-06	3.721968921559505e-05	8.0	3.721968921559505e-05	0.0	0.00014894282921014475	0.00010905791891183163	23.44090909090909	0.00014422629571043082	1.8609844607797524e-05
ti|470|org|Acinetobacter_baumannii	6.854211612211152e-06	7.909183958313948e-05	17.0	7.909183958313948e-05	0.0	6.854001742581915e-06	0.0001341723079390521	28.838995868419858	5.582953382339258e-05	0.001451567879408207
ti|573|org|Klebsiella_pneumoniae	3.6808336410025012e-06	9.304922303898763e-05	20.0	9.304922303898763e-05	0.0	7.315365990193385e-05	0.0003664550816397322	78.76585524764404	8.839676188703824e-05	0.003633572159672467
ti|1049565|org|Klebsiella_pneumoniae_KCTC_2242	9.858875508100978e-07	1.3957383455848144e-05	3.0	1.3957383455848144e-05	0.0	9.858875509767297e-07	2.2421066612162513e-05	4.819184057618211	1.3957383455848144e-05	0.00011165906764678516
ti|0|org|Unknown.	2.5905362570013213e-07	3.721968921559505e-05	8.0	3.721968921559505e-05	0.0	8.36528284887407e-06	7.834506404797304e-05	16.839488066471326	6.513445612729134e-05	8.374430073508887e-05
ti|1147140|org|Salmonella_phage_SPN3UB	2.2575437035474229e-07	4.652461151949381e-06	1.0	4.652461151949381e-06	0.0	6.870094480360607e-05	2.4813126143730035e-05	5.333333333333334	2.3262305759746906e-05	4.652461151949381e-06
ti|566546|org|Escherichia_coli_W	2.205749562047676e-07	0.00031171489718060855	67.0	0.00031171489718060855	0.0	6.488239858246297e-05	0.000714358151245477	153.54414102870282	0.0005117707267144319	0.0008281380850469898
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	8.680202014799252e-08	0.00012096398995068391	26.0	0.00012096398995068391	0.0	8.839308655103965e-08	0.00010594627852741544	22.772093106682675	7.44393784311901e-05	0.00016748860147017773
ti|10754|org|Enterobacteria_phage_P22	4.403000837075108e-08	2.3262305759746906e-05	5.0	2.3262305759746906e-05	0.0	4.52718022085066e-08	3.7684935330789986e-05	8.1	3.256722806364567e-05	1.3957383455848144e-05
ti|409438|org|Escherichia_coli_SE11	2.0055836075046724e-08	3.721968921559505e-05	8.0	3.721968921559505e-05	0.0	3.6043831597365356e-06	9.125672310071666e-05	19.614720063268038	3.721968921559505e-05	0.00033497720294035547
ti|554290|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str.	1.847216035067064e-08	2.3262305759746906e-05	5.0	2.3262305759746906e-05	0.0	0.0005978373432655215	0.0035198034882274317	756.5465617596042	0.00019075090722992462	0.03545640643900624
ti|108619|org|Salmonella_enterica_subsp._enterica_serovar_Newport	1.4665303551904123e-08	7.44393784311901e-05	16.0	7.44393784311901e-05	0.0	6.674887098218849e-08	0.00017986682411533713	38.660575175350566	6.513445612729134e-05	0.0011026332930120033
ti|1160717|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._B182	4.0879034522092205e-09	4.187215036754443e-05	9.0	4.187215036754443e-05	0.0	0.0020929538334535174	0.004466748709838456	960.0829676926777	0.00013957383455848144	0.0462035917000093
ti|1267753|org|Salmonella_enterica_subsp._enterica_serovar_Javiana_str.	2.6024647617171552e-09	9.304922303898762e-06	2.0	9.304922303898762e-06	0.0	0.00019760115751753736	0.0031632258847285773	679.9037716635604	5.117707267144319e-05	0.03286963803852238
ti|173443|org|Salmonella_phage_ST64T	2.395670559382578e-09	1.8609844607797524e-05	4.0	1.8609844607797524e-05	0.0	2.4814054699045092e-08	1.949804173680604e-05	4.1909090909090905	1.8609844607797524e-05	9.304922303898762e-06
ti|101570|org|Enterobacteria_phage_ES18	1.7080683518620402e-09	1.3957383455848144e-05	3.0	1.3957383455848144e-05	0.0	1.9196676518713645e-07	2.5588536335721596e-05	5.5	2.3262305759746906e-05	4.652461151949381e-06
