Total Number of Aligned Reads:	199350	Total Number of Mapped Genomes:	10389
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.6513710475467668	0.7930674692751443	158098.0	0.7919237521946325	0.001143717080511663	0.25077664468561117	0.22311528859831756	44478.0327820746	0.17747178329571106	0.15572610985703536
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	0.23108543372985044	0.10698771005768748	21328.0	0.10566340606972661	0.0013243039879608728	0.17127891146838362	0.10422521860462464	20777.297328831923	0.03377978429897166	0.21206420867820416
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.07346684586724896	0.06826185101580136	13608.0	0.06820165537998495	6.0195635816403313e-05	0.2444520317836541	0.2658720119255132	53001.58557735105	0.19898169049410586	0.15382493102583397
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.022146245442743868	0.020100326059694005	4007.0	0.020085277150739905	1.5048908954100828e-05	0.21328320411721957	0.20647800665359078	41161.390626393324	0.14485578128918986	0.17547529470780035
ti|554290|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str.	0.012484513741560845	0.002618510158013544	522.0	0.002613493855028844	5.0163029847002756e-06	0.03967997023630473	0.07089891240561873	14133.698188060094	0.005252069224981189	0.19704038123902684
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.0029634014209985863	0.002327564584900928	464.0	0.0023225482819162276	5.0163029847002756e-06	0.00640121225395411	0.006604160602675841	1316.539416143429	0.003330825181840983	0.04509154752947078
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.0020284433765186175	0.0012089290193127665	241.0	0.0012089290193127665	0.0	0.0319389932174022	0.016661154259601324	3321.4011016515237	0.005668422372711312	0.06755455229495862
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	0.0016317550576592124	0.0008126410835214447	162.0	0.0008126410835214447	0.0	0.004796069388318722	0.004737058233024661	944.3325587534662	0.0007524454477050414	0.03764735390017557
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.0012427022016161997	0.0007574617506897417	151.0	0.0007574617506897417	0.0	0.004147972454787391	0.004813186139626565	959.5086569345557	0.0005166792074241285	0.04524705292199649
ti|714583|org|Salmonella_phage_ST160	0.0011563559291417585	0.0013594181088537748	271.0	0.0013594181088537748	0.0	0.0014262245341534255	0.0015473822223257892	308.4706460206461	0.0014296463506395787	0.00042638575369952346
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.00013090665041631808	0.000145472786556308	29.0	0.000145472786556308	0.0	0.0014662056117236235	0.004730450304799956	943.0152682618711	0.00021570102834211186	0.04132430398796087
ti|1127357|org|Salmonella_phage_SPN9CC	7.789336717051084e-05	9.029345372460496e-05	18.0	9.029345372460496e-05	0.0	0.0014319572769736042	0.0005358763940404267	106.82695915195906	0.00026586405818911465	0.0006972661148733384
ti|83128|org|Phage_PS119	5.339604850375191e-05	3.0097817908201657e-05	6.0	3.0097817908201657e-05	0.0	2.669812883282626e-05	1.5048908954100828e-05	3.0	3.0097817908201657e-05	0.0
ti|909946|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._ST4/74	3.9553119618651734e-05	0.00034612490594431903	69.0	0.00034612490594431903	0.0	0.0003446262532002858	0.0029320171466565913	584.4976181859914	0.00040130423877602207	0.04127915726109857
ti|1267753|org|Salmonella_enterica_subsp._enterica_serovar_Javiana_str.	2.8849674466261054e-05	0.00034110860295961877	68.0	0.00034110860295961877	0.0	0.001099983155495618	0.0037624430290689494	750.0430178448951	0.0003912716328066215	0.03326310509154753
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	2.4530760254231392e-05	0.0002457988462503135	49.0	0.0002457988462503135	0.0	0.003986035818385067	0.005172893723034368	1031.2163636869013	0.00047153248056182594	0.04409831953850012
ti|90370|org|Salmonella_enterica_subsp._enterica_serovar_Typhi	2.4157863837635764e-05	6.521193880110358e-05	13.0	6.521193880110358e-05	0.0	0.001678687990797299	0.0005597937678957088	111.59488763000955	0.00010534236267870579	0.0035164283922748934
ti|1008297|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._798	1.7455006110278063e-05	0.00023576624028091297	47.0	0.00023576624028091297	0.0	9.698832087604607e-05	0.002665516544219831	531.3707230902232	0.0002457988462503135	0.03934788061198896
ti|373384|org|Shigella_flexneri_5_str._8401	9.431983693193623e-06	0.00030097817908201655	60.0	0.00030097817908201655	0.0	9.431978227732108e-06	0.000300074924829101	59.81993626468129	0.00028091296714321547	0.00017557060446450964
ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580	8.435182723977355e-06	4.514672686230248e-05	9.0	4.514672686230248e-05	0.0	0.0032072185472599027	0.004256819928205142	848.597052687695	0.00022071733132681214	0.04512164534737898
ti|0|org|Unknown.	2.960145561684817e-06	7.022824178580387e-05	14.0	7.022824178580387e-05	0.0	5.047428506043888e-06	0.00010722347629796842	21.375000000000004	0.00010032605969400552	5.5179332831703036e-05
ti|321314|org|Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str.	1.1544455090860674e-06	0.00010032605969400552	20.0	0.00010032605969400552	0.0	0.0012731424628554407	0.003647095169088211	727.0484219577348	0.00013544018058690745	0.03666917481815902
ti|718251|org|Edwardsiella_tarda_FL6-60	1.0566015101568308e-06	7.524454477050414e-05	15.0	7.524454477050414e-05	0.0	1.1896405934618688e-06	0.00011089334435793763	22.106588197754867	0.00011035866566340607	0.0
ti|424926|org|Salmonella_phage_SETP16	1.0352448584903196e-06	3.0097817908201657e-05	6.0	3.0097817908201657e-05	0.0	2.649375142611445e-06	9.773430315191036e-05	19.48333333333333	9.029345372460496e-05	0.00020566842237271132
ti|454166|org|Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483	6.9177597007834e-07	4.514672686230248e-05	9.0	4.514672686230248e-05	0.0	0.0012795688296590095	0.004638565422961943	924.6980170674634	0.00015550539252570856	0.04249310258339604
