Total Number of Aligned Reads:	220680	Total Number of Mapped Genomes:	11519
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.7267324737700858	0.7783396773608845	171764.0	0.7778729381910459	0.0004667391698386804	0.28602163483652093	0.2094911193873443	46230.50022639914	0.16243429400036252	0.1662769621170926
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.11226681142295959	0.08075040783034258	17820.0	0.0804332064527823	0.0003172013775602683	0.2816763035819187	0.2406507346260759	53106.80411728243	0.1748142106217147	0.1744199746238898
ti|573|org|Klebsiella_pneumoniae	0.061362725663275976	0.04161228928765633	9183.0	0.04157603770164945	3.62515860068878e-05	0.052071460516630606	0.02916508201489603	6436.150299047256	0.02973989487040058	0.005986043139387348
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.029408546522242927	0.023626971179989124	5214.0	0.023500090628965017	0.00012688055102410732	0.2465777019730171	0.197550454207713	43595.4342345581	0.13304332064527824	0.19025285481239804
ti|454166|org|Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483	0.011522690785510182	0.009361972086278775	2066.0	0.00924868588000725	0.00011328620627152438	0.012840253813370039	0.03294016083304618	7269.234692636631	0.010331702011963024	0.07775965198477433
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.010515692048488335	0.006661228928765634	1470.0	0.00655247417074497	0.0001087547580206634	0.016206575750770075	0.02216421455140173	4891.198867203334	0.005406017763277144	0.0734547761464564
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	0.008610616294171083	0.008754758020663405	1932.0	0.008713974986405654	4.078303425774878e-05	0.007620051960753568	0.016447490618966682	3629.6322297935676	0.005804785209352909	0.05447253942359978
ti|1163748|org|Marinobacter_hydrocarbonoclasticus_ATCC_49840	0.006652664425583987	0.0030134130868225487	665.0	0.0030134130868225487	0.0	0.0066526643920176666	0.002830342577487765	624.6	0.002895595432300163	8.609751676635853e-05
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	0.006473900991954634	0.008288018850824724	1829.0	0.008238172920065253	4.9845930759470725e-05	0.0029935298105784485	0.010134920785293884	2236.5743188986544	0.001957585644371941	0.053783759289468915
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	0.003914309938537708	0.004522385354359253	998.0	0.0044951966648540875	2.718868950516585e-05	0.003661134448293793	0.011217268761211216	2475.426870224091	0.0025194852274787022	0.057703462026463655
ti|585055|org|Escherichia_coli_55989	0.0037785811138126768	0.005478520935290919	1209.0	0.0053199202465107846	0.00015860068878013414	0.002823071422688984	0.002622852372802255	578.8110616300016	0.0024469820554649264	0.0028366866050389705
ti|290339|org|Cronobacter_sakazakii_ATCC_BAA-894	0.0032495935939574052	0.0013911546130143193	307.0	0.0013911546130143193	0.0	0.0024236021593516586	0.000991364898214724	218.77440573802528	0.0005256479970998731	0.0026780859162588364
ti|436295|org|Salmonella_enterica_subsp._enterica_serovar_Poona	0.0032164871803615587	0.001468189233278956	324.0	0.001468189233278956	0.0	0.0030464248123729535	0.0016513337526774874	364.4163325408679	0.0013820917165125975	0.00037611020482146093
ti|615|org|Serratia_marcescens	0.002049440617515171	0.002202283849918434	486.0	0.002202283849918434	0.0	0.006041538315428195	0.004268825055407426	942.0443132273107	0.0041326808047852095	0.004839586731919521
ti|741093|org|Escherichia_coli_Xuzhou21	0.0015694910495426954	0.0024333877107123435	537.0	0.0024288562624614827	4.531448250860975e-06	0.000749894123137056	0.0011141188549146067	245.86374890255541	0.001273336958491934	0.0011192677179626609
ti|423368|org|Salmonella_enterica_subsp._enterica_serovar_Newport_str._SL254	0.0013233559802401263	0.0022657241254304874	500.0	0.0022611926771796266	4.531448250860975e-06	0.0016993434795419637	0.012668574364587995	2795.700990777279	0.0022657241254304874	0.06245241979336596
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.0011496614112281812	0.0013911546130143193	307.0	0.0013820917165125975	9.06289650172195e-06	0.006413862618498314	0.009271345870380036	2046.000606675466	0.0017400761283306145	0.07062715243791916
ti|1191061|org|Klebsiella_oxytoca_E718	0.0008861470398990048	0.0009062896501721951	200.0	0.0009062896501721951	0.0	0.0008881098525683827	0.000945060377016955	208.55592400010164	0.000729563168388617	0.0013095885444988219
ti|405955|org|Escherichia_coli_APEC_O1	0.0007175636046397746	0.0008564437194127243	189.0	0.0008247235816566975	3.172013775602683e-05	0.001972267930204918	0.002282418092098745	503.68402456435103	0.0017264817835780314	0.0042640928040601775
ti|287|org|Pseudomonas_aeruginosa	0.0006422098335331351	0.00013141199927496828	29.0	0.00013141199927496828	0.0	0.0007890900932510909	0.0002531787707798367	55.87149113569436	0.00013141199927496828	0.0013820917165125975
ti|1147140|org|Salmonella_phage_SPN3UB	0.0006167127131076009	0.0003851731013231829	85.0	0.0003851731013231829	0.0	0.0018689620821135638	0.0014144560307356594	312.1421568627453	0.0013095885444988219	0.0008111292369041145
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.0005754039458069471	0.001468189233278956	324.0	0.001468189233278956	0.0	0.0005162840332001739	0.0009460765498521429	208.7801730213709	0.001246148268986768	0.0008700380641653072
ti|28901|org|Salmonella_enterica	0.0005702200354085513	0.00017219503353271706	38.0	0.00017219503353271706	0.0	0.000604847123012499	0.0005994647578845706	132.28988276996705	0.00019485227478702194	0.0030179445350734095
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.00031234547759904875	0.00041236179082834875	91.0	0.00041236179082834875	0.0	0.0013138139742169463	0.0019451566520781761	429.25716998061193	0.0006661228928765634	0.015089722675367047
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.00028439494289688534	0.0005256479970998731	116.0	0.0005256479970998731	0.0	0.011752325162049012	0.01713160344479595	3780.60224819757	0.0018850824723581658	0.08103135762189596
ti|101570|org|Enterobacteria_phage_ES18	0.00027936492284970983	0.001454594888526373	321.0	0.0014500634402755121	4.531448250860975e-06	0.00033863022044666545	0.0013915322337018914	307.08333333333337	0.0013413086822548486	9.062896501721951e-05
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.00022689621349695124	0.00042595613558093164	94.0	0.00042595613558093164	0.0	0.00209129050000285	0.006697495258494268	1478.003253644515	0.0009878557186876926	0.047702555736813486
ti|716541|org|Enterobacter_cloacae_subsp._cloacae_ATCC_13047	0.0001986859002656018	0.0006887801341308683	152.0	0.0006842486858800072	4.531448250860975e-06	0.0006591391632157709	0.0014329732130033094	316.2285286455703	0.0007114373753851731	0.0031946710168569876
ti|714583|org|Salmonella_phage_ST160	0.00014612817512289327	0.0006298713068696756	139.0	0.0006298713068696756	0.0	0.0002085001135807979	0.0006362908585583951	140.41666666666663	0.0004893964110929853	0.0004576762733369585
ti|199310|org|Escherichia_coli_CFT073	0.0001152721385192402	0.00011328620627152438	25.0	0.00011328620627152438	0.0	0.00011527210225489492	0.00011371098578305576	25.093740342604747	8.156606851549755e-05	0.00019032082653616095
ti|550|org|Enterobacter_cloacae	0.0001113519160590144	0.00026282399854993656	58.0	0.00026282399854993656	0.0	0.0027336351356751732	0.002686833411475631	592.9303972444422	0.0019258655066159145	0.005165851005981512
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.00010321216610031089	0.00019485227478702194	43.0	0.00019485227478702194	0.0	0.0030214691667032087	0.007057825337624344	1557.5208955069402	0.0006525285481239804	0.06645822004712706
ti|1168549|org|Salmonella_phage_vB_SosS_Oslo	8.443035362907573e-05	0.0005256479970998731	116.0	0.0005256479970998731	0.0	8.936624464129692e-05	0.0010003172013775621	220.7500000000004	0.0007703462026463658	0.00046220772158781946
ti|77133|org|uncultured_bacterium	7.174810168869083e-05	2.2657241254304877e-05	5.0	2.2657241254304877e-05	0.0	0.00015492637709571945	0.00013770303617231108	30.38830602250561	3.172013775602683e-05	0.0007205002718868951
ti|98360|org|Salmonella_enterica_subsp._enterica_serovar_Dublin	6.953522999372332e-05	0.0003851731013231829	85.0	0.0003851731013231829	0.0	0.0002921993575610929	0.0006679079512784405	147.39392668812624	0.0006434656516222585	0.0021071234366503533
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	5.622603895504119e-05	0.00017672648178357803	39.0	0.00017219503353271706	4.531448250860975e-06	0.0028987339360533786	0.00893346276560705	1971.4365631141638	0.0007567518578937829	0.06261102048214609
ti|562|org|Escherichia_coli	3.626622394275102e-05	0.0001993837230378829	44.0	0.0001993837230378829	0.0	0.00019528927581413967	0.0006499739891134563	143.43625991755752	0.00033985861881457316	0.0019349284031176363
ti|1127357|org|Salmonella_phage_SPN9CC	1.7327756961612795e-05	0.0001993837230378829	44.0	0.0001993837230378829	0.0	2.6318023267303497e-05	0.00020267474454532637	44.726262626262624	0.00018125793003443902	5.890882726119268e-05
ti|630|org|Yersinia_enterocolitica	1.6203000042279508e-05	0.00015860068878013414	35.0	0.00015860068878013414	0.0	0.0005375598642765908	0.0003506961595451199	77.39162848841706	0.00015406924052927315	0.0005890882726119267
ti|990925|org|Klebsiella_pneumoniae_subsp._pneumoniae_KPX	1.5886246532533032e-05	0.00033985861881457316	75.0	0.00033985861881457316	0.0	0.0002519131948511804	0.0005285799367071721	116.64702043253874	0.00033985861881457316	0.0009470726844299438
ti|1125630|org|Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	1.0322174918643708e-05	0.0011781765452238534	260.0	0.0011781765452238534	0.0	1.0322164169344643e-05	0.0012865287916991436	283.91117375216703	0.0012098966829798804	0.0006389342033713975
ti|605|org|Salmonella_enterica_subsp._enterica_serovar_Pullorum	8.908079589807406e-06	0.000367047308319739	81.0	0.000367047308319739	0.0	3.462704994032041e-05	0.0004941184656123909	109.0420629913424	0.00044408192858437555	0.0010603588907014683
ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1	8.369723279381985e-06	0.00013141199927496828	29.0	0.00011781765452238536	1.3594344752582926e-05	0.009905377061664587	0.010750184259617036	2372.3506624122874	0.0004350190320826536	0.0770889976436469
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	6.850421878275058e-06	0.00023110386079390973	51.0	0.00023110386079390973	0.0	0.004135886799612815	0.02000524778247314	4414.758080636172	0.0015860068878013414	0.07103045133224578
ti|1132507|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._P-stx-12	5.435795888519937e-06	4.078303425774878e-05	9.0	4.078303425774878e-05	0.0	0.0012035524546205542	0.005586311424040757	1232.7872050573144	0.000543773790103317	0.0453779227841218
ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580	5.041404552158254e-06	7.25031720137756e-05	16.0	4.9845930759470725e-05	2.2657241254304877e-05	0.003233556803959039	0.006220073938494145	1372.645916746888	0.00014047489577669023	0.06615461301431938
