Total Number of Aligned Reads:	200030	Total Number of Mapped Genomes:	10315
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|41514|org|Salmonella_enterica_subsp._arizonae_serovar_62:z4,z23:-	0.9777415575252868	0.4754336849472579	95101.0	0.4754286856971454	4.999250112483127e-06	0.9730613593646898	0.45954730723862075	91923.24786694131	0.3824476328550717	0.08303754436834475
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.017116168504945396	0.3815427685847123	76320.0	0.38142778583212517	0.00011498275258711194	0.006935591204575409	0.146446354141872	29293.664218998656	0.08803179523071539	0.12255161725741139
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.003221733048404241	0.10160975853621956	20325.0	0.10157976303554467	2.9995500674898764e-05	0.006661163515071759	0.19580510761666092	39166.895676560685	0.13238014297855322	0.10642903564465331
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.0011298558374278774	0.03246013098035295	6493.0	0.032455131730240463	4.999250112483127e-06	0.006502893708299283	0.1625829048432174	32521.45845578878	0.11308803679448083	0.11396290556416537
ti|59203|org|Salmonella_enterica_subsp._arizonae	0.0002220107279327279	2.4996250562415636e-05	5.0	2.4996250562415636e-05	0.0	0.0041289065237095045	0.0022239649285470766	444.8597046572718	0.0009098635204719292	0.0036294555816627507
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.00019118272213719596	0.001524771284307354	305.0	0.001524771284307354	0.0	0.0002168392951484475	0.00125318416093951	250.6744277127302	0.00040993850922361644	0.0063040543918412234
ti|1267753|org|Salmonella_enterica_subsp._enterica_serovar_Javiana_str.	0.000167864913966439	0.0016647502874568814	333.0	0.0016647502874568814	0.0	0.0003105708246237668	0.002194723049757486	439.0104516429899	0.001569764535319702	0.004314352847072939
ti|605|org|Salmonella_enterica_subsp._enterica_serovar_Pullorum	0.00010207820569213422	0.0011048342748587712	221.0	0.0011048342748587712	0.0	5.823330383705823e-05	0.0008011778388673916	160.25960310864434	0.0008098785182222666	3.999400089986502e-05
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	3.518251144915707e-05	0.0008398740188971654	168.0	0.0008398740188971654	0.0	0.00022501568970351323	0.0023994638450729865	479.9647529299495	0.0005949107633854922	0.008253761935709644
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	1.801266681251042e-05	0.00021996700494925761	44.0	0.00021496775483677448	4.999250112483127e-06	9.199547003505216e-05	0.0012062534270518529	241.28687301318212	0.0003299505074238864	0.004164375343698445
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	1.425903616716061e-05	0.00014997750337449384	30.0	0.00014997750337449384	0.0	4.4678671605415475e-05	0.0013678629967618424	273.61363524227136	0.0006998950157476379	0.0040193970904364345
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	1.2024206714166218e-05	0.0003449482577613358	69.0	0.0003449482577613358	0.0	4.482683937286059e-05	0.0012207935468638996	244.19533317918584	0.00036994450832375145	0.004759286107083938
ti|10754|org|Enterobacteria_phage_P22	8.65058977444929e-06	0.00010998350247462881	22.0	0.00010998350247462881	0.0	8.521434375893497e-06	0.0001226066090086487	24.525	0.00010498425236214568	8.99865020246963e-05
ti|714583|org|Salmonella_phage_ST160	5.712765750477093e-06	0.00027995800629905515	56.0	0.00027995800629905515	0.0	1.5565963892514488e-05	0.001042343648452732	208.5	0.001019847022946558	7.998800179973004e-05
ti|566546|org|Escherichia_coli_W	2.8302527636156177e-06	0.00021996700494925761	44.0	0.00021996700494925761	0.0	2.730038513136684e-06	0.00019699797631261568	39.40550520181252	0.00013997900314952758	0.00020996850472429135
ti|1288122|org|Edwardsiella_tarda_C07-087	2.4790381635084327e-06	0.0003899415087736839	78.0	0.0003799430085487177	9.998500224966255e-06	2.4879219571624853e-06	0.0003401424169489747	68.0386876623034	0.00033994900764885267	0.0
ti|149539|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis	1.8972190198171273e-06	2.4996250562415636e-05	5.0	2.4996250562415636e-05	0.0	4.574028236358532e-05	0.00034060868883863197	68.13195602839156	0.00033494975753636954	0.0005049242613607959
ti|373384|org|Shigella_flexneri_5_str._8401	1.879159415512958e-06	0.0002899565065240214	58.0	0.0002899565065240214	0.0	1.879901825370836e-06	0.00030031469539658606	60.07194852017911	0.0002899565065240214	8.99865020246963e-05
