Total Number of Aligned Reads:	201000	Total Number of Mapped Genomes:	10007
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.9481312826475127	0.9307611940298507	187083.0	0.9307611940298507	0.0	0.6204884988445464	0.6425766493734965	129157.9065240728	0.4862039800995025	0.41053731343283584
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.044186275138477935	0.05146268656716418	10344.0	0.05145771144278607	4.975124378109453e-06	0.23012385282887135	0.15052405782424802	30255.33562267385	0.07525373134328359	0.26916915422885573
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.004867629709196705	0.013711442786069651	2756.0	0.013706467661691542	4.975124378109453e-06	0.10272516998041603	0.03891202012994026	7821.316046117992	0.028044776119402984	0.08820398009950249
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	0.0018441009057677121	0.001736318407960199	349.0	0.0017313432835820897	4.975124378109453e-06	0.010297679631969233	0.03285142237027395	6603.135896425064	0.0018606965174129354	0.15606467661691542
ti|550538|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum_str._287/91	0.0006638337244908848	0.0005572139303482587	112.0	0.0005572139303482587	0.0	0.010900315575177491	0.03424568595438298	6883.382876830979	0.001671641791044776	0.15065174129353234
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.0001748826314034762	0.0003980099502487562	80.0	0.0003980099502487562	0.0	0.0073581120032480294	0.007877112547289112	1583.2996220051116	0.000791044776119403	0.059870646766169155
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	4.3895789068274885e-05	0.00028855721393034826	58.0	0.00028855721393034826	0.0	0.0044432338583879506	0.005826153669950554	1171.0568876600614	0.00022388059701492538	0.05770149253731343
ti|149539|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis	3.478581906739095e-05	8.45771144278607e-05	17.0	7.960199004975125e-05	4.975124378109453e-06	3.339033293849302e-05	0.0009734240739199203	195.65823885790397	4.9751243781094526e-05	0.006412935323383085
ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1	1.8988767419916983e-05	7.462686567164179e-05	15.0	7.462686567164179e-05	0.0	0.005871810794331858	0.005243075009408879	1053.8580768911847	0.00019402985074626865	0.05885074626865672
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	1.4772801114093962e-05	5.9701492537313435e-05	12.0	5.9701492537313435e-05	0.0	0.0014259422230280382	0.004467138467217904	897.8948319107986	6.467661691542288e-05	0.04570646766169154
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	1.0284810370768118e-05	0.00021890547263681592	44.0	0.00021890547263681592	0.0	0.000400145291396184	0.003284493627672012	660.1832191620744	0.00028855721393034826	0.037079601990049754
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	5.75522426680456e-06	7.960199004975125e-05	16.0	7.960199004975125e-05	0.0	0.0009216893565946447	0.0026078493315569258	524.1777156429421	6.965174129353234e-05	0.03353731343283582
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	1.70043832679345e-06	1.4925373134328359e-05	3.0	1.4925373134328359e-05	0.0	0.0006543489938369757	0.004421069185998989	888.6349063857969	9.950248756218906e-06	0.04599502487562189
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	1.2221967957510953e-06	0.000208955223880597	42.0	0.000208955223880597	0.0	0.0007416882703664683	0.0031636928575243185	635.902264362388	0.0002537313432835821	0.034119402985074626
ti|108619|org|Salmonella_enterica_subsp._enterica_serovar_Newport	2.4943230706565906e-07	6.467661691542288e-05	13.0	6.467661691542288e-05	0.0	9.50712676440035e-07	7.18495334096231e-05	14.441756215334241	2.9850746268656717e-05	0.0005970149253731343
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	1.5988257169066935e-07	3.980099502487562e-05	8.0	3.980099502487562e-05	0.0	0.0011028195560427042	0.00401119751460808	806.2507004362241	7.462686567164179e-05	0.05513930348258706
ti|321314|org|Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str.	9.073144088825806e-08	4.477611940298508e-05	9.0	4.477611940298508e-05	0.0	6.775082058716886e-07	0.004490324797394962	902.5552842763874	5.472636815920398e-05	0.04806467661691542
ti|1160717|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._B182	7.290334232505142e-08	0.00013432835820895522	27.0	0.00013432835820895522	0.0	2.9938003597988183e-05	0.00464108300844317	932.8576846970772	0.00015422885572139304	0.05211940298507463
ti|454166|org|Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483	1.6447543961937244e-08	4.975124378109453e-06	1.0	4.975124378109453e-06	0.0	0.0006298841273264902	0.0042574286618324835	855.7431610283292	3.482587064676617e-05	0.0438407960199005
ti|562|org|Escherichia_coli	3.723259641481e-13	5.472636815920398e-05	11.0	5.472636815920398e-05	0.0	3.516364943718217e-08	2.068662216590825e-05	4.158011055347559	9.950248756218906e-06	8.955223880597016e-05
