Total Number of Aligned Reads:	215163	Total Number of Mapped Genomes:	16338
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.7358998652304012	0.7590013152819025	163309.0	0.7578951771447693	0.0011061381371332431	0.36427934276280766	0.3006434900613922	64687.355252079324	0.23776857545209912	0.19678569270738927
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.1273294597228883	0.1282934333505296	27604.0	0.12762417330117168	0.0006692600493579286	0.22319259601339617	0.19223448282144412	41361.74802731038	0.1569089480998127	0.14791111854733388
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.09143870659908063	0.05622249178529766	12097.0	0.05578561369752234	0.00043687808777531455	0.1009030857465745	0.09589424518713602	20632.89347719975	0.034452949624238366	0.2224685471014998
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.017287661450174963	0.019459665462928107	4187.0	0.01943177962753819	2.7885835389913693e-05	0.19562426813787445	0.1734505739454359	37320.145841821824	0.1243289970859302	0.16693855356171833
ti|1160717|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._B182	0.008321292843980914	0.0032626427406199023	702.0	0.003248699822924945	1.3942917694956847e-05	0.021707988685766868	0.049786169890156086	10712.141672075653	0.008365750616974107	0.16816088267964288
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.005101177524435393	0.007217783726755994	1553.0	0.006929630094393553	0.0002881536323624415	0.013382911573599894	0.012741510758483897	2741.5016793276704	0.0034624912275809504	0.09298996574689886
ti|611|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg	0.004050845186640367	0.006288255880425538	1353.0	0.006116293228854403	0.00017196265157113445	0.002881646317745216	0.003994513783473397	859.4715691934866	0.0014686539972021211	0.008835162179370989
ti|573|org|Klebsiella_pneumoniae	0.0026946908010517263	0.004368780877753145	940.0	0.0042758280931201	9.295278463304564e-05	0.0013262894144379753	0.0019100037506160322	410.96213699379734	0.0025469062989454507	0.0018962368065141312
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.0021745879962295563	0.0009667089601836747	208.0	0.0009620613209520224	4.647639231652282e-06	0.0020915900786974066	0.002344495284932571	504.4486389919467	0.0007993939478441926	0.018790405413570178
ti|573235|org|Escherichia_coli_O26:H11_str._11368	0.0014750514910855195	0.0007715081124542788	166.0	0.0007715081124542788	0.0	0.001475051177674557	0.0008034294011925927	172.86828024880182	0.0007064411632111469	0.0006971458847478423
ti|439855|org|Escherichia_coli_SMS-3-5	0.0010102703989784967	0.005363375673326734	1154.0	0.005316899281010211	4.647639231652282e-05	0.0007783811982594557	0.0026337996711071777	566.6962386344337	0.002374943647374316	0.0013478153771791619
ti|637910|org|Citrobacter_rodentium_ICC168	0.0007287730117066692	0.0007389746378327129	159.0	0.0006971458847478423	4.182875308487054e-05	0.0006077358087376737	0.0012924075206736472	278.07827937070397	0.0010317759094268066	0.0009155849286354995
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.00060409208714643	0.000641374213968015	138.0	0.0006274312962730581	1.3942917694956847e-05	0.009653358059956157	0.010644373902158498	2290.275421910129	0.001087547580206634	0.0909217662888136
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.0004682717216132741	0.0009016420109405428	194.0	0.0009016420109405428	0.0	0.013521609963532251	0.012046356375752045	2591.9301768759374	0.00234241017275275	0.0665123650441758
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	0.00028289806612176406	0.0009527660424887178	205.0	0.0009527660424887178	0.0	0.001966492649186697	0.005310637363986971	1142.6526671475285	0.00154766386414021	0.04036474672690007
ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1	0.0002405856447444871	0.00017661029080278672	38.0	0.00017661029080278672	0.0	0.022414365819696424	0.012228249698156567	2631.0668898044614	0.0005670119862615785	0.09963144220892997
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.00020101195234009696	0.0002556201577408755	55.0	0.0002556201577408755	0.0	0.0020714596661372915	0.005298533234093259	1140.0483062472078	0.00038110641699548716	0.04930215696936741
ti|10754|org|Enterobacteria_phage_P22	0.00015354726815699235	0.00011619098079130705	25.0	0.00011619098079130705	0.0	0.0001690272992896566	0.0004714629284141703	101.44137806637814	0.00014872445541287303	0.0013478153771791619
ti|10679|org|Enterobacteria_phage_P2	0.00011368788769760842	0.0004972973977867942	107.0	0.00048335448009183735	1.3942917694956847e-05	0.00014536480193117884	0.00041157427418076327	88.55555555555557	0.00021379140465600498	0.000395049334690444
