Total Number of Aligned Reads:	217710	Total Number of Mapped Genomes:	12719
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.5470310852656716	0.679330301777594	147897.0	0.6766248679435947	0.002705433833999357	0.28070560529745175	0.2610122917455177	56824.98603591666	0.1973404988287171	0.18351936061733498
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.26790450521598685	0.2010931973726517	43780.0	0.1970097836571586	0.004083413715493087	0.25822680867378356	0.21060088529575885	45849.91873773966	0.16578475954251068	0.16388314730604933
ti|423368|org|Salmonella_enterica_subsp._enterica_serovar_Newport_str._SL254	0.0959516419614359	0.05646502227734142	12293.0	0.05562904781590189	0.0008359744614395297	0.08159035060188656	0.11110892379520386	24189.523799453833	0.036015800835974464	0.16926645537641818
ti|588|org|Providencia_stuartii	0.04183612616170216	0.022295714482568556	4854.0	0.022291121216296908	4.593266271645768e-06	0.041678525825246455	0.02215204910549995	4822.722610758394	0.022075237701529558	0.003771071609021175
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.026788470641441384	0.022111983831702722	4814.0	0.02205227137017133	5.971246153139498e-05	0.22917589988253237	0.20000107666254585	43542.234400202855	0.13886821919066647	0.1866106288181526
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.0042385912353836	0.004381976023150062	954.0	0.004336043360433604	4.593266271645767e-05	0.008971164854444595	0.009653877953410897	2101.7457692370863	0.0011391300353681504	0.07601855679573745
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.0029970935715058814	0.0021174957512286987	461.0	0.00209452941987047	2.2966331358228836e-05	0.01205319912306464	0.01487045232044368	3237.4461746837933	0.0020899361535988243	0.07539846584906527
ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580	0.0024665872658750313	0.0009002801892425703	196.0	0.0009002801892425703	0.0	0.004183843532839832	0.00689524377445907	1501.1635221374843	0.0007532956685499058	0.06863258463093105
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.0019785845174348886	0.0009416195856873823	205.0	0.000927839786872445	1.3779798814937301e-05	0.004083400977175004	0.0032472735219258846	706.9639184584844	0.001364200082678793	0.0200220476781039
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.0017248489539307451	0.001538744201001332	335.0	0.0015295576684580404	9.186532543291535e-06	0.005204369657286078	0.007214428480675432	1570.6532245278484	0.0013366404850489182	0.04978641311836847
ti|108619|org|Salmonella_enterica_subsp._enterica_serovar_Newport	0.0010739754568000325	0.0005098525561526802	111.0	0.0005098525561526802	0.0	0.0010666996207102184	0.0010251012882312618	223.174801460828	0.0004639198934362225	0.0040558541178632125
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.0010555366392328638	0.0011942492306278995	260.0	0.0011942492306278995	0.0	0.013200381680549817	0.017395856479493873	3787.2519141506114	0.0038353773368242157	0.07018970189701897
ti|98360|org|Salmonella_enterica_subsp._enterica_serovar_Dublin	0.0010085142548155789	0.0005695650176840752	124.0	0.0005695650176840752	0.0	0.0011878353480998844	0.0011136547832406283	242.45378285931722	0.000688989940746865	0.006334114188599513
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	0.0008860535471889368	0.0009370263194157366	204.0	0.000927839786872445	9.186532543291535e-06	0.0038679106470889584	0.005979942303852203	1301.893238971663	0.001639796058977539	0.03976390611363741
