Total Number of Aligned Reads:	199200	Total Number of Mapped Genomes:	10270
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.653253553175058	0.7939006024096386	158145.0	0.7928714859437751	0.0010291164658634538	0.2515879385114447	0.22292353783080615	44406.36873589658	0.1769226907630522	0.15801706827309236
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	0.22974243814826986	0.10629518072289157	21174.0	0.10255522088353414	0.0037399598393574296	0.16945410696467597	0.10160357337588007	20239.43181647531	0.034086345381526106	0.20850401606425703
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.07207252610145447	0.06761546184738956	13469.0	0.06751004016064258	0.00010542168674698795	0.24435324760524213	0.266927849953339	53172.02771070514	0.19960341365461848	0.15610441767068273
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.02250006913651449	0.020235943775100403	4031.0	0.020210843373493975	2.5100401606425704e-05	0.21318099867060247	0.20705153505470847	41244.66578289793	0.14460341365461848	0.17845883534136547
ti|554290|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str.	0.01292597281878375	0.002926706827309237	583.0	0.0029216867469879517	5.020080321285141e-06	0.039708926563623646	0.07178501880944846	14299.575746842133	0.005376506024096385	0.1981827309236948
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.0036581832014889624	0.0026706827309236946	532.0	0.0026706827309236946	0.0	0.006878037677865416	0.006801143681226624	1354.7878213003435	0.003644578313253012	0.04594879518072289
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.0018173161174068735	0.0011947791164658634	238.0	0.0011947791164658634	0.0	0.03319193988595717	0.016457340527411463	3278.3022330603635	0.005687751004016064	0.06723393574297189
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	0.0013441462725783935	0.000677710843373494	135.0	0.000677710843373494	0.0	0.004886250339555841	0.004847477847589503	965.617587239829	0.0006877510040160643	0.038579317269076305
ti|714583|org|Salmonella_phage_ST160	0.0012289061607446308	0.0011947791164658634	238.0	0.0011947791164658634	0.0	0.0016134273913442703	0.0016418205750601126	327.05065855197444	0.0015361445783132531	0.00039156626506024094
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.0009062483131536633	0.0007931726907630522	158.0	0.0007931726907630522	0.0	0.0036768850223684426	0.004796190301900491	955.4011081385779	0.0005321285140562249	0.045266064257028116
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.0001747598847254197	0.0001255020080321285	25.0	0.0001255020080321285	0.0	0.0015957309354921343	0.004648989918509714	926.0787917671349	0.0001857429718875502	0.041651606425702814
ti|54388|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A	7.823436722045314e-05	7.028112449799197e-05	14.0	7.028112449799197e-05	0.0	0.0009275129444545197	0.001168181437790687	232.70174240790485	0.00029116465863453814	0.005572289156626506
ti|1127357|org|Salmonella_phage_SPN9CC	7.3050404543452e-05	7.028112449799197e-05	14.0	7.028112449799197e-05	0.0	0.001776743976404492	0.0005296241437054689	105.5011294261294	0.00031124497991967873	0.0006124497991967871
