Total Number of Aligned Reads:	211250	Total Number of Mapped Genomes:	10316
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.5699483895583068	0.7140260355029586	150838.0	0.7059692307692308	0.00805680473372781	0.27375973832059586	0.2642157739786267	55815.582252984896	0.20159526627218935	0.17419171597633137
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.23147917643861934	0.1785846153846154	37726.0	0.1749585798816568	0.00362603550295858	0.2514130798495803	0.21721900505984096	45887.5148188914	0.17284260355029585	0.16703431952662723
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.17457494304360394	0.07756213017751479	16385.0	0.07489230769230769	0.0026698224852071007	0.18902390201845398	0.16854979172700574	35606.143502329964	0.06873846153846154	0.2119337278106509
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.01811199522301751	0.02107455621301775	4452.0	0.021046153846153846	2.8402366863905327e-05	0.2162591184068605	0.19766694456239609	41757.142038806174	0.13956923076923078	0.18400473372781065
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	0.001610904105728378	0.0022011834319526627	465.0	0.0022011834319526627	0.0	0.0028791130144141352	0.008353800668244739	1764.740391166701	0.0009278106508875739	0.05514319526627219
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.0014965848575516306	0.0010272189349112427	217.0	0.0010272189349112427	0.0	0.011600873014985174	0.009697506080041994	2048.598159408871	0.0008	0.06784378698224852
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.0007365164088227128	0.0013017751479289942	275.0	0.0013017751479289942	0.0	0.0070329240056188095	0.008648599726013785	1827.0166921204122	0.0029254437869822487	0.06868639053254438
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.000702054816350403	0.0006153846153846154	130.0	0.0006153846153846154	0.0	0.00217415449160379	0.004761289094329786	1005.8223211771673	0.0011597633136094675	0.03740591715976331
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.0003003683888170849	0.00028402366863905325	60.0	0.00028402366863905325	0.0	0.00262178371156092	0.005787032279919042	1222.5105691328977	0.00032662721893491123	0.06472899408284023
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	0.0002969105380126651	0.0006532544378698225	138.0	0.0006532544378698225	0.0	0.005392568505804997	0.00572613789572108	1209.6466304710782	0.0012118343195266271	0.03994319526627219
ti|28901|org|Salmonella_enterica	0.00022018701801628348	6.627218934911243e-05	14.0	6.627218934911243e-05	0.0	0.00019826595887166272	0.000500932643783531	105.82202099927092	6.627218934911243e-05	0.0031763313609467457
ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580	0.00021261338808421473	0.0008568047337278107	181.0	0.0008568047337278107	0.0	0.005721900009786602	0.007426283140565728	1568.80231344451	0.0010414201183431952	0.0674603550295858
ti|554290|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str.	0.00010627861262886418	0.00024142011834319527	51.0	0.00024142011834319527	0.0	0.0005048520534501331	0.004137314867905284	874.0077658449911	0.00014201183431952663	0.03926627218934911
ti|1132507|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._P-stx-12	8.28275396821569e-05	6.153846153846154e-05	13.0	6.153846153846154e-05	0.0	0.0018556299249010756	0.0036556417025916097	772.2543096724776	0.0004591715976331361	0.03662958579881657
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	3.5238912337667386e-05	0.00014201183431952663	30.0	0.00014201183431952663	0.0	0.0006672391851504986	0.001475185448922977	311.6329260849789	0.00038343195266272187	0.014276923076923078
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	2.741689810521931e-05	5.680473372781065e-05	12.0	5.680473372781065e-05	0.0	0.003438481270720186	0.007885462404918801	1665.8039330390966	0.0006958579881656805	0.06149112426035503
ti|1267753|org|Salmonella_enterica_subsp._enterica_serovar_Javiana_str.	1.7345834262127318e-05	0.0003455621301775148	73.0	0.0003455621301775148	0.0	0.0014354780532445115	0.004332903119741613	915.3257840454158	0.000378698224852071	0.038362130177514796
ti|321314|org|Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str.	1.6976435889635684e-05	0.0002982248520710059	63.0	0.0002982248520710059	0.0	0.0011290846865087381	0.006319395405037446	1334.9722793141605	0.00029349112426035504	0.05221775147928994
