Total Number of Aligned Reads:	215190	Total Number of Mapped Genomes:	11132
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.45554299936131953	0.6486779125424044	139589.0	0.6425530926158278	0.0061248199265765135	0.1776142233486113	0.2044304361107826	43991.38554667931	0.16153166968725313	0.14237650448440914
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.33067150941722023	0.22411822110692875	48228.0	0.22226404572703193	0.0018541753798968354	0.16571015951829512	0.08312752478469988	17888.21205841957	0.032408569171429896	0.22324457456201496
ti|1132507|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._P-stx-12	0.10608536908529402	0.022928574747897206	4934.0	0.022896045355267437	3.252939262976904e-05	0.13622717491782585	0.08017762044958897	17253.42214454705	0.02300292764533668	0.22646033737627214
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.054210582851097096	0.06213578697894884	13371.0	0.06198708118406989	0.0001487057948789442	0.18185635842420494	0.2477417680512981	53311.55106695884	0.1868163018727636	0.13781309540406153
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	0.03184339838393118	0.014368697430177981	3092.0	0.014368697430177981	0.0	0.041158757798041797	0.020654318628691503	4444.602825708124	0.011942934151215206	0.059277847483619125
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.01756599851444987	0.019313165109902875	4156.0	0.019299223941632977	1.3941168269901018e-05	0.16111651366223315	0.19060446494002833	41016.174810444696	0.13254798085412892	0.1611970816487755
ti|90370|org|Salmonella_enterica_subsp._enterica_serovar_Typhi	0.00154138266010452	0.0006041172916957108	130.0	0.0005808820112458758	2.323528044983503e-05	0.03271209603037948	0.009515547864251484	2047.650744908277	0.0010781170128723453	0.033779450717970165
ti|585056|org|Escherichia_coli_UMN026	0.0009437648305724284	0.0003578233189274595	77.0	0.0003578233189274595	0.0	0.000402009353100683	0.00026629390000818286	57.30378434276086	5.576467307960407e-05	0.0011896463590315536
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	0.0005235268221765183	0.00044147032854686556	95.0	0.00044147032854686556	0.0	0.02051087397849599	0.007013079006581794	1509.1444714263364	0.0006227055160555788	0.04172126957572378
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.0002467764328095003	0.0004972350016264696	107.0	0.0004972350016264696	0.0	0.0019794421578825205	0.003820525724271187	822.1389306059167	0.0007017054695850178	0.036089037594683765
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.00024280659210446028	0.0004135879920070635	89.0	0.0004135879920070635	0.0	0.005324765101737783	0.006033049230031744	1298.251863810531	0.001672940192388122	0.037724801338352154
ti|28901|org|Salmonella_enterica	0.00023949699753946708	6.970584134950509e-05	15.0	6.970584134950509e-05	0.0	0.005158137806072484	0.001994525671417681	429.2019792323708	0.000715646637854919	0.0036479390306241
ti|585035|org|Escherichia_coli_S88	9.6204657729752e-05	0.002253822203633998	485.0	0.002253822203633998	0.0	9.263590766910456e-05	0.0019584012980579293	421.4283753290858	0.0019424694456062085	0.00036247037501742645
