Total Number of Aligned Reads:	208340	Total Number of Mapped Genomes:	10870
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.5345381030026758	0.7121628107900547	148372.0	0.7102428722280887	0.001919938561966017	0.20666085999812095	0.21215244667536484	44199.84074034551	0.1680330229432658	0.14688969952961506
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.27253057377166934	0.16246520111356436	33848.0	0.1594460977248728	0.003019103388691562	0.17175067673255393	0.08338333579689461	17372.084179925023	0.0340789094748968	0.21492752231928577
ti|1132507|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._P-stx-12	0.07263840211664681	0.015484304502255929	3226.0	0.015474704809446098	9.599692809830085e-06	0.10325597513858287	0.06430946271323965	13398.23346167635	0.01858980512623596	0.20113276375155995
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.06358167538151803	0.0648987232408563	13521.0	0.0647115292310646	0.00018719400979168668	0.2096805152574847	0.2555327623366726	53237.69570522237	0.19286262839589133	0.14211385235672458
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	0.03311931069065379	0.014221944897763272	2963.0	0.014221944897763272	0.0	0.04593595047576102	0.021407496667825102	4460.037855774682	0.01230680618220217	0.0620284150907171
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.020105559170674487	0.01995776135163675	4158.0	0.01994816165882692	9.599692809830085e-06	0.18729484516207928	0.19717388251220594	41079.20668259299	0.13655563021983297	0.1671306518191418
ti|439855|org|Escherichia_coli_SMS-3-5	0.0009877475958305043	0.0010607660554862244	221.0	0.0010559662090813093	4.7998464049150425e-06	0.0004895425735519987	0.00037293879703336743	77.69806897393177	0.0003119900163194778	0.00021599308822117694
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	0.0007505024776288076	0.00045598540846692907	95.0	0.00045598540846692907	0.0	0.023749968989957702	0.0072209098891968535	1504.4043663152725	0.0005807814149947202	0.043750599980800615
ti|90370|org|Salmonella_enterica_subsp._enterica_serovar_Typhi	0.0003060381988013099	0.00010559662090813094	22.0	0.00010559662090813094	0.0	0.00689037404624985	0.0032861280121753373	684.6319100566097	0.000225592781031007	0.013429970240952289
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.0002632492524773711	0.0005087837189209945	106.0	0.0005087837189209945	0.0	0.006289732771842802	0.006401782577898925	1333.747382279462	0.0019583373332053376	0.038945953729480655
