Total Number of Aligned Reads:	213520	Total Number of Mapped Genomes:	10306
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.8823081090436408	0.8149775196702885	174014.0	0.8149587860621956	1.8733608092918696e-05	0.6090659556437318	0.533450800105409	113902.41483850693	0.4547396028475084	0.3189818284001499
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.06061991327708137	0.12419445485200449	26518.0	0.12413357062570252	6.0884226301985765e-05	0.13739243279695207	0.0930174437365979	19861.084586638382	0.09392094417384789	0.08452135631322592
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.0247819857382168	0.02071000374672162	4422.0	0.020663169726489322	4.683402023229674e-05	0.024729702105547514	0.03247578443487204	6934.229492533878	0.005559198201573623	0.20643031097789435
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.01553315945499083	0.02313600599475459	4940.0	0.02299082053203447	0.00014518546272011988	0.12471573986581304	0.08421779879616201	17982.184398956513	0.07836736605470214	0.1022901835893593
ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1	0.00615216241106917	0.003915324091420007	836.0	0.0039012738853503185	1.4050206069689022e-05	0.03501122546863675	0.0474302692343804	10127.311086924903	0.0043274634694642185	0.24463750468340204
ti|605|org|Salmonella_enterica_subsp._enterica_serovar_Pullorum	0.005237846037979888	0.005301611090295991	1132.0	0.005301611090295991	0.0	0.004127732746984216	0.004330622488159997	924.6745136719226	0.004097976770325965	0.00229955039340577
ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580	0.001435817213679483	0.0008851629823904084	189.0	0.0008851629823904084	0.0	0.010712740213642307	0.022504255723524685	4805.1086820869905	0.0010678156612963657	0.17971150243536904
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.0012710300854942352	0.00100693143499438	215.0	0.00100693143499438	0.0	0.013247038884696747	0.02468535898508444	5270.817850495229	0.0016298239040839265	0.18943424503559386
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	0.0008380892477495898	0.0017750093668040465	379.0	0.0017750093668040465	0.0	0.0019362324666760836	0.00429796913783696	917.7023703109477	0.0014284376170850507	0.038544398651180214
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.0005971342839776541	0.0010397152491569877	222.0	0.0010397152491569877	0.0	0.008709317610852502	0.009319522330164105	1989.9044079366397	0.002196515548894717	0.06903334582240539
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.0004469330951432398	0.0005620082427875609	120.0	0.0005620082427875609	0.0	0.0017494150218214895	0.005612061192303887	1198.287305780726	0.001709441738478831	0.03880198576245785
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.0003025605990246007	0.000847695766204571	181.0	0.000847695766204571	0.0	0.011188593266544027	0.012209210648224517	2606.910657608899	0.001063132259273136	0.10121300112401649
ti|99287|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2	0.00014048428206910293	0.00013113525665043089	28.0	0.00013113525665043089	0.0	0.002777511668196198	0.016346167380440837	3490.2336590717277	0.00028100412139378045	0.15355938553765455
ti|909946|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._ST4/74	0.00013484971225389696	8.430123641813414e-05	18.0	8.430123641813414e-05	0.0	0.0044894782406791	0.017943164594112306	3831.2245041348597	0.0011380666916448107	0.1607343574372424
ti|149539|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis	7.19863480286648e-05	0.00023885350318471338	51.0	0.00023885350318471338	0.0	0.0015105141906489063	0.0014245479839113265	304.16948552474645	0.0013019857624578493	0.00373267141251405
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	4.2631991980386714e-05	0.00011240164855751218	24.0	0.00011240164855751218	0.0	0.002468175063716946	0.004393321654216751	938.0620396083606	0.00034657174971899587	0.05086642937429749
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	2.8464620965985806e-05	0.00033252154364930684	71.0	0.00033252154364930684	0.0	0.0005539666500915547	0.0028908047642502654	617.2446332627167	0.00036998875983514426	0.03833364556013488
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	2.0406189866341813e-05	0.000215436493068565	46.0	0.000215436493068565	0.0	0.0013502263996314808	0.0032301924300429797	689.710687662777	0.0006744098913450731	0.036165230423379546
ti|1132507|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._P-stx-12	1.9184927853396998e-05	1.4050206069689022e-05	3.0	1.4050206069689022e-05	0.0	0.0004958300556370024	0.0022848367393418978	487.858340584282	4.215061820906707e-05	0.03489134507306107
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	9.59574076641186e-06	5.151742225552642e-05	11.0	5.151742225552642e-05	0.0	0.0009996429028707988	0.004630228243725561	988.6463346002816	8.898463844136381e-05	0.06183027351067816
ti|0|org|Unknown.	6.071719080394217e-06	6.556762832521544e-05	14.0	6.556762832521544e-05	0.0	9.414373940325692e-06	0.00010303811597594155	22.00069852318304	9.366804046459348e-05	0.00013113525665043089
ti|218493|org|Salmonella_bongori_NCTC_12419	1.4014324527107714e-06	7.493443237167478e-05	16.0	7.493443237167478e-05	0.0	2.1794019177360653e-05	0.0001867514333656594	39.8751660522356	6.0884226301985765e-05	0.0022199325590108654
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	1.3040495975494426e-07	3.278381416260772e-05	7.0	3.278381416260772e-05	0.0	7.65132912091955e-06	0.00394001995960701	841.2730617752886	1.4050206069689022e-05	0.05518452603971525
ti|321314|org|Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str.	2.6018491580327018e-08	0.00013581865867366054	29.0	0.00013581865867366054	0.0	4.196262127354231e-06	0.003984149146571574	850.6955257759624	0.00017328587485949793	0.05291307605844886
ti|1160717|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._B182	2.596275852810486e-08	0.00011708505058074185	25.0	0.00011708505058074185	0.0	6.6013164158612705e-06	0.006143204081741432	1311.6969355334306	0.00014050206069689023	0.07889659048332709
ti|595496|org|Escherichia_coli_BW2952	1.6128640506434184e-10	1.4050206069689022e-05	3.0	1.4050206069689022e-05	0.0	2.2466907156227977e-10	1.245707730075147e-05	2.659835145256454	0.0	0.00018265267890595728
ti|562|org|Escherichia_coli	2.4824528068379814e-15	2.341701011614837e-05	5.0	2.341701011614837e-05	0.0	5.292138824427908e-10	1.6403256551949558e-05	3.502423338972269	4.683402023229674e-06	0.00014518546272011988
ti|1274814|org|Escherichia_coli_APEC_O78	1.8675841761134468e-16	4.683402023229674e-06	1.0	4.683402023229674e-06	0.0	2.7859089337024225e-10	1.0388577979992913e-05	2.218169170288087	0.0	0.00019201948295241664
