Total Number of Aligned Reads:	213570	Total Number of Mapped Genomes:	5915
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.6444264585610431	0.7809476986468137	166787.0	0.7796553823102496	0.0012923163365641242	0.24909988389179583	0.21643443699336554	46223.90270867308	0.16733623636278502	0.16290677529615583
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.21767029470688062	0.09939130027625603	21227.0	0.09716252282623965	0.0022287774500163882	0.1964281811728256	0.16488773800569378	35215.07420587602	0.062255934822306506	0.17992695603315073
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.09085267757357089	0.07145198295640774	15260.0	0.07132087840052442	0.00013110455588331694	0.2374220281790469	0.24919347039192158	53220.24947160269	0.18101793323032261	0.16848340122676406
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.03065197549870787	0.024689797256168936	5273.0	0.02466638572833263	2.3411527836306598e-05	0.2156115222076601	0.20347160501138617	43455.430682281745	0.1395607997377909	0.1830266423186777
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.004138685385561643	0.006784660766961652	1449.0	0.006700379266750948	8.428150021070375e-05	0.01182560628453703	0.009487699229761688	2026.2879245002036	0.002547174228590158	0.059919464344243105
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	0.002600964174958987	0.005689001264222503	1215.0	0.005567261319473709	0.0001217399447487943	0.003767924573151116	0.009919880814159844	2118.588945480118	0.004846186262115465	0.04075946996300978
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.0019951070516001273	0.0008428150021070375	180.0	0.0008428150021070375	0.0	0.009876408841130384	0.007769240099181874	1659.2766079822727	0.0012642225031605564	0.05889872173058014
ti|590739|org|Salmonella_phage_g341c	0.001839465125670355	0.0006227466404457555	133.0	0.0006227466404457555	0.0	0.004560375200428703	0.0014339560799737797	306.2500000000001	0.0015077023926581448	0.0006789343072528913
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.0017111707134980633	0.0009786018635576158	209.0	0.0009739195579903544	4.682305567261319e-06	0.002856556582947623	0.0019560551568970448	417.75469985850185	0.0010628833637683194	0.010792714332537342
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.0010457385369584632	0.0009317788078850026	199.0	0.0009317788078850026	0.0	0.0040084828806776825	0.0060428289893049375	1290.5669872458554	0.001933792199278925	0.037636372149646484
