Total Number of Aligned Reads:	215270	Total Number of Mapped Genomes:	10511
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.8655511545801395	0.8057044641612858	173444.0	0.8056719468574348	3.251730385097784e-05	0.5973369181660556	0.5258622341227762	113202.36313961002	0.4493380406001765	0.3091001997491522
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.05758664426352193	0.12090398104705719	26027.0	0.12081571979374739	8.8261253309797e-05	0.13639716476872732	0.09197167838855769	19798.743206704814	0.09223300970873786	0.08454034468342082
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.029387361081037688	0.024332233938774563	5238.0	0.024141775444790264	0.0001904584939842988	0.0308444851472859	0.03921696376713655	8442.235790151484	0.009063037116179682	0.21417754447902634
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.019419112113524418	0.024968644028429413	5375.0	0.024885028104241185	8.361592418822873e-05	0.12371046757663055	0.08301686274510547	17871.040043138855	0.07781390811538998	0.0989919635806197
ti|99287|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2	0.012687022452467821	0.008315139127607191	1790.0	0.008310493798485624	4.645329121568263e-06	0.014726495476308565	0.027362257424720288	5890.273155819536	0.009007293166720862	0.15872160542574443
ti|605|org|Salmonella_enterica_subsp._enterica_serovar_Pullorum	0.005034535973286125	0.00508199005899568	1094.0	0.00508199005899568	0.0	0.004283852511865897	0.004227408357808229	910.0341971853776	0.003971756398940865	0.0022390486365959027
ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1	0.004067189973153167	0.003005527941654666	647.0	0.003000882612533098	4.645329121568263e-06	0.0299553600372285	0.039459471941341105	8494.4405248125	0.002912621359223301	0.22705904213313513
ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580	0.0017239849658846839	0.0009801644446509035	211.0	0.0009801644446509035	0.0	0.01121457919631063	0.021740738879320043	4680.128858551226	0.001114878989176383	0.17544943559251172
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.0016626637363300351	0.0009801644446509035	211.0	0.0009801644446509035	0.0	0.014229115219730802	0.02750032966017643	5919.99596594618	0.001992846193152785	0.19570771589167094
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.0014487255007649125	0.0013703720908626376	295.0	0.0013657267617410694	4.645329121568263e-06	0.003423430233929383	0.006842826923949377	1473.0553519185823	0.0024434431179449064	0.040219259534538025
ti|909946|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._ST4/74	0.000395067649104127	0.000510986203372509	110.0	0.000510986203372509	0.0	0.005042327706629621	0.01794138841650741	3862.2426844215506	0.0015794119013332094	0.15760208110744647
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.00032845808860284674	0.0008779672039764017	189.0	0.0008733218748548335	4.645329121568263e-06	0.011040873890743673	0.01260533729680496	2713.5509598832036	0.0011055883309332465	0.1007618339759372
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	0.0003098986973448264	0.0006131834440470108	132.0	0.0006085381149254425	4.645329121568263e-06	0.0018766592991116499	0.004060759072539806	874.1596055456441	0.0012124309007293167	0.03788730431551075
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.00024113365633748622	0.0007153806847215125	154.0	0.0007153806847215125	0.0	0.008180226331160242	0.009066170254366738	1951.6744706575275	0.0015376039392390952	0.0698053607098063
ti|149539|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis	5.889528635796145e-05	0.0002136851395921401	46.0	0.0002136851395921401	0.0	0.0015387676065761638	0.0014845146488238563	319.57146845231154	0.0013843080782273425	0.0035954847400938355
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	3.658209099388363e-05	0.00010219724067450178	22.0	0.00010219724067450178	0.0	0.002421701728078577	0.004588755650859349	987.8214289604921	0.0004180796209411437	0.0516096065406234
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	2.903041828247629e-05	0.0004552422539136898	98.0	0.0004552422539136898	0.0	0.0006948183097436737	0.0030601389731139757	658.7561167422456	0.0004970502160078042	0.03824963998699308
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	1.589241895057645e-05	0.0002136851395921401	46.0	0.0002136851395921401	0.0	0.0015167225222730443	0.00324142327588783	697.7811886003732	0.0006782180517489664	0.03592697542620895
ti|550537|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str.	6.048584739250581e-06	2.3226645607841314e-05	5.0	2.3226645607841314e-05	0.0	0.00043567201915554836	0.0042809539707123236	921.5609612752419	0.00010219724067450178	0.06004552422539137
ti|0|org|Unknown.	5.21188365171098e-06	7.897059506666047e-05	17.0	7.897059506666047e-05	0.0	1.458758285546463e-05	0.0001549133357095092	33.348193778186044	0.0001486505318901844	9.755191155293352e-05
ti|218493|org|Salmonella_bongori_NCTC_12419	2.593407253732554e-06	7.43252659450922e-05	16.0	7.43252659450922e-05	0.0	1.9897065411072015e-05	0.00017594095482094909	37.87480934430571	6.038927858038742e-05	0.002136851395921401
ti|1125630|org|Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	2.019614621499763e-06	0.00013471454452547964	29.0	0.00013471454452547964	0.0	6.22801523656266e-06	0.00010582874834818563	22.78175465691392	0.00010219724067450178	6.038927858038742e-05
ti|554290|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str.	4.1306031091493225e-07	1.3935987364704789e-05	3.0	1.3935987364704789e-05	0.0	9.905490644193752e-05	0.0024951728253081703	537.1358541040898	2.7871974729409577e-05	0.03752032331490686
ti|321314|org|Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str.	2.6068373488000357e-07	0.00018116783574116226	39.0	0.00018116783574116226	0.0	5.65821459811006e-06	0.004002368827172467	861.5899374254169	0.00019510382310586704	0.05337483160681934
ti|1267753|org|Salmonella_enterica_subsp._enterica_serovar_Javiana_str.	5.717160674457582e-08	1.3935987364704789e-05	3.0	1.3935987364704789e-05	0.0	0.00011468389243704393	0.0024849518820390906	534.935591646555	2.3226645607841314e-05	0.038235703999628376
ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain	1.5038793629125453e-08	1.3935987364704789e-05	3.0	1.3935987364704789e-05	0.0	7.906218531091872e-06	0.003977672655022052	856.2735924465971	3.251730385097784e-05	0.055562781623078
