Total Number of Aligned Reads:	212750	Total Number of Mapped Genomes:	16128
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|591020|org|Shigella_flexneri_2002017	0.5985738183808971	0.7224864864864865	153709.0	0.7223078730904818	0.00017861339600470035	0.3358095415307974	0.1635910503321241	34803.9959581594	0.01992009400705053	0.5798730904817861
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.1099447565923931	0.010350176263219742	2202.0	0.01027027027027027	7.990599294947121e-05	0.1622974430865415	0.12029655919722698	25593.09296921004	0.006068155111633372	0.5467779083431258
ti|655817|org|Escherichia_coli_ABU_83972	0.08796742202402577	0.2243948296122209	47740.0	0.22437602820211516	1.880141010575793e-05	0.08716215605098178	0.2231160074125689	47467.93057702403	0.22205405405405407	0.028408930669800235
ti|198214|org|Shigella_flexneri_2a_str._301	0.06867037859424655	0.005339600470035253	1136.0	0.005306698002350176	3.290246768507638e-05	0.13244290573462794	0.11499915419753023	24466.070055524557	0.005264394829612221	0.508737955346651
ti|287|org|Pseudomonas_aeruginosa	0.02126096737031555	0.001565217391304348	333.0	0.001565217391304348	0.0	0.006834138926491254	0.0005753979214138939	122.41590778080594	0.0001927144535840188	0.002387779083431257
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.017674674367332707	0.003116333725029377	663.0	0.0031022326674500587	1.4101057579318449e-05	0.014250155800292449	0.007363519814936536	1566.588840627748	0.0019318448883666275	0.10280611045828437
ti|562|org|Escherichia_coli	0.016796412347821556	0.004775558166862514	1016.0	0.004742655699177438	3.290246768507638e-05	0.012851723513302913	0.007233690996371071	1538.9677594779453	0.003600470035252644	0.055262044653349
ti|344610|org|Escherichia_coli_53638	0.015298011810503337	0.003191539365452409	679.0	0.003055229142185664	0.00013631022326674502	0.025380195125505677	0.004387370725196607	933.413121785578	0.002199764982373678	0.017438307873090482
ti|373384|org|Shigella_flexneri_5_str._8401	0.0143360148292822	0.0023642773207990598	503.0	0.0023595769682726205	4.700352526439483e-06	0.06526184617684497	0.08032447903748079	17089.032915224037	0.002317273795534665	0.41872150411280845
ti|300269|org|Shigella_sonnei_Ss046	0.008801781713869661	0.0027215041128084605	579.0	0.002707403055229142	1.4101057579318449e-05	0.03282961755249709	0.013132760146657173	2793.9947212013135	0.00227027027027027	0.12237367802585195
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.00563508506272338	0.0014383078730904819	306.0	0.0014383078730904819	0.0	0.0029769626414039374	0.0047452789344341285	1009.5580933008608	0.0011703877790834312	0.0869894242068155
ti|42897|org|Shigella_flexneri_2a	0.004773686142290445	0.0005311398354876616	113.0	0.0005311398354876616	0.0	0.01189931175796418	0.0032618870584904115	693.966471693835	0.0011139835487661575	0.014096357226792009
ti|409438|org|Escherichia_coli_SE11	0.004281923939271959	0.0009165687426556992	195.0	0.0009165687426556992	0.0	0.0035660339138309954	0.006299962104512457	1340.3169377350252	0.0007567567567567568	0.09700117508813161
ti|331111|org|Escherichia_coli_E24377A	0.0038741453894827363	0.00040893066980023503	87.0	0.00040893066980023503	0.0	0.002643648019735692	0.005636310108911433	1199.1249756709074	0.000282021151586369	0.09750411280846064
ti|300268|org|Shigella_boydii_Sb227	0.003741394246461374	0.0015417156286721505	328.0	0.001537015276145711	4.700352526439483e-06	0.016207397031410956	0.013025545171074937	2771.184735146193	0.001809635722679201	0.12155111633372503
ti|550|org|Enterobacter_cloacae	0.0031314133362009867	0.0002209165687426557	47.0	0.0002209165687426557	0.0	0.0035691197793448802	0.00038713414688752165	82.36278975032023	0.00021621621621621621	0.0017062279670975323
ti|623|org|Shigella_flexneri	0.0024988081142901376	0.0003055229142185664	65.0	0.0003055229142185664	0.0	0.008377755646917031	0.006543132934792983	1392.051531877207	0.00034782608695652176	0.0430599294947121
ti|910348|org|Escherichia_coli_P12b	0.0020865099907915003	0.0010246768507638072	218.0	0.0010246768507638072	0.0	0.002091061420210951	0.006248236161032425	1329.3122432596485	0.0010011750881316098	0.0919764982373678
ti|199310|org|Escherichia_coli_CFT073	0.0018477218598284037	0.0005217391304347826	111.0	0.0005217391304347826	0.0	0.0020477936017674774	0.0016358109379312792	348.01877704487964	0.00040893066980023503	0.028695652173913042
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.0014205202303367124	0.0017156286721504114	365.0	0.0017156286721504114	0.0	0.0014284485118079035	0.004522001721156698	962.0558661760874	0.0015135135135135136	0.05915393654524089
ti|10874|org|Shigella_phage_SfX	0.0011623013796363908	0.00015511163337250295	33.0	0.00015041128084606345	4.700352526439483e-06	0.0030284028078103936	0.0005071995036306845	107.90669439742814	0.00039482961222091656	0.0036474735605170386
ti|1134782|org|Escherichia_coli_O104:H4_str._2009EL-2050	0.0009904932674669167	0.000282021151586369	60.0	0.000282021151586369	0.0	0.010646471770657048	0.007100895834084348	1510.715588701445	0.0010951821386603995	0.10969682726204465
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.0009365881731104956	0.0008930669800235018	190.0	0.0008930669800235018	0.0	0.0081271893674434	0.007360240409180719	1565.891147053198	0.0015323149236192715	0.10424441833137485
ti|1147157|org|Enterobacterial_phage_mEp234	0.000613310208154432	0.00015981198589894242	34.0	0.00015981198589894242	0.0	0.0003393559657736933	7.36388562475519e-05	15.666666666666664	3.290246768507638e-05	7.050528789659224e-05
ti|566546|org|Escherichia_coli_W	0.0005822694691030246	0.0020023501762632197	426.0	0.0020023501762632197	0.0	0.0008613547298113023	0.007582707836110217	1613.2210921324486	0.0017203290246768507	0.09759811985898942
ti|344609|org|Shigella_boydii_CDC_3083-94	0.0004750229401611199	0.0004418331374853114	94.0	0.0004371327849588719	4.700352526439483e-06	0.00065451989412404	0.008276802938051456	1760.8898250704474	0.0005170387779083431	0.09894242068155111
ti|316407|org|Escherichia_coli_str._K-12_substr._W3110	0.00039000798364553573	7.520564042303173e-05	16.0	7.520564042303173e-05	0.0	0.0003939985158524625	0.004005406039209641	852.1501348418511	4.700352526439483e-05	0.08416451233842538
ti|696406|org|Escherichia_coli_UMNK88	0.00034249840152584214	0.00021621621621621621	46.0	0.00021621621621621621	0.0	0.0009804754753587669	0.00452227402393525	962.1137985922245	0.00022561692126909518	0.086524089306698
ti|585055|org|Escherichia_coli_55989	0.00033064453412251943	0.00014571092831962398	31.0	0.00014571092831962398	0.0	0.0018479028858274125	0.005802010885166536	1234.3778158191806	0.00013631022326674502	0.10295652173913043
ti|413997|org|Escherichia_coli_B_str._REL606	0.00029445339651541286	0.00045123384253819036	96.0	0.00045123384253819036	0.0	0.0007428108137429598	0.004757704240999514	1012.2015772726468	0.00047473560517038776	0.08720094007050529
ti|316385|org|Escherichia_coli_str._K-12_substr._DH10B	0.00017647797774381183	0.00016451233842538192	35.0	0.00016451233842538192	0.0	0.00018167101665838198	0.004050217972623185	861.6838736755826	0.00014571092831962398	0.0865475910693302
ti|585056|org|Escherichia_coli_UMN026	0.0001568243517100314	0.0001927144535840188	41.0	0.0001927144535840188	0.0	0.0029595726148232988	0.002407958200049518	512.293107060535	0.0002491186839012926	0.04146650998824912
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.00015075109884814592	0.00035252643948296123	75.0	0.00035252643948296123	0.0	0.00029498758168906007	0.0006354570318148117	135.1934835186012	0.0005781433607520564	0.001809635722679201
ti|1267599|org|Bacillus_sp._SXB	0.0001351168728063491	0.00010340775558166862	22.0	0.00010340775558166862	0.0	0.00013511687280636157	0.00010340775558166862	22.0	0.00010340775558166862	0.0
ti|469008|org|Escherichia_coli_BL21(DE3)	0.00012836029142446081	0.00013160987074030552	28.0	0.00013160987074030552	0.0	0.002930598890452611	0.004733548855865143	1007.0625190853093	0.0008037602820211516	0.08462044653349002
ti|573235|org|Escherichia_coli_O26:H11_str._11368	9.770968435757863e-05	0.00034312573443008224	73.0	0.00034312573443008224	0.0	0.0032363472290884636	0.006643175152362934	1413.3355136652142	0.0002491186839012926	0.10332314923619272
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	8.278485796801507e-05	0.0026839012925969448	571.0	0.0026839012925969448	0.0	0.0017722329409899625	0.004386221396465271	933.1686020979864	0.0028766157461809637	0.024700352526439484
ti|1086030|org|Shigella_flexneri_5a_str._M90T	7.450337164701583e-05	4.700352526439483e-05	10.0	4.700352526439483e-05	0.0	0.0003829038829756122	0.006645657463348104	1413.8636253273091	0.00031492361927144537	0.033602820211515866
ti|405955|org|Escherichia_coli_APEC_O1	5.1898666148203415e-05	0.000282021151586369	60.0	0.000282021151586369	0.0	0.0001261036902047892	0.001099297642749516	233.87557349495955	0.00017391304347826088	0.023764982373678026
ti|621|org|Shigella_boydii	4.548178117483284e-05	4.700352526439483e-06	1.0	4.700352526439483e-06	0.0	0.0016418377949219919	0.000872576674735527	185.64068754998337	0.00018801410105757932	0.010796709753231493
ti|66284|org|Shigella_phage_SfII	4.5141490048044767e-05	7.990599294947121e-05	17.0	7.990599294947121e-05	0.0	4.5141493845354984e-05	7.990599294947121e-05	17.0	7.990599294947121e-05	0.0
ti|615|org|Serratia_marcescens	3.3991765592248194e-05	4.700352526439483e-06	1.0	4.700352526439483e-06	0.0	0.000653605004362448	9.538853485136184e-05	20.29391078962723	8.930669800235018e-05	0.0010199764982373677
ti|1147148|org|Enterobacteria_phage_HK629	2.1959083081682648e-05	0.00012690951821386605	27.0	0.00012690951821386605	0.0	2.831134406031723e-05	0.00016914740827784304	35.98611111111111	8.930669800235018e-05	0.00020681551116333725
ti|885276|org|Escherichia_coli_str._clone_D_i2	1.625575844627537e-05	0.00011280846063454759	24.0	0.00011280846063454759	0.0	0.0012508669022503625	0.0012194948448391895	259.4475282395376	0.0002491186839012926	0.025682726204465336
ti|714962|org|Escherichia_coli_IHE3034	1.0657417836862904e-05	1.4101057579318449e-05	3.0	1.4101057579318449e-05	0.0	7.489763923514764e-05	0.0008047658579572724	171.2139362804097	9.400705052878966e-06	0.022274970622796708
ti|1033813|org|Escherichia_coli_NA114	7.201763178817025e-06	0.0002209165687426557	47.0	0.0002209165687426557	0.0	0.0004836289561384054	0.0012935320334694592	275.19894012062747	0.00023031727379553468	0.025861339600470035
ti|595495|org|Escherichia_coli_KO11FL	6.70748457702596e-06	6.580493537015276e-05	14.0	6.580493537015276e-05	0.0	0.000253702811054095	0.0057975239336340335	1233.4232168806407	0.00012690951821386605	0.10354406580493537
ti|316401|org|Escherichia_coli_ETEC_H10407	5.719232236997925e-06	9.400705052878966e-05	20.0	9.400705052878966e-05	0.0	9.332089401607579e-05	0.00418608789381343	890.5901994088073	7.050528789659224e-05	0.08571092831962397
ti|431946|org|Escherichia_coli_SE15	4.716180624662323e-06	0.0005687426556991775	121.0	0.0005687426556991775	0.0	0.0002957478168184526	0.0016909834834066063	359.75673609475547	0.0005828437132784959	0.025475910693301997
ti|300267|org|Shigella_dysenteriae_Sd197	4.15364805150916e-06	0.00021621621621621621	46.0	0.00021621621621621621	0.0	0.0010206350775285376	0.005057793617293264	1076.045592079142	0.0002538190364277321	0.0557978848413631
ti|932733|org|Salmonella_enterica_subsp._enterica_serovar_Bardo	2.9342816337377405e-06	1.880141010575793e-05	4.0	1.880141010575793e-05	0.0	1.1100011949262652e-05	3.9952996474735605e-05	8.5	3.760282021151586e-05	9.400705052878966e-06
ti|1147154|org|Enterobacteria_phage_mEpX2	2.007599790282011e-06	3.290246768507638e-05	7.0	3.290246768507638e-05	0.0	5.714835081099767e-05	4.582843713278496e-05	9.75	3.760282021151586e-05	2.3501762632197415e-05
ti|590739|org|Salmonella_phage_g341c	1.6240774476618039e-06	4.700352526439483e-06	1.0	4.700352526439483e-06	0.0	8.242881889592785e-05	3.9952996474735605e-05	8.5	3.760282021151586e-05	4.700352526439483e-06
ti|591946|org|Escherichia_coli_LF82	1.4343142036010429e-06	4.2303172737955346e-05	9.0	4.2303172737955346e-05	0.0	0.00023505804149892337	0.0010657677652625396	226.74209205960528	8.930669800235018e-05	0.022980023501762634
ti|585054|org|Escherichia_fergusonii_ATCC_35469	1.350856412981496e-06	1.4101057579318449e-05	3.0	1.4101057579318449e-05	0.0	0.0004619557725980214	0.0006578625272958511	139.96025268219233	0.00017861339600470035	0.008686251468860165
ti|362663|org|Escherichia_coli_536	4.5206539325581995e-07	5.6404230317273795e-05	12.0	5.170387779083431e-05	4.700352526439483e-06	1.4671594632730732e-06	0.001104927742414274	235.0733771986368	0.00010810810810810811	0.025038777908343125
ti|213660|org|Cloning_vector_pHSG415r	3.263362494641726e-07	5.170387779083431e-05	11.0	5.170387779083431e-05	0.0	4.0074793506629183e-07	5.239445264597693e-05	11.146919800431592	5.170387779083431e-05	9.400705052878966e-06
ti|583354|org|Psychrobacter_sp._PGS63	1.648286298757218e-07	1.4101057579318449e-05	3.0	1.4101057579318449e-05	0.0	8.3592769382912e-08	2.5448066357017907e-05	5.41407611745556	1.880141010575793e-05	4.700352526439483e-05
ti|585395|org|Escherichia_coli_O103:H2_str._12009	1.2140951255132766e-07	8.930669800235018e-05	19.0	8.930669800235018e-05	0.0	4.786613144684299e-05	0.005802254565551179	1234.4296588210134	5.6404230317273795e-05	0.10479435957696827
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	7.911151238696972e-08	3.760282021151586e-05	8.0	3.760282021151586e-05	0.0	8.37628258658569e-06	0.0001012259043291385	21.535811146024216	3.760282021151586e-05	0.001198589894242068
ti|1147153|org|Enterobacteria_phage_mEpX1	1.9457353262702795e-08	4.700352526439483e-06	1.0	4.700352526439483e-06	0.0	5.467146020119903e-06	3.525264394829612e-06	0.75	4.700352526439483e-06	4.700352526439483e-06
ti|1048689|org|Escherichia_coli_O55:H7_str._RM12579	1.3128456551058954e-08	2.3501762632197415e-05	5.0	2.3501762632197415e-05	0.0	0.0014294293594927828	0.0034763528505321203	739.5940689507086	0.0003854289071680376	0.059191539365452406
ti|477962|org|Tn7_transposase_expression_vector_pTNS3	8.64981380924052e-09	4.700352526439483e-06	1.0	4.700352526439483e-06	0.0	0.0025796382526091107	0.00020101035870991456	42.76495381553432	8.460634547591069e-05	0.0006298472385428907
ti|1160717|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._B182	7.637003603123934e-09	3.760282021151586e-05	8.0	3.760282021151586e-05	0.0	8.778377846149338e-09	6.536344605702636e-05	13.906073148632357	5.6404230317273795e-05	0.00013160987074030552
ti|432200|org|Enterobacteria_phage_HK542	7.373213243711404e-09	4.700352526439483e-06	1.0	4.700352526439483e-06	0.0	5.365674142404354e-05	1.1750881316098707e-05	2.5	1.4101057579318449e-05	0.0
