Total Number of Aligned Reads:	209922	Total Number of Mapped Genomes:	11132
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|591020|org|Shigella_flexneri_2002017	0.5532908261715146	0.7139270776764703	149869.0	0.7128647783462428	0.0010622993302274177	0.2949338641047976	0.12927588630975603	27137.852605916603	0.014310077076247369	0.539038309467326
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.1627277913833132	0.016063109154828937	3372.0	0.015310448642829242	0.0007526605119996951	0.19504571296454187	0.12034733413590933	25263.553076478358	0.007879117005363897	0.5480940539819552
ti|198214|org|Shigella_flexneri_2a_str._301	0.09990612974315365	0.011928240012957194	2504.0	0.011713874677261078	0.0002143653356961157	0.17342048962470663	0.1482179231214236	31114.202857495482	0.008784215089414163	0.5587456293289889
ti|655817|org|Escherichia_coli_ABU_83972	0.09552519906450893	0.22809900820304685	47883.0	0.2280894808547937	9.527348253160698e-06	0.09461088553385055	0.2269782004018809	47647.71778476364	0.22590771810481988	0.02959194367431713
ti|344610|org|Escherichia_coli_53638	0.02059848948184824	0.0038157029753908595	801.0	0.0037633025599984756	5.240041539238384e-05	0.031007796880399285	0.005032994368069063	1056.5362437337938	0.0026057297472394506	0.01811625270338507
ti|562|org|Escherichia_coli	0.017025469138309032	0.005097131315440973	1070.0	0.005087603967187813	9.527348253160698e-06	0.013745309354910423	0.007603644719530561	1596.1723068132944	0.004011013614580654	0.055315783957851014
ti|373384|org|Shigella_flexneri_5_str._8401	0.01401411497413151	0.001733977382075247	364.0	0.001733977382075247	0.0	0.06547866886979753	0.08376627635250687	17584.384264470948	0.0017911414715942112	0.4308647974009394
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.006943215621455475	0.0013290650813159173	279.0	0.0013290650813159173	0.0	0.0038417607061738517	0.004743022855465428	995.6648438650136	0.0010337172854679357	0.08788978763540743
ti|300268|org|Shigella_boydii_Sb227	0.005543779568908323	0.0023437276702775317	492.0	0.002291327254885148	5.240041539238384e-05	0.01740847177439823	0.014483558394497976	3040.4175452898044	0.0019435790436447824	0.12645172969007537
ti|300269|org|Shigella_sonnei_Ss046	0.0037221619210976637	0.002038852526176389	428.0	0.0020245615037966483	1.4291022379741046e-05	0.034184708427803634	0.013502281905046152	2834.4260220710985	0.0023818370632901742	0.12351730642810187
ti|199310|org|Escherichia_coli_CFT073	0.002871411786898729	0.0005954592658225436	125.0	0.0005954592658225436	0.0	0.0029946154571235824	0.0017491708157774625	367.1894359896365	0.0005049494574175169	0.02922037709244386
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.002738577110708902	0.0013862291708348815	291.0	0.0013814654967083011	4.763674126580349e-06	0.007986540595354714	0.007072798893333368	1484.7360892863273	0.00122902792465773	0.10356703918598337
ti|42897|org|Shigella_flexneri_2a	0.0022864040383052827	0.00036680290774668685	77.0	0.00035727555949352616	9.527348253160698e-06	0.007846452708226589	0.002435041638935182	511.16881092855124	0.0008002972532654986	0.0106420479987805
ti|623|org|Shigella_flexneri	0.0022648548326103263	0.0002620020769619192	55.0	0.0002620020769619192	0.0	0.007099641919067351	0.006554145668647133	1375.8593670537434	0.00031440249235430303	0.043068377778412936
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.0020270868990903547	0.001814959842227113	381.0	0.001814959842227113	0.0	0.0021158699546343436	0.004562901792151689	957.853470012067	0.001557721439391774	0.059455416773849336
ti|910348|org|Escherichia_coli_P12b	0.001268204254296264	0.0008241156238984003	173.0	0.0008241156238984003	0.0	0.001271439449289502	0.005882412446909619	1234.847785680161	0.0007669515343794362	0.09106239460370995
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.0011261984578633975	0.00046684006440487417	98.0	0.00046684006440487417	0.0	0.007959326193851002	0.006477527878056355	1359.7756072173463	0.0008717523651642038	0.10180447975914864
ti|1134782|org|Escherichia_coli_O104:H4_str._2009EL-2050	0.0010716597524449566	8.574613427844627e-05	18.0	8.098246015186593e-05	4.763674126580349e-06	0.005409847118095446	0.006321317093728047	1326.983526949579	9.527348253160698e-05	0.1096693057421328
ti|316407|org|Escherichia_coli_str._K-12_substr._W3110	0.0008854018442742678	8.574613427844627e-05	18.0	8.574613427844627e-05	0.0	0.0008695418090789102	0.004074407223124978	855.3077130928417	5.240041539238384e-05	0.08495060069930736
ti|585055|org|Escherichia_coli_55989	0.0006652865907057522	6.192776364554454e-05	13.0	6.192776364554454e-05	0.0	0.002566607571739083	0.00577969342488894	1213.284803139536	5.240041539238384e-05	0.10437686378750202
ti|566546|org|Escherichia_coli_W	0.0005946536924521949	0.0008145882756452397	171.0	0.0008145882756452397	0.0	0.0006542200786335752	0.0063721914905371674	1337.6631820765433	0.0007002600966073113	0.09867950953211192
ti|344609|org|Shigella_boydii_CDC_3083-94	0.00048506463507601435	0.0005859319175693829	123.0	0.0005811682434428026	4.763674126580349e-06	0.0007607377950613253	0.008779532977353236	1843.017121671946	0.0007240784672402131	0.10028486771276951
ti|409438|org|Escherichia_coli_SE11	0.0004376413135833699	0.0002762930993416602	58.0	0.0002762930993416602	0.0	0.0007929972228523862	0.006093663673293622	1279.1940656251438	0.00030487514410114234	0.09841750745515
ti|413997|org|Escherichia_coli_B_str._REL606	0.000283798180419385	0.0005144768056706777	108.0	0.0005144768056706777	0.0	0.0010366165811321148	0.0049227357039083475	1033.3905244358482	0.0005764045693162222	0.08803746153333143
ti|220341|org|Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18	0.00027616733833166717	0.0003429845371137851	72.0	0.0003429845371137851	0.0	0.00040726680347580064	0.0006379629088495536	133.92244975151598	0.0005954592658225436	0.0022579815359990854
ti|573235|org|Escherichia_coli_O26:H11_str._11368	0.0002539468144131638	0.0003906212783795886	82.0	0.0003906212783795886	0.0	0.003653883722891351	0.006625118350049824	1390.7580942791592	0.00030487514410114234	0.10373853145454026
ti|469008|org|Escherichia_coli_BL21(DE3)	0.00023020700306167254	0.00016196492030373186	34.0	0.00016196492030373186	0.0	0.003357322634545122	0.004832854280999496	1014.5224363759763	0.0007621878602528558	0.0860795914673069
ti|585056|org|Escherichia_coli_UMN026	0.00021753141285719442	0.00018101961681005327	38.0	0.00018101961681005327	0.0	0.0017759380878633545	0.002356416711877627	494.6637089907752	0.00020960166156953536	0.03994340755137622
ti|55884|org|Enterobacteria_phage_SfV	0.00012126123275945383	5.240041539238384e-05	11.0	5.240041539238384e-05	0.0	0.0002870634353679275	7.69333371442726e-05	16.14999999999999	5.240041539238384e-05	0.00010956450491134803
ti|316385|org|Escherichia_coli_str._K-12_substr._DH10B	0.00011854016968490344	0.0001667285944303122	35.0	0.0001667285944303122	0.0	0.00012925204261633958	0.004172250797853706	875.8472319870456	0.0001667285944303122	0.08867103019216661
ti|574521|org|Escherichia_coli_O127:H6_str._E2348/69	0.00010194063516646336	0.002224635817113023	467.0	0.002224635817113023	0.0	0.0006728280816433048	0.0036700402374272986	770.4221867212134	0.0022484541877459247	0.024370956831585064
ti|1086030|org|Shigella_flexneri_5a_str._M90T	8.132926231869072e-05	2.3818370632901744e-05	5.0	2.3818370632901744e-05	0.0	0.00023848155210889243	0.00665475749044058	1396.9800019082675	0.00035727555949352616	0.032388220386619794
ti|1267599|org|Bacillus_sp._SXB	7.649517231727628e-05	7.621878602528558e-05	16.0	7.621878602528558e-05	0.0	7.649517231730732e-05	7.652611983990367e-05	16.06451612903226	7.621878602528558e-05	9.527348253160698e-06
ti|696406|org|Escherichia_coli_UMNK88	7.382892596521782e-05	0.00016196492030373186	34.0	0.00016196492030373186	0.0	0.0008213424065428473	0.004594482490369046	964.4829533432509	0.0001857832909366336	0.08835662769981231
ti|1225789|org|Enterobacteria_phage_SfI	4.942307396735262e-05	8.098246015186593e-05	17.0	8.098246015186593e-05	0.0	0.0007192362084657948	0.00011380644330025524	23.890476190476182	8.574613427844627e-05	0.0001381465496708301
ti|885276|org|Escherichia_coli_str._clone_D_i2	4.520445137514046e-05	6.669143777212488e-05	14.0	6.669143777212488e-05	0.0	0.0015549480532439722	0.0012087195662521682	253.73682878678767	0.00025247472870875846	0.026152570954926114
ti|405955|org|Escherichia_coli_APEC_O1	1.9440281361876777e-05	0.00013338287554424976	28.0	0.00013338287554424976	0.0	0.0001670010003889556	0.0010180025315697783	213.70112743219102	0.00016196492030373186	0.02362305999371195
ti|1033813|org|Escherichia_coli_NA114	9.909184507682146e-06	0.00021912900982269605	46.0	0.00021912900982269605	0.0	0.0005410662849333491	0.0013396948791148469	281.2314284135469	0.00023818370632901746	0.026405045683634873
ti|316401|org|Escherichia_coli_ETEC_H10407	9.555939886260623e-06	0.00012385552729108907	26.0	0.00012385552729108907	0.0	0.000122862394630995	0.00439721801470801	923.0728000835348	9.050980840502663e-05	0.0883804460704452
ti|431946|org|Escherichia_coli_SE15	8.764857051893601e-06	0.0006097502882022847	128.0	0.0006097502882022847	0.0	0.00032390288555977025	0.001748419583450143	367.03173579702093	0.0006335686588351864	0.026314535875229847
ti|300267|org|Shigella_dysenteriae_Sd197	1.5875559177117615e-06	0.00017149226855689255	36.0	0.00017149226855689255	0.0	0.0012560749682514502	0.005213074510659774	1094.339027426721	0.0001953106391897943	0.05625422776078734
ti|362663|org|Escherichia_coli_536	4.7547639938669784e-07	3.810939301264279e-05	8.0	3.810939301264279e-05	0.0	2.9527854065685257e-06	0.0010839030482488075	227.5350956944862	5.7164089518964185e-05	0.026038242775888187
ti|595495|org|Escherichia_coli_KO11FL	4.7181420717491193e-07	3.810939301264279e-05	8.0	3.810939301264279e-05	0.0	4.887161164178864e-05	0.005753143318965039	1207.7113518037788	5.7164089518964185e-05	0.10565352845342556
ti|1274814|org|Escherichia_coli_APEC_O78	4.2546344081877607e-07	3.810939301264279e-05	8.0	3.810939301264279e-05	0.0	3.745671651526747e-05	0.0059027030695918544	1239.1072337748612	2.8582044759482093e-05	0.09821743314183363
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	4.0306983618054394e-08	1.9054696506321396e-05	4.0	1.9054696506321396e-05	0.0	4.124831191469382e-06	0.00012701188439337828	26.662588795626753	1.9054696506321396e-05	0.002377073389163594
ti|1160717|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._B182	1.656799871573539e-08	9.527348253160698e-05	20.0	9.527348253160698e-05	0.0	2.8049494963962173e-08	0.0001436794615927043	30.16147993646367	0.00013338287554424976	0.00011432817903792837
ti|331111|org|Escherichia_coli_E24377A	9.489150355436998e-09	1.9054696506321396e-05	4.0	1.9054696506321396e-05	0.0	5.175637813234909e-05	0.0055665912040875525	1168.5499587444672	3.334571888606244e-05	0.09891292956431437
