Total Number of Aligned Reads:	124730	Total Number of Mapped Genomes:	7651
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.3718866591716219	0.8699911809508538	108514.0	0.8618215345145515	0.008169646436302413	0.3227895567485383	0.3100171552386707	38668.439772919395	0.042034795157540286	0.7040808145594484
ti|1280|org|Staphylococcus_aureus	0.24911776847504863	0.06055479836446725	7553.0	0.05539164595526337	0.005163152409203881	0.2425108129440778	0.0524994569237243	6548.257262096132	0.04342179106870841	0.11000561212218392
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.10404893947602341	0.014294876934177823	1783.0	0.014030305459793153	0.0002645714743846709	0.10602629610182644	0.03665896991860769	4572.473317947937	0.014431171330072958	0.31592239236751385
ti|282459|org|Staphylococcus_aureus_subsp._aureus_MSSA476	0.06562383595212484	0.007343862743526016	916.0	0.00733584542612042	8.017317405596087e-06	0.03997173975954956	0.04167411259570159	5198.01206406186	0.005700312675378818	0.3108233784975547
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.058230708969061754	0.0102461316443518	1278.0	0.010230097009540608	1.6034634811192175e-05	0.043903920792848446	0.024228990806948826	3022.082023350727	0.005836607071273952	0.2581415858253828
ti|186153|org|Staphylococcus_phage_phi13	0.027705876762946557	0.006654373446644752	830.0	0.006654373446644752	0.0	0.016862495318915285	0.004174929886598672	520.7390047554524	0.0033672733103503566	0.0023651086346508456
ti|1074252|org|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0.024811289799223916	0.005042892648119939	629.0	0.005042892648119939	0.0	0.025762770283569044	0.02365534916478186	2950.5317013232416	0.004778321173735268	0.17555519923033752
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.018110946655728318	0.0033833079451615487	422.0	0.0033833079451615487	0.0	0.0178676160577615	0.004222764336692073	526.7053957156023	0.003575723562895855	0.00832197546700874
ti|1282|org|Staphylococcus_epidermidis	0.015390739199815236	0.0016194981159304096	202.0	0.0016114807985248135	8.017317405596087e-06	0.014106938267859106	0.00247857615692229	309.15280405291725	0.0014832037200352762	0.006606269542211176
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	0.007629926563219256	0.001723723242203159	215.0	0.001723723242203159	0.0	0.00962175716380087	0.02408970622098985	3004.709056944064	0.0018920869077206767	0.30352761965846226
ti|1028799|org|Staphylococcus_aureus_subsp._aureus_VC40	0.007000117762257153	0.0007536278361260322	94.0	0.0007536278361260322	0.0	0.025933043680424685	0.025847400689093348	3223.946287950613	0.003976589433175659	0.3034634811192175
