Total Number of Aligned Reads:	129700	Total Number of Mapped Genomes:	7553
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1280|org|Staphylococcus_aureus	0.34360893386841446	0.34599845797995377	44876.0	0.31451040863531227	0.03148804934464148	0.29306710553726173	0.06076705328797404	7881.486811450233	0.045728604471858135	0.1589745566692367
ti|663951|org|Staphylococcus_aureus_subsp._aureus_TW20	0.14809726369063012	0.48909020817270626	63435.0	0.32711642251349266	0.16197378565921358	0.06781748137043606	0.08283514764585889	10743.718649667899	0.00520431765612953	0.6133461835003855
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.11727775927487788	0.07951426368542791	10313.0	0.03438704703161141	0.0451272166538165	0.12164035370065045	0.054190989738190615	7028.571369043323	0.013369313801079414	0.4776946800308404
ti|1028799|org|Staphylococcus_aureus_subsp._aureus_VC40	0.07416047626623933	0.009313801079414033	1208.0	0.007594448727833462	0.0017193523515805706	0.0562020728284632	0.04899501415820998	6354.653336319835	0.006522744795682344	0.47403238242097145
ti|1229492|org|Staphylococcus_aureus_08BA02176	0.053556927780777565	0.011534309946029298	1496.0	0.011418658442559753	0.0001156515034695451	0.03768722926995952	0.013499387333163998	1750.8705371113706	0.00661526599845798	0.10266769468003084
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.04329912459276786	0.007887432536622977	1023.0	0.007702390131071704	0.00018504240555127218	0.049031575962279285	0.02013379872364882	2611.353694457252	0.006183500385505011	0.22508095605242867
ti|548473|org|Staphylococcus_aureus_subsp._aureus_TCH60	0.02469835800765555	0.0027370855821125676	355.0	0.0026908249807247493	4.6260601387818045e-05	0.03766033583431844	0.03058062957227029	3966.307655523457	0.0025443330763299924	0.19890516576715497
ti|984892|org|Staphylococcus_pseudintermedius_ED99	0.01736187425429495	0.0019660755589822666	255.0	0.0018272937548188127	0.00013878180416345413	0.026892691213739165	0.003327564870226434	431.5851636683685	0.0017039321511179645	0.009267540478026214
ti|985002|org|Staphylococcus_aureus_subsp._aureus_MSHR1132	0.0163455198317529	0.005474171164225135	710.0	0.005427910562837317	4.6260601387818045e-05	0.015999823102779562	0.005561220740302749	721.2903300172666	0.0051811873554356205	0.008257517347725521
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.015116987907582704	0.003060909791827294	397.0	0.0029915188897455666	6.939090208172706e-05	0.01815119824287437	0.023909630475366598	3101.0790726550476	0.003361603700848111	0.27489591364687743
ti|874268|org|Staphylococcus_phage_phi7247PVL	0.015061567044845023	0.0047725520431765615	619.0	0.004764841942945258	7.710100231303006e-06	0.010082357932914144	0.0036414787897276458	472.29979902767565	0.003986121819583655	0.00133384734001542
ti|283734|org|Staphylococcus_pseudintermedius	0.014778037237999768	0.0014032382420971472	182.0	0.0014032382420971472	0.0	0.014778037675897507	0.002183947776647701	283.2580266312068	0.0014032382420971472	0.004695451040863531
ti|1195068|org|Staphylococcus_phage_StauST398-1	0.01450039463864567	0.0037779491133384732	490.0	0.003685427910562837	9.252120277563609e-05	0.009637342523818345	0.0026085897130406184	338.33408578136823	0.0019506553585196607	0.0015728604471858135
ti|186153|org|Staphylococcus_phage_phi13	0.013993684876515089	0.002274479568234387	295.0	0.002274479568234387	0.0	0.012455122498936324	0.0021429056860528626	277.9348674810563	0.002089437162683115	0.0012181958365458751
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	0.01150579710367774	0.0018195836545875097	236.0	0.0018041634541249036	1.5420200462606013e-05	0.011532384728121436	0.04264945806584289	5531.634711139823	0.0014186584425597533	0.46620663068619894
ti|359786|org|Staphylococcus_aureus_subsp._aureus_JH9	0.007467560716889857	0.0013261372397841173	172.0	0.0012567463377023901	6.939090208172706e-05	0.0023650983922710953	0.013564685219410628	1759.3396729575586	0.0002929838087895143	0.23185813415574402
ti|1006543|org|Staphylococcus_aureus_subsp._aureus_T0131	0.0071447867511602245	0.001287586738627602	167.0	0.0012567463377023901	3.0840400925212025e-05	0.01872926854722175	0.0712528184468688	9241.490552558884	0.0027910562837316884	0.6032228218966846
ti|320848|org|Staphylococcus_phage_88	0.006174627505624839	0.002382420971472629	309.0	0.0023592906707787203	2.3130300693909022e-05	0.00883060799593083	0.00251071926262381	325.6402883623082	0.002120277563608327	0.0014032382420971472
ti|681288|org|Staphylococcus_aureus_subsp._aureus_ED98	0.0056341644004052616	0.0018889745566692366	245.0	0.0018350038550501155	5.397070161912105e-05	0.007854395519192172	0.016576421997125158	2149.961933027133	0.002043176561295297	0.24284502698535082
ti|59506|org|Staphylococcus_phage_85	0.005322814608909589	0.001071703932151118	139.0	0.0010331534309946028	3.855050115651503e-05	0.0032227931067849575	0.0006777442489048341	87.90342908295699	0.0004857363145720894	0.0009020817270624518
ti|1074252|org|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0.005197565682898565	0.0015420200462606013	200.0	0.0014494988434849653	9.252120277563609e-05	0.009507670045090363	0.01247911986800821	1618.541846880665	0.0018118735543562066	0.15324595219737858
ti|685039|org|Staphylococcus_aureus_subsp._aureus_ED133	0.005119922303656645	0.0012798766383962993	166.0	0.0012721665381649962	7.710100231303006e-06	0.005176362376183131	0.0077902326770516814	1010.393178213603	0.001187355435620663	0.09901310717039322
ti|282458|org|Staphylococcus_aureus_subsp._aureus_MRSA252	0.0041607497543879	0.0007324595219737857	95.0	0.0007324595219737857	0.0	0.03596190139789458	0.030179193105267777	3914.2413457532307	0.002575173477255204	0.1984965304548959
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.003706841506375162	0.0034541249036237473	448.0	0.0034541249036237473	0.0	0.0037394848367622944	0.0043176983690962675	560.0054784717859	0.0035312259059367772	0.010871241326137239
ti|282459|org|Staphylococcus_aureus_subsp._aureus_MSSA476	0.0033788416724881074	0.0013955281418658442	181.0	0.0013955281418658442	0.0	0.02804030655627471	0.02134922689178522	2768.994727864543	0.0035389360061680803	0.2541249036237471
ti|379501|org|Staphylococcus_phage_phiMR11	0.003280806839109969	0.00047802621434078643	62.0	0.0004394757131842714	3.855050115651503e-05	0.0036257411741757047	0.0006353923211726174	82.41038405608847	0.00037008481110254436	0.0009483423284502698
ti|333849|org|Enterococcus_faecium_DO	0.002541708985019521	0.0005859676175790286	76.0	0.0005859676175790286	0.0	0.002541708985019521	0.0007342780628433883	95.23586475078746	0.0005859676175790286	0.0014109483423284503
ti|1193156|org|Cloning_vector_pRLBC2	0.002304024716964714	0.0002467232074016962	32.0	0.0002467232074016962	0.0	0.002296181572427311	0.0002501774606238156	32.44801664290888	0.00023901310717039322	0.0002081727062451812
ti|872294|org|Staphylococcus_phage_SAP-26	0.0018614715993805048	0.0003469545104086353	45.0	0.0003392444101773323	7.710100231303006e-06	0.0021992109816533706	0.0004957350336670508	64.29683386661648	0.0002929838087895143	0.0004394757131842714
ti|947066|org|Staphylococcus_phage_TEM126	0.001632061091348983	0.0014880493446414803	193.0	0.0014880493446414803	0.0	0.0016081563595599128	0.0015249768328989609	197.78949522699523	0.0013801079414032383	0.0008018504240555127
ti|1352|org|Enterococcus_faecium	0.001441682039475779	0.0018118735543562066	235.0	0.0018118735543562066	0.0	0.015321847190475666	0.003397461775637513	440.65079230018546	0.0017270624518118736	0.011642251349267541
ti|1155766|org|Enterococcus_faecium_Aus0004	0.0012769319589133665	0.00014649190439475714	19.0	0.00014649190439475714	0.0	0.015653492198956065	0.0014222640400060734	184.46764598878772	0.00015420200462606013	0.006029298380878951
ti|985006|org|Staphylococcus_aureus_subsp._aureus_LGA251	0.001104198434760604	0.001063993831919815	138.0	0.001063993831919815	0.0	0.0019543366610832932	0.007936582279206227	1029.3747216130475	0.001110254433307633	0.1051426368542791
ti|426430|org|Staphylococcus_aureus_subsp._aureus_str._Newman	0.0010666066698862002	0.00030069390902081727	39.0	0.00030069390902081727	0.0	0.001101924254139784	0.043037951753575	5582.022342438678	0.0002929838087895143	0.4920431765612953
ti|1155084|org|Staphylococcus_aureus_subsp._aureus_71193	0.0010149361191311803	0.0013801079414032383	179.0	0.0013801079414032383	0.0	0.0023241523365159084	0.00826013329947552	1071.339288941975	0.0016114109483423285	0.09770239013107171
ti|668618|org|Staphylococcus_phage_P954	0.0009283549802540831	0.00015420200462606013	20.0	0.00015420200462606013	0.0	0.0011924598390114672	0.0005373508302172494	69.69440267917724	0.0001079414032382421	0.002043176561295297
ti|320847|org|Staphylococcus_phage_52A	0.0008850619861988663	0.0005397070161912105	70.0	0.0005397070161912105	0.0	0.0014557982753816785	0.001622964726954703	210.49852508602498	0.001079414032382421	0.001133384734001542
ti|158878|org|Staphylococcus_aureus_subsp._aureus_Mu50	0.0007759036238812549	0.00016191210485736314	21.0	0.00016191210485736314	0.0	0.0009463048366921743	0.01328089084197859	1722.531542204623	0.0002081727062451812	0.23166538164996145
ti|445517|org|Staphylococcus_phage_tp310-3	0.0005885131378516933	0.0001156515034695451	15.0	0.0001156515034695451	0.0	0.0007390732343954593	0.00019239327408014642	24.95340764819499	0.0001156515034695451	0.0009637625289128759
ti|1307|org|Streptococcus_suis	0.0005725256093975098	0.00019275250578257516	25.0	0.00019275250578257516	0.0	0.0004046473630726687	0.00014727275993318395	19.10127696333396	0.00019275250578257516	0.0005397070161912105
ti|561307|org|Staphylococcus_aureus_subsp._aureus_RN4220	0.0005595574112058723	0.00017733230531996917	23.0	0.00017733230531996917	0.0	0.0005595569219629433	0.0005653777114681979	73.32948917742526	0.00016962220508866615	0.005080956052428681
ti|71366|org|Staphylococcus_phage_PVL	0.00046054012722912465	0.00013878180416345413	18.0	0.00013878180416345413	0.0	0.0007943521291621503	0.0002368137574253677	30.71474433807019	0.00018504240555127218	0.0007324595219737857
ti|523796|org|Staphylococcus_aureus_subsp._aureus_ST398	0.0001662205244389492	0.00023901310717039322	31.0	0.00023901310717039322	0.0	0.0026928215502092087	0.007345345363926309	952.6912937012422	0.00023901310717039322	0.10141094834232844
ti|1118959|org|Staphylococcus_aureus_subsp._aureus_M013	0.00014764496764921761	0.0010254433307633	133.0	0.0010254433307633	0.0	0.0055053647636888305	0.008810499722213578	1142.721813971101	0.002336160370084811	0.10491904394757132
ti|320839|org|Staphylococcus_phage_47	0.00014737861183682454	3.855050115651503e-05	5.0	3.855050115651503e-05	0.0	0.0076541389585877235	0.001413915038198333	183.3847804543238	0.0009406322282189669	0.0013107170393215112
ti|130478|org|Staphylococcus_phage_phiSLT	8.394209274824691e-05	6.168080185042405e-05	8.0	6.168080185042405e-05	0.0	0.00025113747358096905	0.00025630651190767297	33.242954594425186	0.00015420200462606013	0.00035466461063993833
ti|1195071|org|Staphylococcus_phage_StauST398-3	7.72071068681868e-05	0.00016191210485736314	21.0	0.00016191210485736314	0.0	8.098473043059526e-05	0.00035731380046285133	46.34359992003182	0.00023901310717039322	0.0006399383191981496
ti|387908|org|Staphylococcus_aureus_phage_phiNM2	7.393761290192189e-05	0.00016191210485736314	21.0	0.00016191210485736314	0.0	0.0007127284151006065	0.00027248628710146235	35.34147143705967	7.710100231303006e-05	0.0008326908249807248
ti|487152|org|Staphylococcus_phage_phiMR25	5.823672803568688e-05	2.3130300693909022e-05	3.0	2.3130300693909022e-05	0.0	0.00031528438072662816	0.00012589918006263414	16.32912365412365	2.3130300693909022e-05	0.0005628373168851195
ti|342451|org|Staphylococcus_saprophyticus_subsp._saprophyticus_ATCC_15305	5.342962800142662e-05	0.0002313030069390902	30.0	0.0002313030069390902	0.0	3.7362267539397035e-05	0.0002092820540912878	27.14388241564003	0.00020046260601387818	0.0005088666152659985
ti|1282|org|Staphylococcus_epidermidis	5.091211455082636e-05	0.0001156515034695451	15.0	0.0001156515034695451	0.0	5.085070682702941e-05	0.001043813029221919	135.38254989008288	5.397070161912105e-05	0.00963762528912876
ti|273036|org|Staphylococcus_aureus_RF122	4.652809221985396e-05	0.0005551272166538165	72.0	0.0005551272166538165	0.0	0.000998787206838639	0.006181336659424508	801.7193647273587	0.0005551272166538165	0.08457979953739399
ti|1290|org|Staphylococcus_hominis	3.751153961963778e-05	1.5420200462606013e-05	2.0	1.5420200462606013e-05	0.0	3.80251724406743e-05	9.892891797034133e-05	12.83108066075327	1.5420200462606013e-05	0.0008789514263685428
ti|1195086|org|Staphylococcus_phage_SA13	2.5482786344070144e-05	7.710100231303006e-05	10.0	7.710100231303006e-05	0.0	0.0008198484501564309	0.0004971649252452656	64.48229080431095	0.00016191210485736314	0.001233616037008481
