Total Number of Aligned Reads:	123800	Total Number of Mapped Genomes:	7250
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|681288|org|Staphylococcus_aureus_subsp._aureus_ED98	0.38501133600560583	0.8456946688206786	104697.0	0.7618336025848143	0.0838610662358643	0.37123993448175	0.13101947850227272	16220.211438581362	0.035589660743134084	0.6383683360258482
ti|1280|org|Staphylococcus_aureus	0.30575174289784623	0.0911308562197092	11282.0	0.08676898222940226	0.004361873990306946	0.30125142373281244	0.05089388393000186	6300.66283053423	0.044038772213247174	0.10819870759289175
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.10154937225361804	0.014991922455573506	1856.0	0.013756058158319871	0.0012358642972536348	0.10349245075154856	0.02941592805441114	3641.691893136099	0.013812600969305332	0.28776252019386106
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.06225217128555288	0.006066235864297253	751.0	0.006050080775444265	1.615508885298869e-05	0.06202165232527165	0.06211574276787953	7689.928954663486	0.005581583198707593	0.5758481421647819
ti|985002|org|Staphylococcus_aureus_subsp._aureus_MSHR1132	0.022506713377951754	0.0055654281098546044	689.0	0.00555735056542811	8.077544426494346e-06	0.02251592025696729	0.0057302602336814865	709.406216929768	0.005387722132471728	0.006106623586429725
ti|685039|org|Staphylococcus_aureus_subsp._aureus_ED133	0.02102429199674092	0.004967689822294023	615.0	0.004943457189014539	2.4232633279483037e-05	0.01685108163905553	0.009908370204190399	1226.6562312787714	0.0029967689822294023	0.10540387722132472
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.015293691339808338	0.008021001615508885	993.0	0.007988691437802908	3.231017770597738e-05	0.01215262894697042	0.02588763903849723	3204.889712965957	0.0053231017770597735	0.2793861066235864
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.01528392055299187	0.003109854604200323	385.0	0.003109854604200323	0.0	0.015288987186542936	0.0035691939997334033	441.86621716699534	0.0031906300484652664	0.00611470113085622
ti|273036|org|Staphylococcus_aureus_RF122	0.012940123981157325	0.00431340872374798	534.0	0.004305331179321486	8.077544426494346e-06	0.012919150754373433	0.009432120076546514	1167.6964654764586	0.0039660743134087234	0.08739903069466883
ti|186153|org|Staphylococcus_phage_phi13	0.01078595146761222	0.0020920840064620355	259.0	0.002051696284329564	4.038772213247173e-05	0.01109310437426301	0.00247047890434561	305.84528835798653	0.0016962843295638126	0.001591276252019386
ti|523796|org|Staphylococcus_aureus_subsp._aureus_ST398	0.007569948293580043	0.0013893376413570274	172.0	0.001381260096930533	8.077544426494346e-06	0.012183896919654309	0.006747491142660396	835.339403461357	0.0017609046849757673	0.09033117932148627
ti|1118959|org|Staphylococcus_aureus_subsp._aureus_M013	0.006961373577856601	0.0016882067851373183	209.0	0.0016882067851373183	0.0	0.007192306702929741	0.008371591047778511	1036.4029717149797	0.0016962843295638126	0.10626009693053312
ti|985006|org|Staphylococcus_aureus_subsp._aureus_LGA251	0.006871023694257683	0.0023747980613893376	294.0	0.0023747980613893376	0.0	0.006861155786730146	0.008843048666315245	1094.7694248898274	0.002213247172859451	0.107859450726979
ti|1074252|org|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0.004315463817024302	0.0011873990306946688	147.0	0.0011873990306946688	0.0	0.0067300272743525645	0.01325619819639829	1641.1173367141084	0.0013651050080775444	0.16565428109854605
ti|71366|org|Staphylococcus_phage_PVL	0.0042719842170858315	0.0003877221324717286	48.0	0.0003877221324717286	0.0	0.0068207190738992915	0.001049625229587494	129.94360342293174	0.0006058158319870759	0.0011873990306946688
ti|441911|org|Single-copy_integration_vector_pCL25	0.0036427441444487185	0.0002665589660743134	33.0	0.0002665589660743134	0.0	0.005327304817435362	0.0003863337784735525	47.8281217750258	0.0005008077544426494	5.654281098546042e-05
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	0.003561848878995517	0.0009854604200323102	122.0	0.0009854604200323102	0.0	0.0035869742324879843	0.017175876413849434	2126.37350003456	0.000888529886914378	0.2845880452342488
ti|703339|org|Staphylococcus_aureus_04-02981	0.0030553520818426953	0.0003554119547657512	44.0	0.0003554119547657512	0.0	0.0032266576025566547	0.05777187893958317	7152.158612720396	0.00032310177705977385	0.5769547657512116
ti|1229492|org|Staphylococcus_aureus_08BA02176	0.0022450500333762355	0.0018336025848142165	227.0	0.0018336025848142165	0.0	0.0052071859065306375	0.00878457910794024	1087.5308935630019	0.003788368336025848	0.09317447495961227
ti|158879|org|Staphylococcus_aureus_subsp._aureus_N315	0.002045403099349166	0.0002827140549273021	35.0	0.0002827140549273021	0.0	0.002233497858164208	0.058742391117899195	7272.308020395921	0.0003069466882067851	0.5861470113085622
ti|359787|org|Staphylococcus_aureus_subsp._aureus_JH1	0.0019364993411180513	0.0006138933764135702	76.0	0.0006138933764135702	0.0	0.0009797744468362575	0.05910841202526694	7317.621408728047	0.000210016155088853	0.5826575121163167
ti|282459|org|Staphylococcus_aureus_subsp._aureus_MSSA476	0.0005784648682209886	0.0005250403877221325	65.0	0.0005250403877221325	0.0	0.000640640329666014	0.020030310401879473	2479.7524277526786	0.0005331179321486268	0.2839741518578352
ti|561307|org|Staphylococcus_aureus_subsp._aureus_RN4220	0.0003936473003081569	0.00015347334410339256	19.0	0.00015347334410339256	0.0	0.0003936472087129373	0.0003872028882708092	47.935717567926176	0.00013731825525040386	0.004273021001615509
ti|548473|org|Staphylococcus_aureus_subsp._aureus_TCH60	4.798739831437434e-05	0.0002261712439418417	28.0	0.0002261712439418417	0.0	0.0029017651088840244	0.005039436129853066	623.8821928758096	8.077544426494346e-05	0.08680129240710824
ti|1305598|org|Staphylococcus_aureus_M1	4.185880547687508e-05	8.88529886914378e-05	11.0	8.88529886914378e-05	0.0	7.346145367097693e-05	0.016237700725630078	2010.2273498330037	8.88529886914378e-05	0.2873747980613893
ti|426430|org|Staphylococcus_aureus_subsp._aureus_str._Newman	3.561238790188403e-05	0.0002988691437802908	37.0	0.0002988691437802908	0.0	7.332729186924362e-05	0.016493561576240153	2041.9029231385312	0.00029079159935379645	0.28866720516962846
ti|1147034|org|Staphylococcus_aureus_PM1	1.416415402737129e-05	0.00012924071082390953	16.0	0.00012924071082390953	0.0	3.817968551659665e-05	0.00011395390372143049	14.107493280713095	0.0001050080775444265	0.0002504038772213247
ti|1195068|org|Staphylococcus_phage_StauST398-1	3.990876614198958e-06	0.00014539579967689823	18.0	0.00014539579967689823	0.0	0.00048542053444047074	0.0004995153473344105	61.840000000000025	0.0003957996768982229	0.000210016155088853
ti|872294|org|Staphylococcus_phage_SAP-26	3.376488069865651e-06	0.00012116316639741518	15.0	0.00012116316639741518	0.0	0.0005046050615858878	0.00022078621432417876	27.333333333333332	0.00012116316639741518	0.0002665589660743134
ti|1006543|org|Staphylococcus_aureus_subsp._aureus_T0131	2.205066121278005e-06	9.693053311793215e-05	12.0	9.693053311793215e-05	0.0	0.0008427022635198645	0.013582202980049222	1681.4767289300937	3.231017770597738e-05	0.24853796445880452
ti|874268|org|Staphylococcus_phage_phi7247PVL	1.8377825302258323e-06	0.0001938610662358643	24.0	0.0001938610662358643	0.0	0.0010557728218025394	0.0003697531207111453	45.77543634403979	0.0003311793214862682	0.000678513731825525
ti|702821|org|Staphylococcus_phage_SAP090D	6.769044271560635e-07	0.00018578352180936996	23.0	0.00018578352180936996	0.0	7.537934557427818e-05	0.0002005923532579429	24.833333333333332	0.00015347334410339256	0.00020193861066235866
ti|1155084|org|Staphylococcus_aureus_subsp._aureus_71193	7.415304557175995e-08	9.693053311793215e-05	12.0	9.693053311793215e-05	0.0	1.4995208944809658e-06	0.005261383903537691	651.3593272579662	0.00013731825525040386	0.09307754442649435
ti|320844|org|Staphylococcus_phage_71	3.3550592036701815e-08	4.038772213247173e-05	5.0	4.038772213247173e-05	0.0	6.641919369260062e-05	0.00036381260096930533	45.04	0.00021809369951534733	0.0003392568659127625
ti|379501|org|Staphylococcus_phage_phiMR11	2.7686695481420685e-08	0.00012116316639741518	15.0	0.00012116316639741518	0.0	2.9512321539564546e-06	0.00016962843295638126	21.0	0.0001777059773828756	9.693053311793215e-05
ti|176280|org|Staphylococcus_epidermidis_ATCC_12228	1.5864142482925784e-08	0.00016962843295638126	21.0	0.00016962843295638126	0.0	1.995414439557817e-08	0.0023303724130422556	288.50010473463124	0.002035541195476575	0.0015508885298869143
ti|29382|org|Staphylococcus_cohnii	1.2033770546155945e-08	1.615508885298869e-05	2.0	1.615508885298869e-05	0.0	1.2167962223358895e-08	2.2080288881536705e-05	2.733539763534244	1.615508885298869e-05	0.00014539579967689823
ti|869816|org|Staphylococcus_aureus_subsp._aureus_JKD6159	8.34192536357776e-09	7.269789983844911e-05	9.0	7.269789983844911e-05	0.0	1.1814396164793107e-06	0.006079797089223787	752.6788796459048	0.00012116316639741518	0.09991114701130856
